sample_idx,cycle_ok,error,t_wall_unix_s,t_cycle_start_ns,t_edge_send_ns,t_edge_rx_ns,t_edge_mid_ns,http_latency_ms,rover_millis_s,source_sample_time_s,edge_arrival_time_s,estimate_time_s,alarm_time_s,clock_offset_s,clock_calibrated,clock_calibration_samples,packet_loss_count,request_failure_count,sequence_gap_count,stale_packet,queue_depth,T,seq,sample_ms,send_ms,millis,L,R,enc_left,enc_right,v,r,p,y,ax,ay,az,gx,gy,gz,mx,my,mz,temp,gps_valid,gps_age_ms,gps_fix_type,lat,lon,sat,hdop,alt_m,speed_mps,course_deg,gps_chars,gps_sentences,gps_failed_checksums
23,True,,1784157195.0800905,18445906000000,18445906000000,18446609000000,18446257500000,703.0,3617.928,3617.928,18446.609,18446.609,,14828.3355,True,24,0,0,0,False,0,1007,1698,3617928,3617929,3617928,0.043013929,0.043050851,425956,659813,11.57701,-1.469011,1.45103,-101.1531,96.92383,-13.4668,939.0332,-0.14625,-4.0425,0.4725,9,-22,-34,47.77778,True,55,3,37.24887017,-80.41805783,10,1.41,,,,2182767,6544,1314
24,True,,1784157196.0905166,18446921000000,18446921000000,18447656000000,18447288500000,735.0,3618.943,3618.943,18447.656,18447.656,,14828.335500000001,True,25,0,0,0,False,0,1007,1699,3618943,3618944,3618943,0,0,425888,659733,11.57701,-0.528907,0.467488,-104.4385,1.220703,-2.724609,983.4668,0.04125,-14.5425,0.5975,7,-22,-33,47.77778,True,213,3,37.24887217,-80.4180585,9,1.41,,,,2183330,6546,1315
25,True,,1784157197.0625489,18447890000000,18447890000000,18448671000000,18448280500000,781.0,3619.916,3619.916,18448.671,18448.671,,14828.336499999998,True,25,0,0,0,False,0,1007,1700,3619916,3619917,3619916,0.021506965,0,425886,659733,11.57701,-1.040859,2.896332,-108.0989,-20.75195,6.064453,991.2793,-0.27125,0.77,-1.84,12,-21,-27,47.77778,True,171,3,37.248872,-80.418063,9,1.41,,,,2183893,6548,1316
26,True,,1784157198.1349227,18448968000000,18448968000000,18449687000000,18449327500000,719.0,3620.989,3620.989,18449.687,18449.687,,14828.336499999998,True,25,0,0,0,False,0,1007,1701,3620989,3620990,3620989,0.0859787,0,425571,659745,11.61701,-0.060437,-1.141793,-121.7312,-39.30664,-28.60352,984.9316,0.91625,-1.4175,-28.715,9,-22,-31,47.77778,True,272,3,37.24887083,-80.41806483,9,1.41,,,,2184456,6550,1317
27,True,,1784157198.891994,18449718000000,18449718000000,18450375000000,18450046500000,657.0,3621.742,3621.742,18450.375,18450.375,,14828.335500000001,True,25,0,0,0,False,0,1007,1702,3621742,3621744,3621742,0.081155731,-0.04048506,425137,659957,11.61701,4.076865,-8.122776,-121.6538,48.58398,51.47461,979.5605,1.16625,4.3325,-38.215,2,-33,-31,48.33333,True,51,3,37.24887283,-80.41806133,8,1.47,,,,2184847,6552,1318
28,True,,1784157200.087611,18450921000000,18450921000000,18451625000000,18451273000000,704.0,3622.943,3622.943,18451.625,18451.625,,14828.335499999997,True,25,0,0,0,False,0,1007,1703,3622943,3622944,3622943,0,0,424930,660079,11.61701,1.032508,-5.009728,-101.6487,17.82227,-5.654297,978.0957,-0.14625,0.5825,-0.34,1,-40,-32,47.77778,True,358,3,37.24887233,-80.41806083,8,1.47,,,,2185578,6554,1318
29,True,,1784157201.1116493,18451937000000,18451937000000,18452656000000,18452296500000,719.0,3623.957,3623.957,18452.656,18452.656,,14828.335499999997,True,25,0,0,0,False,0,1007,1704,3623957,3623958,3623957,0,0,424930,660079,11.61701,0.118122,-2.60768,-95.69023,-0.732422,-4.677734,979.5605,-0.33375,0.02,-0.215,0,-37,-34,47.77778,True,211,3,37.24887267,-80.418064,8,1.47,,,,2186154,6556,1319
30,True,,1784157202.1364121,18452968000000,18452968000000,18453671000000,18453319500000,703.0,3624.981,3624.981,18453.671,18453.671,,14828.335500000001,True,25,0,0,0,False,0,1007,1705,3624981,3624983,3624981,0.021494675,-0.021494675,424921,660085,11.61701,-0.889955,0.541902,-101.392,-7.080078,-27.62695,981.0254,-0.39625,-1.855,-12.2775,6,-39,-28,47.77778,True,222,3,37.24887333,-80.4180675,8,1.47,,,,2186717,6558,1320
31,True,,1784157202.8716652,18453703000000,18453703000000,18454390000000,18454046500000,687.0,3625.736,3625.736,18454.39,18454.39,,14828.335500000001,True,25,0,0,0,False,0,1007,1706,3625736,3625738,3625736,0.081408211,-0.061006646,424690,660330,11.61701,1.442264,-4.387568,-112.0504,27.09961,0.693359,1030.83,4.29125,8.645,-39.09,7,-44,-30,47.77778,True,113,3,37.24887483,-80.41807017,7,1.5,,,,2187101,6560,1321
32,True,,1784157204.0692105,18454890000000,18454890000000,18455593000000,18455241500000,703.0,3626.925,3626.925,18455.593,18455.593,,14828.335499999997,True,25,0,0,0,False,0,1007,1707,3626925,3626926,3626925,0.064484025,-0.064484025,424083,660904,11.61701,2.170622,-3.796512,-118.9516,25.14648,-8.583984,994.209,-0.58375,2.645,-34.59,16,-53,-27,47.77778,True,340,3,37.24887383,-80.41807367,9,1.41,,,,2187856,6562,1321
