sample_idx,cycle_ok,error,t_wall_unix_s,t_cycle_start_ns,t_edge_send_ns,t_edge_rx_ns,t_edge_mid_ns,http_latency_ms,rover_millis_s,source_sample_time_s,edge_arrival_time_s,estimate_time_s,alarm_time_s,clock_offset_s,clock_calibrated,clock_calibration_samples,packet_loss_count,request_failure_count,sequence_gap_count,stale_packet,queue_depth,T,seq,sample_ms,send_ms,millis,L,R,enc_left,enc_right,v,r,p,y,ax,ay,az,gx,gy,gz,mx,my,mz,temp,gps_valid,gps_age_ms,gps_fix_type,lat,lon,sat,hdop,alt_m,speed_mps,course_deg,gps_chars,gps_sentences,gps_failed_checksums
24,True,,1784156432.1599488,17682984000000,17682984000000,17683984000000,17683484000000,1000.0,2855.175,2855.175,17683.984,17683.984,,14828.324499999999,True,25,0,0,0,False,0,1007,1309,2855175,2855176,2855175,-0.13213642,-0.122021538,354800,514853,11.62918,-0.741807,-1.132546,-100.7598,-12.93945,3.623047,798.8965,0.35375,2.395,3.7225,10,-61,-56,47.22222,True,32,3,37.248874,-80.41805283,10,1.35,,,,1696591,5026,972
25,True,,1784156433.2587183,17684093000000,17684093000000,17684750000000,17684421500000,657.0,2856.109,2856.109,17684.75,17684.75,,14828.324499999999,True,25,0,0,0,False,0,1007,1310,2856109,2856111,2856109,-0.020468334,-0.0409311,355549,515608,11.62918,-0.591279,4.912217,-101.4606,-141.3574,-20.79102,1031.807,-0.27125,-0.1675,-3.59,12,-55,-58,47.22222,True,106,3,37.248874,-80.41805283,10,1.35,,,,1697000,5027,973
26,True,,1784156434.1105695,17684937000000,17684937000000,17685578000000,17685257500000,641.0,2856.959,2856.959,17685.578,17685.578,,14828.324499999999,True,25,0,0,0,False,0,1007,1311,2856959,2856960,2856959,-0.085941868,-0.085807086,355649,515719,11.62918,-0.50799,-0.938637,-100.7782,48.58398,5.087891,970.2832,-4.33375,-0.4175,-2.6525,11,-59,-58,47.22222,True,82,3,37.24887217,-80.41805383,10,1.35,,,,1697438,5029,974
27,True,,1784156435.413551,17686250000000,17686250000000,17686906000000,17686578000000,656.0,2858.258,2858.258,17686.906,17686.906,,14828.320000000002,True,25,0,0,0,False,0,1007,1312,2858258,2858260,2858258,0,0,355940,516027,11.62918,-0.784883,0.129539,-100.9755,-13.42773,-20.30273,981.0254,-0.39625,-0.855,0.0975,12,-60,-57,47.22222,True,43,3,37.2488715,-80.418051,10,1.23,,,,1698219,5032,975
28,True,,1784156436.1244614,17686953000000,17686953000000,17687734000000,17687343500000,781.0,2858.978,2858.978,17687.734,17687.734,,14828.324499999999,True,25,0,0,0,False,0,1007,1313,2858978,2858979,2858978,0,0,355941,516027,11.62918,-0.736391,-0.223281,-100.6071,-4.638672,-19.81445,965.4004,-0.45875,1.5825,-1.715,10,-63,-60,47.22222,True,92,3,37.2488715,-80.418051,10,1.23,,,,1698517,5033,976
29,True,,1784156437.1796343,17688015000000,17688015000000,17688859000000,17688437000000,844.0,2860.144,2860.144,17688.859,17688.859,,14828.320000000002,True,25,0,0,0,False,0,1007,1314,2860144,2860146,2860144,0,-0.053695649,355946,516161,11.62918,-0.643462,0.763613,-103.9345,-10.49805,-7.607422,1004.951,2.22875,9.0825,-18.7775,17,-65,-55,47.22222,True,3,3,37.2488685,-80.41804567,10,1.23,,,,1699188,5036,977
30,True,,1784156438.1164963,17688937000000,17688937000000,17689671000000,17689304000000,734.0,2860.967,2860.967,17689.671,17689.671,,14828.320000000002,True,25,0,0,0,False,0,1007,1315,2860967,2860968,2860967,0.021497746,-0.064548574,355887,516532,11.62918,0.39214,0.400402,-110.9748,-16.35742,13.87695,1003.975,1.79125,6.2075,-30.5275,18,-61,-61,47.22222,True,85,3,37.2488685,-80.41804567,10,1.23,,,,1699596,5037,977
31,True,,1784156439.1712782,17690000000000,17690000000000,17690890000000,17690445000000,890.0,2862.154,2862.154,17690.89,17690.89,,14828.320000000002,True,25,0,0,0,False,0,1007,1316,2862154,2862155,2862154,0,0,355775,516773,11.62918,-0.115518,0.467317,-112.4245,0.732422,-13.95508,979.0723,0.29125,0.5825,0.035,21,-55,-61,47.22222,True,3,3,37.24886633,-80.4180345,10,1.23,,,,1700277,5040,978
32,True,,1784156440.1304014,17690953000000,17690953000000,17691718000000,17691335500000,765.0,2862.99,2862.99,17691.718,17691.718,,14828.324499999999,True,25,0,0,0,False,0,1007,1317,2862990,2862991,2862990,0,0,355775,516773,11.62918,-0.458798,-0.386834,-112.2725,3.662109,-12.00195,981.0254,-0.20875,-0.9175,-0.09,23,-57,-62,47.22222,True,108,3,37.24886633,-80.4180345,10,1.23,,,,1700681,5041,979
33,True,,1784156440.9204068,17691750000000,17691750000000,17692421000000,17692085500000,671.0,2863.778,2863.778,17692.421,17692.421,,14828.320000000002,True,25,0,0,0,False,0,1007,1318,2863778,2863780,2863778,0,0,355775,516773,11.62918,-0.717999,-0.094081,-111.9264,3.662109,-13.4668,981.5137,-0.33375,0.895,0.035,23,-57,-58,47.22222,True,143,3,37.24886583,-80.41803167,10,1.23,,,,1701097,5043,979
