sample_idx,cycle_ok,error,t_wall_unix_s,t_cycle_start_ns,t_edge_send_ns,t_edge_rx_ns,t_edge_mid_ns,http_latency_ms,rover_millis_s,source_sample_time_s,edge_arrival_time_s,estimate_time_s,alarm_time_s,clock_offset_s,clock_calibrated,clock_calibration_samples,packet_loss_count,request_failure_count,sequence_gap_count,stale_packet,queue_depth,T,seq,sample_ms,send_ms,millis,L,R,enc_left,enc_right,v,r,p,y,ax,ay,az,gx,gy,gz,mx,my,mz,temp,gps_valid,gps_age_ms,gps_fix_type,lat,lon,sat,hdop,alt_m,speed_mps,course_deg,gps_chars,gps_sentences,gps_failed_checksums
40,True,,1784156062.1087146,17312937000000,17312937000000,17313656000000,17313296500000,719.0,2484.976,2484.976,17313.656,17313.656,,14828.339500000002,True,25,0,0,0,False,0,1007,1009,2484976,2484977,2484976,0.023155236,0,270663,385514,11.64914,2.56603,-0.668313,-140.8855,-31.98242,2.646484,978.584,0.29125,1.27,-5.4025,28,-30,-41,47.22222,True,383,3,37.2488765,-80.41808483,8,1.34,,,,1477523,4285,706
41,True,,1784156063.1220777,17313953000000,17313953000000,17314671000000,17314312000000,718.0,2485.978,2485.978,17314.671,17314.671,,14828.3385,True,25,0,0,0,False,0,1007,1010,2485978,2485979,2485978,0,0,270663,385514,11.64914,1.439211,-1.554538,-136.1396,7.080078,-9.072266,980.0488,0.16625,-2.1675,0.16,25,-31,-44,47.22222,True,201,3,37.24887567,-80.418084,9,1.28,,,,1478094,4287,707
42,True,,1784156063.908393,17314734000000,17314734000000,17315500000000,17315117000000,766.0,2486.754,2486.754,17315.5,17315.5,,14828.339500000002,True,25,0,0,0,False,0,1007,1011,2486754,2486756,2486754,0,-0.020088481,270663,385515,11.69305,0.475093,-1.900571,-132.3342,22.70508,-12.97852,974.1895,-0.14625,1.645,-0.7775,26,-34,-42,46.66667,True,86,3,37.24887833,-80.41807767,9,1.28,,,,1478487,4289,708
43,True,,1784156065.072107,17315906000000,17315906000000,17316625000000,17316265500000,719.0,2487.919,2487.919,17316.625,17316.625,,14828.339500000002,True,25,0,0,0,False,0,1007,1012,2487919,2487920,2487919,-0.04298935,-0.107473375,270670,385795,11.69305,1.312488,-2.04612,-137.3591,-1.708984,-45.69336,910.7129,-1.52125,-2.73,-30.09,23,-27,-44,47.22222,True,318,3,37.24887933,-80.41807267,9,1.28,,,,1479230,4291,708
44,True,,1784156066.056129,17316890000000,17316890000000,17317546000000,17317218000000,656.0,2488.898,2488.898,17317.546,17317.546,,14828.339500000002,True,25,0,0,0,False,0,1007,1013,2488898,2488900,2488898,-0.086015564,-0.129171033,271108,386610,11.69305,0.751028,1.070359,-138.7643,2.197266,57.33398,963.9355,-4.64625,-2.6675,-9.34,24,-26,-46,47.22222,True,178,3,37.24888083,-80.41806817,9,1.28,,,,1479801,4293,709
45,True,,1784156067.1344006,17317968000000,17317968000000,17318671000000,17318319500000,703.0,2489.976,2489.976,17318.671,17318.671,,14828.343499999999,True,25,0,0,0,False,0,1007,1014,2489976,2489977,2489976,-0.128912802,-0.150140994,271978,387600,11.69305,-0.276698,-1.410605,-136.1769,122.3145,-119.9121,1027.412,1.04125,-2.4175,-3.465,21,-21,-42,47.22222,True,278,3,37.24888267,-80.41807183,9,1.24,,,,1480368,4295,710
46,True,,1784156068.1248808,17318953000000,17318953000000,17319703000000,17319328000000,750.0,2490.965,2490.965,17319.703,17319.703,,14828.3435,True,25,0,0,0,False,0,1007,1015,2490965,2490966,2490965,-0.150462725,-0.12896805,272865,388486,11.69305,0.141015,-0.992273,-136.2647,-149.1699,68.07617,990.3027,-2.77125,-9.2925,0.2225,19,-20,-44,46.66667,True,186,3,37.24888767,-80.41806867,10,1.19,,,,1480939,4297,711
47,True,,1784156069.0969656,17319921000000,17319921000000,17320734000000,17320327500000,813.0,2491.971,2491.971,17320.734,17320.734,,14828.344500000001,True,25,0,0,0,False,0,1007,1016,2491971,2491972,2491971,-0.138974192,-0.138952801,273790,389413,11.69305,0.016689,-0.796531,-134.9075,79.3457,24.13086,1023.994,-0.27125,-1.2925,0.785,28,-30,-42,47.22222,True,203,3,37.248889,-80.41806683,8,1.33,,,,1481506,4299,712
48,True,,1784156070.0972018,17320921000000,17320921000000,17321625000000,17321273000000,704.0,2492.964,2492.964,17321.625,17321.64,,14828.344500000001,True,25,0,0,0,False,0,1007,1017,2492964,2492965,2492964,-0.114629533,-0.114769432,274685,390330,11.69305,-0.608614,3.888573,-135.9858,-156.9824,43.17383,1149.482,-0.20875,-6.48,-1.84,24,-20,-43,46.66667,True,192,3,37.24888983,-80.41806317,9,1.28,,,,1482075,4301,713
49,True,,1784156071.1071367,17321937000000,17321937000000,17322671000000,17322304000000,734.0,2493.966,2493.966,17322.671,17322.671,,14828.3435,True,25,0,0,0,False,0,1007,1018,2493966,2493967,2493966,0,-0.023137433,275087,390736,11.69305,-0.11005,2.988361,-134.7692,-61.2793,-19.81445,981.5137,-0.14625,0.395,-0.59,23,-22,-41,47.22222,True,199,3,37.24889183,-80.4180625,10,1.19,,,,1482646,4303,714
