fold,test_sequence,method,status,train_sequences,validation_sequences,samples,duration_s,gnss_source,odo_source,ate_rmse_m,ate_median_m,ate_p95_m,ate_max_m,ate_se2_rmse_m,heading_mae_deg,heading_p95_deg,rpe_1s_trans_rmse_m,rpe_5s_trans_rmse_m,rpe_10s_trans_rmse_m,final_error_m,final_error_se2_m,final_drift_per_m,path_length_ratio,gnss_seen,gnss_normal,gnss_reacquired,gnss_rejected,gnss_rejection_rate_pct,gnss_max_coast_s,mean_abs_delta_v_mps,p95_abs_delta_v_mps,max_abs_delta_v_mps,mean_abs_delta_omega_radps,p95_abs_delta_omega_radps,max_abs_delta_omega_radps,alpha_xy_mean,alpha_xy_p95,alpha_xy_max,alpha_heading_mean,alpha_heading_p95,alpha_heading_max,error
4,parking00,gru_q,ok,"building00,building01,building02,playground00,street00,street01,street02","parking01,parking02",11409,1140.7999999999884,OEM719_RTK,ODO_SPEED,1.8091952824282667,1.9175184504528298,2.4806715230802974,3.0020943592216938,0.8425293633173698,0.7563988900555435,2.4585760227644133,0.16819093252988898,0.4081852233055085,0.6143549853148728,1.8312349046175294,0.6237825946131357,0.0003944340809052031,1.01624854280402,1140,576,12,552,48.421052631578945,135.89999999999418,0.0,0.0,0.0,0.0,0.0,0.0,1.1346434354782104,1.6008517742156982,8.699939727783203,2.350459098815918,7.994950771331787,9.999999046325684,
4,parking00,gru_dual,ok,"building00,building01,building02,playground00,street00,street01,street02","parking01,parking02",11409,1140.7999999999884,OEM719_RTK,ODO_SPEED,2.081690285667974,2.0265445896058636,2.954025661172084,5.027404688247085,0.6898783761375219,0.66471347697816,2.2960569773335435,0.11929381446971009,0.2885630040834078,0.41330849578373424,2.1294173306689017,0.27363351052212015,0.00017302563931684262,1.0036863740098176,1140,719,2,419,36.75438596491228,135.89999999999418,0.022845540195703506,0.05221830680966377,0.11859551817178726,0.02063072845339775,0.07666555047035217,0.2768162488937378,1.0602872371673584,1.1850428581237793,5.731509208679199,1.0082212686538696,1.0166019201278687,3.9122095108032227,
5,parking01,fixed_v5,ok,"building00,building01,building02,parking00,street00,street01,street02","parking02,playground00",10599,1059.7999999999884,NONE,ODO_SPEED,15.720691669478096,11.964593459752171,30.869769473235515,38.96854049168079,8.050572463500764,21.63420789098178,42.784948479974574,0.02832243406714246,0.11589330214826374,0.21484891282368243,20.025921500270183,12.490961671510428,0.010213456724561552,1.0157783698714926,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,
5,parking01,heuristic_v6,ok,"building00,building01,building02,parking00,street00,street01,street02","parking02,playground00",10599,1059.7999999999884,NONE,ODO_SPEED,15.720691669478096,11.964593459752171,30.869769473235515,38.96854049168079,8.050572463500764,21.63420789098178,42.784948479974574,0.02832243406714246,0.11589330214826374,0.21484891282368243,20.025921500270183,12.490961671510428,0.010213456724561552,1.0157783698714926,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8969887495040894,2.3749375343322754,3.2219109535217285,1.3237191438674927,2.2952418327331543,5.438473224639893,
5,parking01,gru_dynamics,ok,"building00,building01,building02,parking00,street00,street01,street02","parking02,playground00",10599,1059.7999999999884,NONE,ODO_SPEED,15.525246541168194,11.570668902060495,30.439260417131237,37.89955486252127,7.886891823722615,21.412862172847507,41.925882205502354,0.02259217493266158,0.0786796974129971,0.13900494871539015,18.718310398455912,11.72874266944352,0.009590214815973781,0.9992658027408882,0,0,0,0,0.0,0.0,0.02153344824910164,0.05248156934976578,0.12612664699554443,0.016412807628512383,0.07330916076898575,0.2738285958766937,1.0,1.0,1.0,1.0,1.0,1.0,
5,parking01,gru_q,ok,"building00,building01,building02,parking00,street00,street01,street02","parking02,playground00",10599,1059.7999999999884,NONE,ODO_SPEED,15.720691669478096,11.964593459752171,30.869769473235515,38.96854049168079,8.050572463500764,21.63420789098178,42.784948479974574,0.02832243406714246,0.11589330214826374,0.21484891282368243,20.025921500270183,12.490961671510428,0.010213456724561552,1.0157783698714926,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1639422178268433,1.7200498580932617,7.061575889587402,2.028942584991455,8.043838500976562,9.999641418457031,
5,parking01,gru_dual,ok,"building00,building01,building02,parking00,street00,street01,street02","parking02,playground00",10599,1059.7999999999884,NONE,ODO_SPEED,5.142570070247941,3.3421803808930752,9.926565289727867,11.562678725575523,2.4060667126477604,6.393083534605109,12.155576759006887,0.022726987281300497,0.0838249636344683,0.15871189864472646,3.58759474012061,2.613810633210752,0.002137228701084367,0.9984312196723558,0,0,0,0,0.0,0.0,0.022264713421463966,0.053511060774326324,0.17419478297233582,0.016779335215687752,0.0736725926399231,0.27305465936660767,1.1596038341522217,1.61653733253479,8.890474319458008,1.0258885622024536,1.072066068649292,5.696399211883545,
6,parking02,fixed_v5,ok,"building00,building01,building02,parking00,parking01,street01,street02","playground00,street00",12569,1256.7999999999884,NONE,ODO_SPEED,24.466268468105135,16.543549805893516,47.69537400013374,54.92433629110282,13.460492012973113,36.2517831618371,68.77405094384095,0.025260610934816997,0.10136906094812402,0.19557161051996527,46.36850691630866,24.848776533976487,0.01724377977153431,1.015381868761199,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,
6,parking02,heuristic_v6,ok,"building00,building01,building02,parking00,parking01,street01,street02","playground00,street00",12569,1256.7999999999884,NONE,ODO_SPEED,24.466268468105135,16.543549805893516,47.69537400013374,54.92433629110282,13.460492012973113,36.2517831618371,68.77405094384095,0.025260610934816997,0.10136906094812402,0.19557161051996527,46.36850691630866,24.848776533976487,0.01724377977153431,1.015381868761199,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8802582025527954,2.4043354988098145,3.282052516937256,1.3172475099563599,2.2212107181549072,5.1504411697387695,
6,parking02,gru_dynamics,ok,"building00,building01,building02,parking00,parking01,street01,street02","playground00,street00",12569,1256.7999999999884,NONE,ODO_SPEED,9.050666467762188,6.238813959879423,17.539587091109425,20.358719877674634,4.674413431592724,13.356081867209076,24.630730419244347,0.019296563852809145,0.05971216508817116,0.10941964964314786,17.049161333153272,8.539240317303365,0.005925795954036138,0.9995178749719915,0,0,0,0,0.0,0.0,0.020347274839878082,0.049660585820674896,0.07912224531173706,0.016325514763593674,0.06971851736307144,0.27282434701919556,1.0,1.0,1.0,1.0,1.0,1.0,
6,parking02,gru_q,ok,"building00,building01,building02,parking00,parking01,street01,street02","playground00,street00",12569,1256.7999999999884,NONE,ODO_SPEED,24.466268468105135,16.543549805893516,47.69537400013374,54.92433629110282,13.460492012973113,36.2517831618371,68.77405094384095,0.025260610934816997,0.10136906094812402,0.19557161051996527,46.36850691630866,24.848776533976487,0.01724377977153431,1.015381868761199,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1044795513153076,1.2774779796600342,8.208728790283203,1.9771426916122437,7.059106826782227,9.999993324279785,
6,parking02,gru_dual,ok,"building00,building01,building02,parking00,parking01,street01,street02","playground00,street00",12569,1256.7999999999884,NONE,ODO_SPEED,5.903279487165326,4.020020532989304,11.350720633882498,13.349479868975568,2.998625583824412,8.733194105216564,15.769332272848162,0.019110840096425243,0.05996413595982077,0.10975073731544474,11.355505826797872,5.4633280050364,0.003791270158097705,0.9992558343482292,0,0,0,0,0.0,0.0,0.020761922001838684,0.048903800547122955,0.1354038566350937,0.016118371859192848,0.06899712234735489,0.27628645300865173,1.119066596031189,1.2570255994796753,9.086485862731934,1.015956163406372,1.0299911499023438,4.4993085861206055,
7,playground00,fixed_v5,ok,"building00,building01,building02,parking00,parking01,parking02,street02","street00,street01",13263,1326.2000000000116,OEM719_RTK,ODO_SPEED,0.2516552007033211,0.21094520576168643,0.4287621786421377,0.4980773589003957,0.2080159337211198,0.25308382450995803,0.45942558503299685,0.012785007218038536,0.04636893947232242,0.08856979649997015,0.02512295131318559,0.058783490657366905,3.43972497059519e-05,1.0014950625898809,1326,1326,0,0,0.0,0.9000000000232831,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,
7,playground00,heuristic_v6,ok,"building00,building01,building02,parking00,parking01,parking02,street02","street00,street01",13263,1326.2000000000116,OEM719_RTK,ODO_SPEED,0.24379416948048982,0.21631858602819665,0.3934386416824721,0.4531043828122203,0.20693666705227087,0.2799232556936324,0.4892533638571583,0.013159534085144295,0.046115843348797605,0.0876973352824723,0.025122919527403493,0.07796720931153382,4.562263209575067e-05,1.0013996849360494,1326,1326,0,0,0.0,0.9000000000232831,0.0,0.0,0.0,0.0,0.0,0.0,1.8833402395248413,2.3121252059936523,3.6056647300720215,1.3116614818572998,2.208239793777466,5.042689323425293,
7,playground00,gru_dynamics,ok,"building00,building01,building02,parking00,parking01,parking02,street02","street00,street01",13263,1326.2000000000116,OEM719_RTK,ODO_SPEED,0.240633419131045,0.22791299693458877,0.37234843149155494,0.4288775790418704,0.20589250960455457,0.27501218370040803,0.7081340858985657,0.014464148198919778,0.05082772922729457,0.09541051532049726,0.02523359992704352,0.09147006349217497,5.352384792694022e-05,1.0012089317041517,1326,1326,0,0,0.0,0.9000000000232831,0.02065272256731987,0.050358209758996964,0.06801969558000565,0.020355617627501488,0.07546714693307877,0.24250291287899017,1.0,1.0,1.0,1.0,1.0,1.0,
7,playground00,gru_q,ok,"building00,building01,building02,parking00,parking01,parking02,street02","street00,street01",13263,1326.2000000000116,OEM719_RTK,ODO_SPEED,0.2502065192768777,0.21116962801197553,0.4248215427315253,0.493632414522648,0.20757292802473332,0.21001263680988252,0.4495782763510764,0.012684693204443102,0.04329350922949752,0.0804047869655439,0.02512294217476323,0.06248325452503063,3.65621722069116e-05,1.0014476556202248,1326,1326,0,0,0.0,0.9000000000232831,0.0,0.0,0.0,0.0,0.0,0.0,1.075412392616272,1.365812063217163,7.02370023727417,2.251274347305298,8.027362823486328,9.999549865722656,
7,playground00,gru_dual,ok,"building00,building01,building02,parking00,parking01,parking02,street02","street00,street01",13263,1326.2000000000116,OEM719_RTK,ODO_SPEED,0.24081332283556262,0.2315989373856385,0.3698673411413579,0.4246469616152192,0.20620228616057776,0.19789895590412457,0.6823309108592647,0.014216665886927767,0.04724729351222303,0.08740168681230616,0.025285990280198282,0.09219948821547337,5.395067192239217e-05,1.0011814935725447,1326,1326,0,0,0.0,0.9000000000232831,0.0215577632188797,0.05215984210371971,0.3009806275367737,0.020311135798692703,0.07575498521327972,0.2441996932029724,1.0419156551361084,1.0979523658752441,7.2534918785095215,1.0056666135787964,1.005863904953003,4.029134273529053,
8,street00,fixed_v5,ok,"building00,building01,building02,parking00,parking01,parking02,playground00","street01,street02",13738,1373.699999999997,OEM719_RTK,ODO_SPEED,0.302292925458786,0.25311494744116025,0.5254775389039671,0.5901407805868474,0.2648707482220786,0.31389720792029197,0.5727887984369718,0.016706800937708828,0.06004511571671557,0.10398423005923835,0.02590766349212491,0.1285563747418745,7.712107251076044e-05,1.0020987556570202,1373,1369,0,4,0.29133284777858703,4.900000000008731,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,
8,street00,heuristic_v6,ok,"building00,building01,building02,parking00,parking01,parking02,playground00","street01,street02",13738,1373.699999999997,OEM719_RTK,ODO_SPEED,0.29955726611376243,0.24431622857630758,0.5189477529482736,0.5889670625238593,0.2621438750782777,0.320120617698066,0.5782244472027941,0.018719981381839404,0.06242671163519538,0.10454895405886286,0.02591668955458272,0.1284923024271873,7.708263547769345e-05,1.0020730950952308,1373,1373,0,0,0.0,0.9000000000087311,0.0,0.0,0.0,0.0,0.0,0.0,1.7901054620742798,2.1545333862304688,2.980053663253784,1.236601710319519,1.8914657831192017,4.233100891113281,
8,street00,gru_dynamics,ok,"building00,building01,building02,parking00,parking01,parking02,playground00","street01,street02",13738,1373.699999999997,OEM719_RTK,ODO_SPEED,0.29714774984570086,0.23857572512742464,0.5138785311747444,0.5865397410061106,0.25966569451071786,0.3238158041175314,0.8107101150653185,0.017833063519940663,0.06612424864748638,0.11682431340575433,0.024798682715970854,0.1298296457581054,7.788490881655047e-05,1.0014585900128241,1373,1373,0,0,0.0,0.9000000000087311,0.01945732906460762,0.03667036443948746,0.15390941500663757,0.012984105385839939,0.047256868332624435,0.19195415079593658,1.0,1.0,1.0,1.0,1.0,1.0,
8,street00,gru_q,ok,"building00,building01,building02,parking00,parking01,parking02,playground00","street01,street02",13738,1373.699999999997,OEM719_RTK,ODO_SPEED,0.30223633869992234,0.25284609502456307,0.5250702244006421,0.6010096375104524,0.2647436463156649,0.3191215106631253,0.6863361764996235,0.018469273999178557,0.06661386782864262,0.11236461424442652,0.02590772924621112,0.12857322121693598,7.713117872468702e-05,1.0022092580465176,1373,1370,0,3,0.21849963583394028,3.900000000008731,0.0,0.0,0.0,0.0,0.0,0.0,1.0390690565109253,1.142006754875183,7.953657150268555,1.6708377599716187,4.821332931518555,9.999547004699707,
8,street00,gru_dual,ok,"building00,building01,building02,parking00,parking01,parking02,playground00","street01,street02",13738,1373.699999999997,OEM719_RTK,ODO_SPEED,0.3001707193067734,0.23615768639980578,0.5205151939102575,0.599179804085031,0.2631279377462575,0.2367647278532587,0.7386601323170708,0.01740526292913729,0.06190722747737404,0.10720825314371023,0.02421603211498549,0.13138698147461295,7.881915576430027e-05,1.0016759799259398,1373,1373,0,0,0.0,0.9000000000087311,0.018409626558423042,0.038152530789375305,0.3558349907398224,0.012650995515286922,0.046861179172992706,0.19326357543468475,1.0178654193878174,1.0160775184631348,5.393579959869385,1.0035243034362793,1.0018527507781982,5.595022678375244,
9,street01,fixed_v5,ok,"building01,building02,parking00,parking01,parking02,playground00,street00","street02,building00",12483,1248.199999999997,OEM719_RTK,ODO_SPEED,1.1242790934823121,0.635328116340395,2.2628341729440997,3.1922935262848235,0.9339910205311294,0.7484345602456707,2.23964537416922,0.09977129589916567,0.257815613583011,0.40771690761483037,0.09704103412574046,0.6150500800258009,0.00037062627976653035,1.0149429637245542,1248,596,51,601,48.157051282051285,20.90000000000873,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,
9,street01,heuristic_v6,ok,"building01,building02,parking00,parking01,parking02,playground00,street00","street02,building00",12483,1248.199999999997,OEM719_RTK,ODO_SPEED,0.3906811981543975,0.25747995251832045,0.7118035482081151,0.9099248406846296,0.3247150409544241,0.5324598861224672,0.8867519610556726,0.035130910527282025,0.11341814827186714,0.19276505273000707,0.09681823362139197,0.14203946375714077,8.55923114913401e-05,1.0015746694600707,1248,1229,1,18,1.4423076923076923,11.900000000008731,0.0,0.0,0.0,0.0,0.0,0.0,1.9487154483795166,2.4983441829681396,4.602705001831055,1.3674982786178589,3.1608946323394775,9.233926773071289,
9,street01,gru_dynamics,ok,"building01,building02,parking00,parking01,parking02,playground00,street00","street02,building00",12483,1248.199999999997,OEM719_RTK,ODO_SPEED,0.39367336099621514,0.25621606401828867,0.7368186087975179,0.8626535293521657,0.3261280717370776,0.5739127236042068,1.3114593884150252,0.033929169298935,0.11298015384474465,0.20006063091518733,0.09549791902015846,0.127250993099212,7.668084876434606e-05,1.0004589337200658,1248,1214,1,33,2.644230769230769,11.900000000008731,0.021233290433883667,0.05019218474626541,0.0822618156671524,0.02228657715022564,0.13980431854724884,0.19997864961624146,1.0,1.0,1.0,1.0,1.0,1.0,
9,street01,gru_q,ok,"building01,building02,parking00,parking01,parking02,playground00,street00","street02,building00",12483,1248.199999999997,OEM719_RTK,ODO_SPEED,0.6403475093794937,0.29803150302047504,1.5544314114262465,2.318435082390063,0.5739815019091665,0.5933804231478412,1.413233183688036,0.07445132604006202,0.19035747729508937,0.3145196679215962,0.09678163438265787,0.29755207548490803,0.00017930347845683574,1.0057428089855784,1248,1081,12,155,12.419871794871796,15.900000000008731,0.0,0.0,0.0,0.0,0.0,0.0,1.0705987215042114,1.3347067832946777,9.344294548034668,2.2037248611450195,9.93647289276123,9.99985408782959,
