sequence,service,family,horizon_s,pos_tol_m,heading_tol_deg,aoi_limit_s,rate_hz,interval_s,delay_ms,coverage,physical_satisfaction,freshness_satisfaction,joint_satisfaction,failure_duration_s,max_failure_episode_s,mean_aoi_s,max_aoi_s,calibration_coverage,calibration_physical_satisfaction,calibration_freshness_satisfaction,calibration_joint_satisfaction,speed_mean,speed_p95,yaw_abs_mean,yaw_abs_p95,accel_abs_p95,turn_fraction,qualified
parking02,local_10s,local,10.0,0.5,10.0,1.5,2.0,0.5,200,1.0,0.6785547977100282,1.0,0.6785547977100282,391.1666666666667,10.166666666666666,0.5000082175962829,0.6999999999825377,0.985,0.45854483925549916,1.0,0.45854483925549916,1.2879678960735652,1.5726486351442093,0.0797505856324631,0.42720115364640404,1.044363342680681,0.2358803986710963,0
parking02,local_10s,local,10.0,0.5,10.0,1.5,5.0,0.2,0,1.0,0.9992604158106665,1.0,0.9992604158106665,0.9,0.10000000000000002,0.0499958911989476,0.1000000000058207,1.0,0.6616666666666667,1.0,0.6616666666666667,1.2879678960735652,1.5726486351442093,0.0797505856324631,0.42720115364640404,1.044363342680681,0.2358803986710963,1
parking02,local_10s,local,10.0,0.5,10.0,1.5,5.0,0.2,25,1.0,0.9635686306735693,1.0,0.9635686306735693,44.333333333333336,0.43333333333333335,0.1500041088010513,0.2000000000116415,0.995,0.6917922948073701,1.0,0.6917922948073701,1.2879678960735652,1.5726486351442093,0.0797505856324631,0.42720115364640404,1.044363342680681,0.2358803986710963,1
parking02,local_10s,local,10.0,0.5,10.0,1.5,5.0,0.2,50,1.0,0.9635686306735693,1.0,0.9635686306735693,44.333333333333336,0.43333333333333335,0.1500041088010513,0.2000000000116415,0.995,0.6917922948073701,1.0,0.6917922948073701,1.2879678960735652,1.5726486351442093,0.0797505856324631,0.42720115364640404,1.044363342680681,0.2358803986710963,1
parking02,local_10s,local,10.0,0.5,10.0,1.5,5.0,0.2,100,1.0,0.9489139069219602,1.0,0.9489139069219602,62.166666666666686,0.5,0.1700057523226363,0.2999999999883584,0.995,0.6767169179229481,1.0,0.6767169179229481,1.2879678960735652,1.5726486351442093,0.0797505856324631,0.42720115364640404,1.044363342680681,0.2358803986710963,1
parking02,local_10s,local,10.0,0.5,10.0,1.5,5.0,0.2,200,1.0,0.8486043772427205,1.0,0.8486043772427205,184.23333333333335,2.766666666666667,0.289999178242119,0.3999999999941792,0.985,0.5736040609137056,1.0,0.5736040609137056,1.2879678960735652,1.5726486351442093,0.0797505856324631,0.42720115364640404,1.044363342680681,0.2358803986710963,1
parking02,local_10s,local,10.0,0.5,10.0,1.5,10.0,0.1,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.6033333333333334,1.0,0.6033333333333334,1.2879678960735652,1.5726486351442093,0.0797505856324631,0.42720115364640404,1.044363342680681,0.2358803986710963,1
parking02,local_10s,local,10.0,0.5,10.0,1.5,10.0,0.1,25,1.0,0.9984386556002957,1.0,0.9984386556002957,1.9000000000000004,0.26666666666666666,0.09999999999999949,0.1000000000058207,0.995,0.71356783919598,1.0,0.71356783919598,1.2879678960735652,1.5726486351442093,0.0797505856324631,0.42720115364640404,1.044363342680681,0.2358803986710963,1
parking02,local_10s,local,10.0,0.5,10.0,1.5,10.0,0.1,50,1.0,0.9984386556002957,1.0,0.9984386556002957,1.9000000000000004,0.26666666666666666,0.09999999999999949,0.1000000000058207,0.995,0.71356783919598,1.0,0.71356783919598,1.2879678960735652,1.5726486351442093,0.0797505856324631,0.42720115364640404,1.044363342680681,0.2358803986710963,1
parking02,local_10s,local,10.0,0.5,10.0,1.5,10.0,0.1,100,1.0,0.9834552277645384,1.0,0.9834552277645384,20.133333333333336,0.3,0.1200016435215845,0.1999999999825377,0.995,0.71356783919598,1.0,0.71356783919598,1.2879678960735652,1.5726486351442093,0.0797505856324631,0.42720115364640404,1.044363342680681,0.2358803986710963,1
