trial,policy,requests,requests_per_s,response_bytes_per_s,p95_delivery_age_s,repeated_source_fraction,rate_switches,service_id,windows,pass,fail,unobservable,observable_fraction,satisfaction_given_observable
2,static-high,139,1.5343687562782193,951.3638220132253,1.3284786643982898,0.05755395683453238,0,local_5s_moderate,139,13,119,7,0.9496402877697842,0.09848484848484848
2,static-high,139,1.5343687562782193,951.3638220132253,1.3284786643982898,0.05755395683453238,0,local_10s_preview,139,49,73,17,0.8776978417266187,0.4016393442622951
2,static-high,139,1.5343687562782193,951.3638220132253,1.3284786643982898,0.05755395683453238,0,global_state_tracking,139,32,107,0,1.0,0.2302158273381295
2,aoi-only,139,1.5343687562782193,951.3638220132253,1.3284786643982898,0.05755395683453238,1,local_1s_tight,139,1,137,1,0.9928057553956835,0.007246376811594203
2,aoi-only,139,1.5343687562782193,951.3638220132253,1.3284786643982898,0.05755395683453238,1,local_5s_moderate,139,13,119,7,0.9496402877697842,0.09848484848484848
2,aoi-only,139,1.5343687562782193,951.3638220132253,1.3284786643982898,0.05755395683453238,1,local_10s_preview,139,49,73,17,0.8776978417266187,0.4016393442622951
2,aoi-only,139,1.5343687562782193,951.3638220132253,1.3284786643982898,0.05755395683453238,1,global_state_tracking,139,32,107,0,1.0,0.2302158273381295
2,contract-aware,139,1.5343687562782193,951.3638220132253,1.3284786643982898,0.05755395683453238,1,local_1s_tight,139,1,137,1,0.9928057553956835,0.007246376811594203
2,contract-aware,139,1.5343687562782193,951.3638220132253,1.3284786643982898,0.05755395683453238,1,local_5s_moderate,139,13,119,7,0.9496402877697842,0.09848484848484848
2,contract-aware,139,1.5343687562782193,951.3638220132253,1.3284786643982898,0.05755395683453238,1,local_10s_preview,139,49,73,17,0.8776978417266187,0.4016393442622951
2,contract-aware,139,1.5343687562782193,951.3638220132253,1.3284786643982898,0.05755395683453238,1,global_state_tracking,139,32,107,0,1.0,0.2302158273381295
3,static-low,140,1.5425637409374373,954.9901937019322,1.239384187698306,0.02142857142857143,0,local_1s_tight,140,0,138,2,0.9857142857142858,0.0
3,static-low,140,1.5425637409374373,954.9901937019322,1.239384187698306,0.02142857142857143,0,local_5s_moderate,140,30,102,8,0.9428571428571428,0.22727272727272727
3,static-low,140,1.5425637409374373,954.9901937019322,1.239384187698306,0.02142857142857143,0,local_10s_preview,140,73,50,17,0.8785714285714286,0.5934959349593496
3,static-low,140,1.5425637409374373,954.9901937019322,1.239384187698306,0.02142857142857143,0,global_state_tracking,140,42,98,0,1.0,0.3
3,static-high,140,1.5425637409374373,954.9901937019322,1.239384187698306,0.02142857142857143,0,local_1s_tight,140,0,138,2,0.9857142857142858,0.0
3,static-high,140,1.5425637409374373,954.9901937019322,1.239384187698306,0.02142857142857143,0,local_5s_moderate,140,30,102,8,0.9428571428571428,0.22727272727272727
3,static-high,140,1.5425637409374373,954.9901937019322,1.239384187698306,0.02142857142857143,0,local_10s_preview,140,73,50,17,0.8785714285714286,0.5934959349593496
3,static-high,140,1.5425637409374373,954.9901937019322,1.239384187698306,0.02142857142857143,0,global_state_tracking,140,42,98,0,1.0,0.3
3,aoi-only,140,1.5425637409374373,954.9901937019322,1.239384187698306,0.02142857142857143,1,local_1s_tight,140,0,138,2,0.9857142857142858,0.0
3,aoi-only,140,1.5425637409374373,954.9901937019322,1.239384187698306,0.02142857142857143,1,local_5s_moderate,140,30,102,8,0.9428571428571428,0.22727272727272727
3,aoi-only,140,1.5425637409374373,954.9901937019322,1.239384187698306,0.02142857142857143,1,local_10s_preview,140,73,50,17,0.8785714285714286,0.5934959349593496
