replicate,fold,sequence,n_samples,true_delta_v_mean_mps,v1_delta_v_mean_mps,delta_v_prediction_rmse_mps,delta_v_prediction_mae_mps,delta_v_prediction_correlation,remaining_mean_velocity_residual_mps,true_delta_omega_mean_radps,v1_delta_omega_mean_radps,delta_omega_prediction_rmse_radps,delta_omega_prediction_mae_radps,delta_omega_prediction_correlation,remaining_mean_yaw_residual_radps,remaining_mean_yaw_residual_deg_per_min
replicate_02_base1042,9,street01,12483,-0.020225379256840877,-0.020084656448256875,0.03350345995426858,0.023318915257976646,0.4746528846376004,-0.00014072280858400192,0.0004471794169526244,0.0009625691277037492,0.01308133637794062,0.004422244598396786,0.9781161855862682,-0.0005153897107511247,-1.7717793138304632
replicate_02_base1042,10,street02,13799,-0.019800506567723926,-0.020251376228729676,0.03690957285517581,0.02299978944912844,0.29408727583933,0.00045086966100574684,0.0002583022909891212,0.00035141907709019567,0.00830578452307142,0.0032136295747525853,0.9904968009008729,-9.311678610107443e-05,-0.32011193072484057
replicate_03_base2042,1,building00,12009,-0.02178054854819371,-0.02352330270277939,0.05516110105809235,0.03793369492295319,0.2593992748931805,0.001742754154585678,0.0001451308791218901,5.435866734242648e-05,0.006163729840889941,0.003967553116660246,0.9889954937267521,9.077221177946356e-05,0.3120518779218575
replicate_03_base2042,2,building01,13689,-0.020431343965525515,-0.02059569773585321,0.057603239962514326,0.034033025058173176,0.4161237412709266,0.00016435377032769638,0.0005902310875798406,0.00037793568026645485,0.00480095848412912,0.00317296093583077,0.9906035283898428,0.00021229540731338575,0.7298178509440654
replicate_03_base2042,3,building02,18714,-0.021041563676544663,-0.022204950036614168,0.046291541883877574,0.029510118996387082,0.38290793907461385,0.001163386360069501,0.0004070682321160223,0.0006939960234585642,0.005609941626544085,0.00357253382295263,0.9907862957349358,-0.0002869277913425418,-0.986385088136278
replicate_03_base2042,4,parking00,11409,-0.020290981381348175,-0.021552094069463845,0.05805365502200761,0.032547143512582886,0.3596618925193171,0.0012611126881156706,0.0004067370358943131,0.0002284921396897362,0.005644389962432259,0.0032904357308795947,0.9881305999722513,0.0001782448962045769,0.6127608163361808
replicate_03_base2042,5,parking01,10599,-0.019050723215280008,-0.01828867350406566,0.05454855083875178,0.026829515251372702,0.44498794958895205,-0.0007620497112143505,0.0007447162421465136,0.00045522492375580715,0.004218569508604842,0.0023142061163711424,0.9910697949207351,0.00028949131839070655,0.9951978449679262
replicate_03_base2042,6,parking02,12569,-0.018213254008098992,-0.019456763230511275,0.051641607946108226,0.02424935806948492,0.4467050750638442,0.0012435092224122814,0.0010008592834475432,0.00015023148540697665,0.004066610571718059,0.0023327848004481887,0.9914307434013604,0.0008506277980405663,2.9242429658538605
replicate_03_base2042,7,playground00,13263,-0.025814852662678845,-0.020051039163861056,0.03969300798799071,0.02938056694244299,0.40483674862853514,-0.005763813498817792,0.00016972158417089044,0.0007544346022297069,0.007205564622743492,0.005223985335892924,0.978818212834901,-0.0005847130180588162,-2.0100952896676114
replicate_03_base2042,8,street00,13738,-0.018633160948584953,-0.01892333259216133,0.02895285356686325,0.020543218130171067,0.2965762421389367,0.00029017164357637637,0.00014093913896522857,0.0003292879096919035,0.0028743244479790962,0.0019751019056905073,0.9909692786530104,-0.0001883487707266749,-0.6474953783469396
