============================================================================================================
ORIGINAL DUAL-GRU — 10-FOLD × 3-SEED DETERMINISTIC REPRODUCIBILITY STUDY
============================================================================================================
Device: cuda
GPU: Tesla T4
Git commit: 9bd1f06a415bcc47e416797226dade06094b8216
Base seeds: [42, 1042, 2042]
Sequences: building00, building01, building02, parking00, parking01, parking02, playground00, street00, street01, street02
Strict deterministic algorithms: True
No V2/V3/V3.1/V3.2 model is trained in this notebook.

Preparing sequences using ORIGINAL LOSO pipeline...
  building00     12009 samples
  building01     13689 samples
  building02     18714 samples
  parking00      11409 samples
  parking01      10599 samples
  parking02      12569 samples
  playground00   13263 samples
  street00       13738 samples
  street01       12483 samples
  street02       13799 samples

Existing completed runs: 0/30

============================================================================================================
RUN 1/30 | replicate=1/3 | test=building00 | base_seed=42 | method_seed=45
VAL  : building01, building02
      dual     epoch=020 train=0.06365 val=0.09102
      dual     epoch=021 train=0.06342 val=0.09088
      dual     epoch=022 train=0.06278 val=0.09048
      dual     epoch=023 train=0.06254 val=0.09019
      dual     epoch=024 train=0.06227 val=0.08855
      dual     epoch=025 train=0.06192 val=0.08958
      dual     epoch=026 train=0.06142 val=0.08942
      dual     epoch=027 train=0.06122 val=0.08815
      dual     epoch=028 train=0.06085 val=0.08834
      dual     epoch=029 train=0.05997 val=0.08484
      dual     epoch=030 train=0.05977 val=0.08677
      dual     epoch=031 train=0.05938 val=0.08732
      dual     epoch=032 train=0.05939 val=0.08272
      dual     epoch=033 train=0.05868 val=0.08252
      dual     epoch=034 train=0.05840 val=0.08329
      dual     epoch=035 train=0.05820 val=0.08250
      dual     epoch=036 train=0.05768 val=0.08378
      dual     epoch=037 train=0.05751 val=0.08185
      dual     epoch=038 train=0.05726 val=0.08269
      dual     epoch=039 train=0.05686 val=0.08157
      dual     epoch=040 train=0.05681 val=0.07979
      dual     epoch=041 train=0.05661 val=0.07966
      dual     epoch=042 train=0.05630 val=0.08155
      dual     epoch=043 train=0.05629 val=0.08024
      dual     epoch=044 train=0.05549 val=0.08045
      dual     epoch=045 train=0.05584 val=0.07928
      dual     epoch=046 train=0.05533 val=0.07957
      dual     epoch=047 train=0.05504 val=0.07988
      dual     epoch=048 train=0.05485 val=0.07999
      dual     epoch=049 train=0.05445 val=0.07965
      dual     epoch=050 train=0.05448 val=0.07837
      dual     epoch=051 train=0.05416 val=0.08268
      dual     epoch=052 train=0.05405 val=0.08100
      dual     epoch=053 train=0.05340 val=0.07934
      dual     epoch=054 train=0.05321 val=0.07779
      dual     epoch=055 train=0.05273 val=0.07926
      dual     epoch=056 train=0.05236 val=0.07960
      dual     epoch=057 train=0.05232 val=0.07924
      dual     epoch=058 train=0.05185 val=0.07917
      dual     epoch=059 train=0.05161 val=0.07794
      dual     epoch=060 train=0.05099 val=0.08000
RESULT building02 seed#1: ATE=1.728 m | RPE5=0.326 m | RPE10=0.514 m | heading=0.89°

============================================================================================================
RUN 4/30 | replicate=1/3 | test=parking00 | base_seed=42 | method_seed=345
VAL  : parking01, parking02
TRAIN: building00, building01, building02, playground00, street00, street01, street02
============================================================================================================
      dual     epoch=001 train=0.37263 val=0.13319
      dual     epoch=002 train=0.23939 val=0.11229
      dual     epoch=003 train=0.22968 val=0.10238
      dual     epoch=004 train=0.22552 val=0.09342
      dual     epoch=005 train=0.22278 val=0.08519
      dual     epoch=006 train=0.08991 val=0.05530
      dual     epoch=007 train=0.08288 val=0.05544
      dual     epoch=008 train=0.08168 val=0.05522
      dual     epoch=009 train=0.08087 val=0.05643
      dual     epoch=010 train=0.07990 val=0.05748
      dual     epoch=011 train=0.07970 val=0.05530
      dual     epoch=012 train=0.07880 val=0.05681
      dual     epoch=013 train=0.07840 val=0.05651
      dual     epoch=014 train=0.07832 val=0.05676
      dual     epoch=015 train=0.07791 val=0.05801
      dual     epoch=016 train=0.07737 val=0.05309
      dual     epoch=017 train=0.07735 val=0.05385
      dual     epoch=018 train=0.07732 val=0.05360
      dual     epoch=019 train=0.07698 val=0.05620
      dual     epoch=020 train=0.07688 val=0.05486
      dual     epoch=021 train=0.07649 val=0.05285
      dual     epoch=022 train=0.07649 val=0.05387
      dual     epoch=023 train=0.07633 val=0.05413
      dual     epoch=024 train=0.07594 val=0.05253
      dual     epoch=025 train=0.07601 val=0.05163
      dual     epoch=026 train=0.07596 val=0.05300
      dual     epoch=027 train=0.07580 val=0.05190
      dual     epoch=028 train=0.07553 val=0.05287
      dual     epoch=029 train=0.07533 val=0.05074
      dual     epoch=030 train=0.07536 val=0.05167
      dual     epoch=031 train=0.07474 val=0.05100
      dual     epoch=032 train=0.07451 val=0.05113
      dual     epoch=033 train=0.07430 val=0.05125
      dual     epoch=034 train=0.07414 val=0.04871
      dual     epoch=035 train=0.07370 val=0.04865
      dual     epoch=036 train=0.07293 val=0.04766
      dual     epoch=037 train=0.07260 val=0.04926
      dual     epoch=038 train=0.07229 val=0.04837
      dual     epoch=039 train=0.07224 val=0.04669
      dual     epoch=040 train=0.07165 val=0.04800
      dual     epoch=041 train=0.07171 val=0.04540
      dual     epoch=042 train=0.07132 val=0.04700
      dual     epoch=043 train=0.07140 val=0.04701
      dual     epoch=044 train=0.07112 val=0.04649
      dual     epoch=045 train=0.07097 val=0.04488
      dual     epoch=046 train=0.07083 val=0.04710
      dual     epoch=047 train=0.07028 val=0.04473
      dual     epoch=048 train=0.07033 val=0.04601
      dual     epoch=049 train=0.07006 val=0.04545
      dual     epoch=050 train=0.06991 val=0.04419
      dual     epoch=051 train=0.06934 val=0.04556
      dual     epoch=052 train=0.06969 val=0.04351
      dual     epoch=053 train=0.06931 val=0.04404
      dual     epoch=054 train=0.06886 val=0.04450
      dual     epoch=055 train=0.06952 val=0.04290
      dual     epoch=056 train=0.06895 val=0.04357
      dual     epoch=057 train=0.06882 val=0.04431
      dual     epoch=058 train=0.06843 val=0.04404
      dual     epoch=059 train=0.06836 val=0.04437
      dual     epoch=060 train=0.06825 val=0.04289
RESULT parking00 seed#1: ATE=2.030 m | RPE5=0.226 m | RPE10=0.369 m | heading=0.84°

============================================================================================================
RUN 5/30 | replicate=1/3 | test=parking01 | base_seed=42 | method_seed=445
VAL  : parking02, playground00
TRAIN: building00, building01, building02, parking00, street00, street01, street02
============================================================================================================
      dual     epoch=001 train=0.35485 val=0.12929
      dual     epoch=002 train=0.22783 val=0.11228
      dual     epoch=003 train=0.21812 val=0.10219
      dual     epoch=004 train=0.21441 val=0.09192
      dual     epoch=005 train=0.21204 val=0.09047
      dual     epoch=006 train=0.08392 val=0.05566
      dual     epoch=007 train=0.07342 val=0.05378
      dual     epoch=008 train=0.07214 val=0.05425
      dual     epoch=009 train=0.07125 val=0.05458
      dual     epoch=010 train=0.07017 val=0.05295
      dual     epoch=011 train=0.06986 val=0.05187
      dual     epoch=012 train=0.06925 val=0.05173
