sequence,base_seed,x,y,pearson_r_timestamp_descriptive,n_timestamps,note
parking00,42,Iomega,signed_heading_error,0.10826193385094926,11409,"descriptive only; timestamps are correlated, not independent replicates"
parking00,42,accel_abs,Dp,0.013550234035011245,11409,"descriptive only; timestamps are correlated, not independent replicates"
parking00,42,curvature_abs,Dp,0.03418220450676834,11367,"descriptive only; timestamps are correlated, not independent replicates"
parking00,42,curvature_abs,Dtheta,0.06447090125204058,11367,"descriptive only; timestamps are correlated, not independent replicates"
parking00,42,persistent_yaw_residual,Iomega,0.02217688975717088,11409,"descriptive only; timestamps are correlated, not independent replicates"
parking00,42,speed_abs,Dp,-0.0634907939007984,11409,"descriptive only; timestamps are correlated, not independent replicates"
parking00,42,wheel_imu_yaw_disagreement_abs,Dp,0.022521251507712767,11409,"descriptive only; timestamps are correlated, not independent replicates"
parking00,42,wheel_imu_yaw_disagreement_abs,Dtheta,0.025353794491203074,11409,"descriptive only; timestamps are correlated, not independent replicates"
parking00,1042,Dtheta,Dp,0.7046639254257979,11409,"descriptive only; timestamps are correlated, not independent replicates"
parking00,1042,Iomega,Dtheta,0.21932018477582443,11409,"descriptive only; timestamps are correlated, not independent replicates"
parking00,1042,Iomega,signed_heading_error,0.09090158364451036,11409,"descriptive only; timestamps are correlated, not independent replicates"
parking00,1042,accel_abs,Dp,0.025276478849940543,11409,"descriptive only; timestamps are correlated, not independent replicates"
parking00,1042,curvature_abs,Dp,0.017159477168074665,11367,"descriptive only; timestamps are correlated, not independent replicates"
parking00,1042,curvature_abs,Dtheta,0.038112193732480364,11367,"descriptive only; timestamps are correlated, not independent replicates"
parking00,1042,persistent_yaw_residual,Iomega,0.00926754091570425,11409,"descriptive only; timestamps are correlated, not independent replicates"
parking00,1042,speed_abs,Dp,-0.09379681985748296,11409,"descriptive only; timestamps are correlated, not independent replicates"
parking00,1042,wheel_imu_yaw_disagreement_abs,Dp,0.016459507358181493,11409,"descriptive only; timestamps are correlated, not independent replicates"
parking00,1042,wheel_imu_yaw_disagreement_abs,Dtheta,0.02040368007574419,11409,"descriptive only; timestamps are correlated, not independent replicates"
parking00,2042,Dtheta,Dp,0.6084512574853722,11409,"descriptive only; timestamps are correlated, not independent replicates"
parking00,2042,Iomega,Dtheta,0.29133981048627017,11409,"descriptive only; timestamps are correlated, not independent replicates"
parking00,2042,Iomega,signed_heading_error,0.10435794626919172,11409,"descriptive only; timestamps are correlated, not independent replicates"
parking00,2042,accel_abs,Dp,0.027510438831680917,11409,"descriptive only; timestamps are correlated, not independent replicates"
parking00,2042,curvature_abs,Dp,0.019857236740697753,11367,"descriptive only; timestamps are correlated, not independent replicates"
parking00,2042,curvature_abs,Dtheta,0.05305245824089603,11367,"descriptive only; timestamps are correlated, not independent replicates"
parking00,2042,persistent_yaw_residual,Iomega,0.01052062561393138,11409,"descriptive only; timestamps are correlated, not independent replicates"
parking00,2042,speed_abs,Dp,-0.08120120542539051,11409,"descriptive only; timestamps are correlated, not independent replicates"
parking00,2042,wheel_imu_yaw_disagreement_abs,Dp,0.020460220067032107,11409,"descriptive only; timestamps are correlated, not independent replicates"
parking00,2042,wheel_imu_yaw_disagreement_abs,Dtheta,0.019818049354771022,11409,"descriptive only; timestamps are correlated, not independent replicates"
parking01,42,Dtheta,Dp,0.6685164648898014,10599,"descriptive only; timestamps are correlated, not independent replicates"
parking01,42,Iomega,Dtheta,0.9083771924243501,10599,"descriptive only; timestamps are correlated, not independent replicates"
parking01,42,Iomega,signed_heading_error,-0.9291319891584618,10599,"descriptive only; timestamps are correlated, not independent replicates"
parking01,42,accel_abs,Dp,0.00493782342345945,10599,"descriptive only; timestamps are correlated, not independent replicates"
parking01,42,curvature_abs,Dp,-0.1044355450083672,10559,"descriptive only; timestamps are correlated, not independent replicates"
parking01,42,curvature_abs,Dtheta,-0.13748110638240996,10559,"descriptive only; timestamps are correlated, not independent replicates"
parking01,42,persistent_yaw_residual,Iomega,0.06252301510300944,10599,"descriptive only; timestamps are correlated, not independent replicates"
parking01,42,speed_abs,Dp,-0.09288969737637609,10599,"descriptive only; timestamps are correlated, not independent replicates"
parking01,42,wheel_imu_yaw_disagreement_abs,Dp,-0.01601566532888053,10599,"descriptive only; timestamps are correlated, not independent replicates"
parking01,42,wheel_imu_yaw_disagreement_abs,Dtheta,-0.00506093900485144,10599,"descriptive only; timestamps are correlated, not independent replicates"
parking01,1042,Dtheta,Dp,0.7006322242748931,10599,"descriptive only; timestamps are correlated, not independent replicates"
parking01,1042,Iomega,Dtheta,0.9821432042946586,10599,"descriptive only; timestamps are correlated, not independent replicates"
parking01,1042,Iomega,signed_heading_error,-0.9817678207813386,10599,"descriptive only; timestamps are correlated, not independent replicates"
parking01,1042,accel_abs,Dp,-0.004076096601549996,10599,"descriptive only; timestamps are correlated, not independent replicates"
parking01,1042,curvature_abs,Dp,-0.08355002369103497,10559,"descriptive only; timestamps are correlated, not independent replicates"
parking01,1042,curvature_abs,Dtheta,-0.07667495681908873,10559,"descriptive only; timestamps are correlated, not independent replicates"
parking01,1042,persistent_yaw_residual,Iomega,0.030920415386947536,10599,"descriptive only; timestamps are correlated, not independent replicates"
parking01,1042,speed_abs,Dp,-0.10642946376527727,10599,"descriptive only; timestamps are correlated, not independent replicates"
parking01,1042,wheel_imu_yaw_disagreement_abs,Dp,0.0019203546530959525,10599,"descriptive only; timestamps are correlated, not independent replicates"
parking01,1042,wheel_imu_yaw_disagreement_abs,Dtheta,-0.030718781152795666,10599,"descriptive only; timestamps are correlated, not independent replicates"
parking01,2042,Dtheta,Dp,0.740437548637331,10599,"descriptive only; timestamps are correlated, not independent replicates"
parking01,2042,Iomega,Dtheta,0.9947291650106753,10599,"descriptive only; timestamps are correlated, not independent replicates"
parking01,2042,Iomega,signed_heading_error,-0.9949098465516629,10599,"descriptive only; timestamps are correlated, not independent replicates"
parking01,2042,accel_abs,Dp,-0.0026845431695428517,10599,"descriptive only; timestamps are correlated, not independent replicates"
parking01,2042,curvature_abs,Dp,-0.08711884493379757,10559,"descriptive only; timestamps are correlated, not independent replicates"
parking01,2042,curvature_abs,Dtheta,-0.06943463238074411,10559,"descriptive only; timestamps are correlated, not independent replicates"
parking01,2042,persistent_yaw_residual,Iomega,0.013873353565689372,10599,"descriptive only; timestamps are correlated, not independent replicates"
parking01,2042,speed_abs,Dp,-0.07927478556160333,10599,"descriptive only; timestamps are correlated, not independent replicates"
parking01,2042,wheel_imu_yaw_disagreement_abs,Dp,-0.0008533149748118569,10599,"descriptive only; timestamps are correlated, not independent replicates"
parking01,2042,wheel_imu_yaw_disagreement_abs,Dtheta,-0.036810858183023674,10599,"descriptive only; timestamps are correlated, not independent replicates"
parking02,42,Dtheta,Dp,0.7881952826737864,12569,"descriptive only; timestamps are correlated, not independent replicates"
parking02,42,Iomega,Dtheta,0.9986535190480533,12569,"descriptive only; timestamps are correlated, not independent replicates"
parking02,42,Iomega,signed_heading_error,-0.9986355744689648,12569,"descriptive only; timestamps are correlated, not independent replicates"
parking02,42,accel_abs,Dp,0.012804696061371603,12569,"descriptive only; timestamps are correlated, not independent replicates"
parking02,42,curvature_abs,Dp,0.10273556966672749,12110,"descriptive only; timestamps are correlated, not independent replicates"
parking02,42,curvature_abs,Dtheta,0.041695039330099874,12110,"descriptive only; timestamps are correlated, not independent replicates"
parking02,42,persistent_yaw_residual,Iomega,0.007610812138806164,12569,"descriptive only; timestamps are correlated, not independent replicates"
parking02,42,speed_abs,Dp,0.05252613139392965,12569,"descriptive only; timestamps are correlated, not independent replicates"
parking02,42,wheel_imu_yaw_disagreement_abs,Dp,0.02510774356427865,12569,"descriptive only; timestamps are correlated, not independent replicates"
