outer_sequence,sequence,service,ideal_qualified,degraded_qualified,practical_qualified,classification,practical_restores,observability,degraded_delivery_status,ideal_delivery_status,practical_intervention_status,degraded_failure_component,ideal_failure_component,practical_failure_component,degraded_coverage,degraded_physical_satisfaction,degraded_freshness_satisfaction,degraded_joint_satisfaction,degraded_mean_position_discrepancy_m,degraded_p95_position_discrepancy_m,degraded_mean_heading_discrepancy_deg,degraded_p95_heading_discrepancy_deg,ideal_coverage,ideal_physical_satisfaction,ideal_freshness_satisfaction,ideal_joint_satisfaction,ideal_mean_position_discrepancy_m,ideal_p95_position_discrepancy_m,ideal_mean_heading_discrepancy_deg,ideal_p95_heading_discrepancy_deg,practical_coverage,practical_physical_satisfaction,practical_freshness_satisfaction,practical_joint_satisfaction,practical_mean_position_discrepancy_m,practical_p95_position_discrepancy_m,practical_mean_heading_discrepancy_deg,practical_p95_heading_discrepancy_deg,held_minus_ideal_mean_position_m,held_minus_ideal_mean_heading_deg
parking01,parking01,local_5s,1,0,1,delivery_remediable,1,1,unqualified,qualified,qualified,physical_only,none,none,1.0,0.684424496698865,1.0,0.684424496698865,0.18472750098126542,0.5578448793956226,2.222947883930068,9.45702450862884,1.0,0.998894201060266,1.0,0.998894201060266,0.07494663001393288,0.13248597681093896,0.23494513411893006,0.832814606970628,1.0,0.933261781637233,1.0,0.933261781637233,0.09462759017004463,0.21761244939380223,0.7760294260512111,3.337473865052106,0.10978087096733254,1.9880027498111377
parking02,parking02,global,0,0,0,persistent_under_ideal,0,1,unqualified,unqualified,unqualified,physical_only,physical_only,physical_only,1.0,0.0,1.0,0.0,10.593518296111986,25.555266266334268,19.056433268347266,34.132957734247995,1.0,0.0,1.0,0.0,10.634630065535866,25.311663389073587,19.08611017598341,34.09420474873372,1.0,0.0,1.0,0.0,10.61731968493588,25.416113475169283,19.035943247269753,33.80764155915335,-0.04111176942388006,-0.02967690763614428
parking02,parking02,local_10s,1,0,1,delivery_remediable,1,1,unqualified,qualified,qualified,physical_only,none,none,1.0,0.7510340482647164,1.0,0.7510340482647164,0.34954604159885466,1.1822961691588856,2.327325496398005,9.110530056953552,1.0,1.0,1.0,1.0,0.05259971161156235,0.14844695914169057,0.37402183739643563,0.9891289253144501,1.0,0.9651025830662613,1.0,0.9651025830662613,0.12766493565223294,0.4243749957101961,0.872714364781786,3.2845042205895463,0.2969463299872923,1.9533036590015693
parking02,parking02,local_1s,1,0,1,delivery_remediable,1,1,unqualified,qualified,qualified,physical_only,none,none,1.0,0.72227207221905,1.0,0.72227207221905,0.04045087132815184,0.11138966681397601,1.550717653221516,6.366409334748802,1.0,0.9998640454631972,1.0,0.9998640454631972,0.012773249704848636,0.03025407905986191,0.1556589370761284,0.5642796475327632,1.0,0.9241917502787068,1.0,0.9241917502787068,0.017875197085814584,0.05031434021399441,0.5624071905760885,2.448245925724368,0.0276776216233032,1.3950587161453876
parking02,parking02,local_5s,1,0,1,delivery_remediable,1,1,unqualified,qualified,qualified,physical_only,none,none,1.0,0.6890634803720981,1.0,0.6890634803720981,0.17233593375683198,0.6096151319981574,2.2590371861261906,8.951672728356739,1.0,0.9998090405652399,1.0,0.9998090405652399,0.030090242532488928,0.07798459609837487,0.28113714797988104,0.861325994258197,1.0,0.9352647516163352,1.0,0.9352647516163352,0.0639673039920081,0.22075735690006057,0.800983845832719,3.2508684339169367,0.14224569122434305,1.9779000381463097
playground00,playground00,global,1,1,1,already_qualified_degraded,0,1,qualified,qualified,qualified,none,none,none,1.0,0.9210316541952738,1.0,0.9210316541952738,0.5585033401397136,0.9784783156684361,1.0009690228581425,4.683719867264167,1.0,1.0,1.0,1.0,0.22306044369730293,0.37477302199471824,0.24617402371613586,0.5342744239610039,1.0,0.9975571498367147,1.0,0.9975571498367147,0.29196171980349006,0.5031260008023692,0.48818356869357044,1.8928503235485994,0.33544289644241065,0.7547949991420067
playground00,playground00,local_10s,1,1,1,already_qualified_degraded,0,1,qualified,qualified,qualified,none,none,none,1.0,0.8633807561740392,1.0,0.8633807561740392,0.25459876625823136,0.9824690842864211,1.4234249149268023,5.830650081512611,1.0,1.0,1.0,1.0,0.07314828439643711,0.1360107655348074,0.19727732984142554,0.5470152097744795,1.0,0.965378734872632,1.0,0.965378734872632,0.11276413658264978,0.40680822052547755,0.5659521345276137,2.3601824453632267,0.18145048186179424,1.2261475850853767
playground00,playground00,local_1s,1,0,1,delivery_remediable,1,1,unqualified,qualified,qualified,physical_only,none,none,1.0,0.7389021848220491,1.0,0.7389021848220491,0.03727897591187273,0.10875859850895093,1.4202024430309308,6.074501864963897,1.0,1.0,1.0,1.0,0.011689633681846274,0.024531628318257503,0.14183983096011263,0.47461187829391255,1.0,0.9270696621117374,1.0,0.9270696621117374,0.016921734840009913,0.04517362024609987,0.5388126485997511,2.4286743658371326,0.025589342230026457,1.2783626120708182
playground00,playground00,local_5s,1,0,1,delivery_remediable,1,1,unqualified,qualified,qualified,physical_only,none,none,1.0,0.7879398022664498,1.0,0.7879398022664498,0.14067417898667492,0.5105552051977584,1.4275682758160582,5.822862057238737,1.0,1.0,1.0,1.0,0.03882282681522989,0.07388464411319016,0.1804623537795312,0.534579084640526,1.0,0.9440873538294742,1.0,0.9440873538294742,0.061160023241720256,0.2081478809843839,0.5499054243674005,2.3690455320594626,0.10185135217144503,1.247105922036527
street00,street00,global,1,1,1,already_qualified_degraded,0,1,qualified,qualified,qualified,none,none,none,1.0,0.9171503695986506,1.0,0.9171503695986506,0.5611424278008922,0.9748417399132281,1.0198944639473189,4.836261167869939,1.0,1.0,1.0,1.0,0.2596708664650785,0.5193750263895187,0.22600427403421366,0.609881381495578,1.0,0.998933373021779,1.0,0.998933373021779,0.3258021023289896,0.5984405710644339,0.43489445369786833,1.761152457484443,0.3014715613358137,0.7938901899131052
street00,street00,local_10s,1,1,1,already_qualified_degraded,0,1,qualified,qualified,qualified,none,none,none,1.0,0.8274353976108362,1.0,0.8274353976108362,0.273761218806942,0.9295946333655603,1.6744122965439938,6.647355323370838,1.0,1.0,1.0,1.0,0.08296879506912107,0.1987730714596224,0.2925864591029066,0.8121197889317391,1.0,0.9817064027590344,1.0,0.9817064027590344,0.12662908681258006,0.3583319824077897,0.6323581770646483,2.3523683863886777,0.1907924237378209,1.3818258374410872
street00,street00,local_1s,1,0,1,delivery_remediable,1,1,unqualified,qualified,qualified,physical_only,none,none,1.0,0.7749975176248635,1.0,0.7749975176248635,0.034461324425995254,0.09284624726593872,1.2037816041822793,4.923979213738381,1.0,0.9998510574918081,1.0,0.9998510574918081,0.013914075575495023,0.0331657936170204,0.14701515341691462,0.47369818938459307,1.0,0.9582960977062854,1.0,0.9582960977062854,0.01713420885978027,0.04306579635801013,0.43877217459332485,1.8407212785084264,0.02054724885050023,1.0567664507653647
street00,street00,local_5s,1,0,1,delivery_remediable,1,1,unqualified,qualified,qualified,physical_only,none,none,1.0,0.7774624041430136,1.0,0.7774624041430136,0.13918740456992906,0.4664816412904957,1.4958208778651247,6.088659625446496,1.0,0.9970869435315208,1.0,0.9970869435315208,0.048273047058708086,0.11493039207218675,0.25677054401874727,0.7675943385855728,1.0,0.959665371974903,1.0,0.959665371974903,0.06627025716363272,0.1833462843851101,0.5584479901225446,2.1494366018230577,0.09091435751122098,1.2390503338463774
street01,street01,global,1,0,1,delivery_remediable,1,1,unqualified,qualified,qualified,physical_only,none,none,1.0,0.7836876521929464,1.0,0.7836876521929464,0.7013454894910583,1.2294898965247067,1.2773209451023984,6.042280309718405,1.0,1.0,1.0,1.0,0.34808048230022665,0.7606887089025735,0.37835289987414894,0.8573343102887682,1.0,0.9727215518892445,1.0,0.9727215518892445,0.4330064718027576,0.8994945840975562,0.6642448335196935,2.71646349467423,0.3532650071908317,0.8989680452282494
street01,street01,local_10s,1,0,1,delivery_remediable,1,1,unqualified,qualified,qualified,physical_only,none,none,1.0,0.775938646583354,1.0,0.775938646583354,0.3859731913115736,1.3328514182903204,1.8915132417769795,8.538327453334517,1.0,0.9867030814643162,1.0,0.9867030814643162,0.13073267509926145,0.296361668700123,0.2980964232727054,0.8825867309260302,1.0,0.9285221661287207,1.0,0.9285221661287207,0.20413454949236598,0.662392580857263,0.8181926713653264,3.793292188394903,0.25524051621231214,1.593416818504274
street01,street01,local_1s,1,0,1,delivery_remediable,1,1,unqualified,qualified,qualified,physical_only,none,none,1.0,0.7019359785317233,1.0,0.7019359785317233,0.05875826071773969,0.1737018642829323,1.5176188259581675,7.427188200624403,1.0,0.9920041622169281,1.0,0.9920041622169281,0.02014520870744245,0.0446536930376516,0.13531636432339675,0.5205468008540703,1.0,0.887428461896547,1.0,0.887428461896547,0.028156143984656986,0.07740197156354824,0.6257414876907906,3.44319174681817,0.03861305201029724,1.3823024616347708
street01,street01,local_5s,1,0,1,delivery_remediable,1,1,unqualified,qualified,qualified,physical_only,none,none,1.0,0.6607324377043325,1.0,0.6607324377043325,0.2151436304808466,0.707955537967126,1.826519385529041,8.530898526343575,1.0,0.9730761834116323,1.0,0.9730761834116323,0.07138648346881159,0.16960379641679413,0.24683146514811663,0.7901319708512706,1.0,0.8767823291848678,1.0,0.8767823291848678,0.10992539815631075,0.33265921626557565,0.7624780792751641,3.7417810698527796,0.143757147012035,1.5796879203809242
street02,street02,global,1,0,1,delivery_remediable,1,1,unqualified,qualified,qualified,physical_only,none,none,1.0,0.6964713435563127,1.0,0.6964713435563127,0.7255645212929901,1.4059258770637821,1.4768996556679994,6.913772194989908,1.0,1.0,1.0,1.0,0.37743506980476216,0.8522402340333416,0.5020734284771543,1.0892448655915374,1.0,0.9327110650171617,1.0,0.9327110650171617,0.458690299946735,0.9959438506149675,0.8003649971318456,2.955393054753975,0.34812945148822794,0.9748262271908451
street02,street02,local_10s,1,0,1,delivery_remediable,1,1,unqualified,qualified,qualified,physical_only,none,none,1.0,0.7559519367116949,1.0,0.7559519367116949,0.40815182456124277,1.512455103374618,2.1576870394743977,9.415477541048283,1.0,0.9897007239346219,1.0,0.9897007239346219,0.13277889162689355,0.28348042739929025,0.2841049661223946,0.8829840326573898,1.0,0.9237007736895788,1.0,0.9237007736895788,0.2116061711120559,0.657810031470975,0.8859177308846863,4.137071050451567,0.2753729329343492,1.873582073352003
street02,street02,local_1s,1,0,1,delivery_remediable,1,1,unqualified,qualified,qualified,physical_only,none,none,1.0,0.6765759754861986,1.0,0.6765759754861986,0.06147390204809892,0.1833286751956882,1.7050757928130869,8.28087727495939,1.0,0.9881631947018558,1.0,0.9881631947018558,0.02043271597578892,0.04464273353937651,0.1402257392646004,0.5536719720617279,1.0,0.8672992808955445,1.0,0.8672992808955445,0.02911849092774735,0.08308030922874658,0.6839973217626532,3.6989052688978212,0.04104118607231,1.5648500535484864
street02,street02,local_5s,1,0,1,delivery_remediable,1,1,unqualified,qualified,qualified,physical_only,none,none,1.0,0.6500111532455944,1.0,0.6500111532455944,0.2222745820948607,0.7780025936779046,2.0071146906738826,9.286750614344195,1.0,0.9693161821201081,1.0,0.9693161821201081,0.0736772998400433,0.17416201200585124,0.24769121608795977,0.7791633688288099,1.0,0.8591964706173941,1.0,0.8591964706173941,0.1142421880988566,0.34056398207720684,0.818215057301964,4.014106164913991,0.1485972822548174,1.7594234745859227
