sequence,service,classification,rate_hz,delay_ms,age_mean,age_p95,corr_age_increment_heading,corr_age_increment_position,corr_hold_heading_increment_heading,corr_hold_position_increment_position,delivery_gained_pass_fraction,delivery_lost_pass_fraction,held_discrepancy_pass_fraction,held_heading_fail_fraction,held_heading_mean,held_heading_p95,held_position_fail_fraction,held_position_mean,held_position_p95,hold_heading_mean,hold_heading_p95,hold_position_mean,hold_position_p95,ideal_discrepancy_pass_fraction,ideal_heading_fail_fraction,ideal_heading_mean,ideal_heading_p95,ideal_position_fail_fraction,ideal_position_mean,ideal_position_p95,increment_heading_mean,increment_heading_negative_fraction,increment_heading_p95,increment_position_mean,increment_position_negative_fraction,increment_position_p95,persistent_ideal_fail_fraction,samples,configuration
building00,local_10s,,2.0,200,0.4,0.6,0.2503401892601018,0.21117491048166181,0.6246372261274818,0.17862918347070159,0.0425531914893617,0.2193126022913257,0.43931432509260054,0.05073649754500818,2.8537359394960724,10.069423420615017,0.5562925316564734,0.7250901672140863,1.9115947410068326,1.548214614337679,7.571150216900081,0.5626772118750617,0.9327801711842816,0.6160737358945646,0.0,0.6456299612917537,1.6899547577590392,0.38392626410543546,0.5068392486666436,1.1663635551943599,2.208105978204318,0.22887414936687053,9.37829949362034,0.21825091854744263,0.33775518993884057,1.1600307812076927,0.38392626410543546,11609.0,fixed_v5_deterministic
building00,global,,10.0,0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,1.3417115744833013,3.4153792304178374,1.0,2.8093624795757015,4.046760347251482,0.0,0.0,0.0,0.0,0.0,0.0,1.3417115744833013,3.4153792304178374,1.0,2.8093624795757015,4.046760347251482,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11709.0,fixed_v5_deterministic
building00,global,,5.0,50,0.15000427021948926,0.2,0.14362422694417254,0.020145710334690856,0.661053145443523,-0.027156223658602416,0.0,0.0,0.0,0.02297378085233581,1.6092787998263562,4.1920144043584555,1.0,2.8169411556149244,4.149181038228279,0.6239732748758009,3.1492345800114014,0.21112981938677036,0.3308130907539972,0.0,0.0,1.3417115744833013,3.4153792304178374,1.0,2.8093624795757015,4.046760347251482,0.2675672253430548,0.44546929712187205,2.3647979208314096,0.007578676039223565,0.46442907165428304,0.27889488358050357,1.0,11709.0,fixed_v5_deterministic
building00,global,,2.0,200,0.4,0.6,0.17507715209117677,0.05205504208582561,0.9189174232768984,0.014149222144217011,0.004014006319924844,0.0,0.004014006319924844,0.1137586471944658,2.3841730721563072,7.923823882369121,0.9954735673413614,2.8486621639137435,4.43198299169216,1.543042070458289,7.553111592820414,0.563063793277291,0.9327801711842816,0.0,0.0,1.3417115744833013,3.4153792304178374,1.0,2.8093624795757015,4.046760347251482,1.0424614976730062,0.386284055000427,6.487916927234681,0.03929968433804239,0.4354769835169528,0.7288335398584651,1.0,11709.0,fixed_v5_deterministic
building01,local_1s,,10.0,0,0.0,0.0,,,,,0.0,0.0,0.9286942222886614,0.0,0.08456743278742437,0.24662389291197973,0.07130577771133867,0.041602915869629525,0.11490695670537575,0.0,0.0,0.0,0.0,0.9286942222886614,0.0,0.08456743278742437,0.24662389291197973,0.07130577771133867,0.041602915869629525,0.11490695670537575,0.0,0.0,0.0,0.0,0.0,0.0,0.07130577771133867,13379.0,fixed_v5_deterministic
building01,local_1s,,5.0,50,0.1500037372000897,0.2,0.23038208087583684,0.1785161116482266,0.49383005594777507,0.11179638623599507,0.009492488227819718,0.11622692278944614,0.8219597877270349,0.10718289857238956,0.7423808607728494,2.879864991068223,0.08685253008446073,0.04716480629041065,0.12098124885726012,0.7243819945471996,3.3714645271080097,0.19172295957804517,0.3233046370186235,0.9286942222886614,0.0,0.08456743278742437,0.24662389291197973,0.07130577771133867,0.041602915869629525,0.11490695670537575,0.6578134279854251,0.14971223559309366,2.7607893052306984,0.0055618904207811164,0.4010763136258315,0.0381384043259433,0.07130577771133867,13379.0,fixed_v5_deterministic
building01,local_1s,,2.0,200,0.4,0.6,0.22613313591168271,0.24532634033490633,0.4803691203004342,0.1835201532098515,0.009716720233201286,0.3397114881530757,0.5986994543687869,0.30458180730996337,1.7957466261448642,6.789317297002824,0.1897750205546005,0.06568633153412243,0.15991585795958738,1.8410236046481208,8.495042390853985,0.5111150425150986,0.8941652832576963,0.9286942222886614,0.0,0.08456743278742437,0.24662389291197973,0.07130577771133867,0.041602915869629525,0.11490695670537575,1.71117919335744,0.0865535540772853,6.666476839305898,0.024083415664492895,0.2681067344345616,0.10363244331941851,0.07130577771133867,13379.0,fixed_v5_deterministic
building01,local_5s,,10.0,0,0.0,0.0,,,,,0.0,0.0,0.6931554089511958,0.0,0.2436794953399801,0.8044602758303403,0.30684459104880424,0.19295555432358294,0.5645601295280973,0.0,0.0,0.0,0.0,0.6931554089511958,0.0,0.2436794953399801,0.8044602758303403,0.30684459104880424,0.19295555432358294,0.5645601295280973,0.0,0.0,0.0,0.0,0.0,0.0,0.30684459104880424,13339.0,fixed_v5_deterministic
building01,local_5s,,5.0,50,0.15000374840692707,0.2,0.25838853279574825,0.1807808967697763,0.594388343926676,0.09231881122773315,0.026613689182097607,0.14109003673438789,0.5786790613989055,0.022490441562336008,1.1271036151941476,3.9740984551200547,0.4166729140115451,0.2235904625976227,0.5985860418390241,0.724076651321099,3.3714645271080097,0.1916369357375833,0.3233855971797065,0.6931554089511958,0.0,0.2436794953399801,0.8044602758303403,0.30684459104880424,0.19295555432358294,0.5645601295280973,0.8834241198541675,0.22475447934627782,3.7580723332279833,0.030634908274039686,0.37693980058475146,0.20226113714424743,0.30684459104880424,13339.0,fixed_v5_deterministic
building01,local_5s,,2.0,200,0.4,0.6,0.2679641278643342,0.2468006933495893,0.6146124674883612,0.14520261770893417,0.026613689182097607,0.3436539470724942,0.3761151510607992,0.19461728765274758,2.808881313568085,10.249171311190027,0.5993702676362546,0.3166160796682989,0.8178206545595683,1.8414481507774023,8.508329338329215,0.5108846436994275,0.8942551250164674,0.6931554089511958,0.0,0.2436794953399801,0.8044602758303403,0.30684459104880424,0.19295555432358294,0.5645601295280973,2.5652018182281044,0.14851188244995878,9.946040968414616,0.1236605253447159,0.2822550416073169,0.584568951024549,0.30684459104880424,13339.0,fixed_v5_deterministic
