context,condition_bin,component,units,n_sequences,n_sequence_condition_rows,support_label,sequence_mean_of_median,sequence_median_of_median,sequence_p95_of_median,sequence_sd_of_median,sequence_mean_of_mean,sequence_median_of_mean,sequence_p95_of_mean,sequence_sd_of_mean,sequence_mean_of_p90,sequence_median_of_p90,sequence_p95_of_p90,sequence_sd_of_p90,sequence_mean_of_p95,sequence_median_of_p95,sequence_p95_of_p95,sequence_sd_of_p95,sequence_mean_of_max,sequence_median_of_max,sequence_p95_of_max,sequence_sd_of_max
acceleration,medium,Dv_mps,m/s,10,10,descriptive_broad_support,0.02086198731752418,0.02050389532814728,0.02651330233396336,0.003945601202205658,0.0289942948507237,0.029259225884741155,0.03580390237886563,0.005572780620272206,0.05903490028635126,0.058722153243919224,0.07488571763969949,0.012656205880190672,0.07802984306782786,0.07416579871593651,0.10202612493478212,0.018543829777378996,0.5230566789473716,0.5495422882959247,0.6890687217935919,0.13325642786272746
acceleration,medium,Iomega_abs_deg,deg,10,10,descriptive_broad_support,9.408749485881817,7.77460145060285,16.634901920983264,5.062016157773513,9.357879815840693,8.56165367703483,16.740214238895316,4.831252999121654,16.346317710483667,14.595058984906006,30.071408028896535,8.798366315653002,17.123727849732695,14.977446103070772,31.32915099635739,9.124053951880486,18.774173029265064,16.696395626768613,33.06448442373038,9.259578905908345
curvature,high,Domega_radps,rad/s,10,10,descriptive_broad_support,0.01958982461558961,0.0170186765559871,0.03836623837463164,0.01093414903969487,0.035442810529647074,0.028230972893078014,0.07364860081294562,0.02092067667005631,0.09073205368127675,0.0668252476801475,0.19914249922847377,0.058664833360888825,0.1190237769950181,0.09227039349886265,0.24110605030320592,0.06646992821217232,0.3396958184738954,0.3163025751709938,0.4879940055621167,0.10643596596025112
curvature,high,Dp_m,m,10,10,descriptive_broad_support,1.7849208714392364,0.9083977419070716,6.115179869508801,2.6679029953884843,2.0913773809546483,1.2359502108675424,7.149856541614785,3.0817997830172623,4.015776101126747,2.085264124549975,14.133944466951089,5.935400265059174,4.767497440762713,2.622302310303534,16.54239003125076,7.00461316127085,5.62681261070828,4.154223975694126,17.98778079023805,7.513024118727025
curvature,high,Dtheta_deg,deg,10,10,descriptive_broad_support,2.4282282918640314,0.4561383886102825,11.228219617574545,5.216371223391845,2.648523989576091,0.690693607877119,11.68832798825823,5.373091111817624,4.8270581618930075,1.7008099181540095,20.100942159094174,9.135012255402465,5.313774342188193,2.2202176040850965,20.75522104296532,9.27712250267711,6.807921975137833,4.023320823330783,22.158487087497754,9.430109547325259
curvature,high,Dv_mps,m/s,10,10,descriptive_broad_support,0.02327889819813808,0.022719431202858624,0.029558579693548342,0.004658607766152322,0.03590944736310209,0.036122133205576765,0.044443922991608396,0.00688913242849305,0.07100692291394803,0.06577569637447589,0.09398995361601309,0.016639627677290342,0.1085316716606514,0.11222526657705505,0.14375356793015545,0.02805931048386952,0.6014101880447318,0.6321458283346146,0.8213040685902038,0.171363461767555
curvature,high,Iomega_abs_deg,deg,10,10,descriptive_broad_support,9.614940285155287,7.945273266566818,17.583495641658793,5.325587615486366,9.546224375426982,8.712932377201117,17.227649638352148,5.066025885456146,16.412079068652943,14.567147919755605,29.80214065128947,8.6648123744009,17.199313476437148,15.111028453764517,31.18945921276413,9.028680519384794,19.08173034634448,17.58417592223688,33.21899462015451,9.263642290382501
curvature,low,Domega_radps,rad/s,10,10,descriptive_broad_support,0.0024352073606374847,0.0023979818894682833,0.003578084742184657,0.000749864163337686,0.005045608560141401,0.005243032512856209,0.0065602587807907205,0.001302397553858458,0.009260989777976597,0.009504064896221558,0.012190466201476092,0.0025500225771065525,0.01580471056445571,0.016632112319833327,0.020460317320733567,0.004311528287563575,0.17157812702159086,0.17659136963387334,0.2565206695348024,0.05613332524416912
curvature,low,Dp_m,m,10,10,descriptive_broad_support,1.5893374410262835,0.862765311914189,5.0217827614021155,2.0257666524070106,1.9564747132672764,1.1479765843467205,6.408839453115076,2.6207104367694036,3.8520951721492613,2.1657731830735694,13.261465838540115,5.511985725702356,4.54868181794115,2.5207827913108733,15.554453750835208,6.549392471627389,5.564089528647326,4.171182681133583,17.75781756232388,7.408162088472083
curvature,low,Dtheta_deg,deg,10,10,descriptive_broad_support,2.3354984597652466,0.38499867843836433,10.939846559878317,5.048430283029655,2.5181440469911562,0.5975099770726404,11.267020829123876,5.069840917413317,4.475897713939932,1.4274717899049252,19.311449812161392,8.77439409424913,4.961889616123035,2.0766602382108137,19.910542040140108,8.95264503319032,6.55600103346625,3.8272301775543003,21.443841627010897,9.200553340093533
