context,condition_bin,component,units,full_sequence_level_p95,loo_min_p95,loo_max_p95,loo_max_abs_delta,loo_most_influential_sequence,without_parking01_02_p95,parking01_02_influence_delta,parking01_02_max_sequence_p95,mean_seed_sd_of_sequence_p95,n_sequences,support_label
elapsed_time,early,Dp_m,m,5.828128787448705,3.9807633858164504,5.991351786045318,1.8473654016322545,parking02,3.1711601124391846,2.6569686750095203,7.297135774818209,0.519079101326102,10,descriptive_broad_support
elapsed_time,early,Dtheta_deg,deg,8.040550791748272,3.87039512992385,8.377706427403274,4.170155661824422,parking02,2.5420461512950325,5.498504640453239,11.074951512643253,0.7760454967641346,10,descriptive_broad_support
elapsed_time,early,Dv_mps,m/s,0.0972325102076865,0.09613103039562693,0.09732692729060842,0.0011014798120595748,building00,0.09742134437353032,-0.00018883416584382362,0.07036778530649203,0.0008446892715284488,10,descriptive_broad_support
elapsed_time,early,Iomega_abs_deg,deg,10.334988511642072,9.178330018217375,10.43715229897435,1.1566584934246968,parking02,9.18243712231358,1.152551389328492,11.254462597632577,2.677958568323747,10,descriptive_broad_support
elapsed_time,late,Domega_radps,rad/s,0.1339916537034636,0.1120510689169168,0.13408446930969758,0.021940584786546813,street02,0.13417728491593156,-0.00018563121246795156,0.051711062466104844,0.0005124278862829224,10,descriptive_broad_support
elapsed_time,late,Dp_m,m,17.11842218366131,6.97280430253951,17.91398211267292,10.1456178811218,parking02,4.510045668281976,12.608376515379334,24.278461544765708,1.3892205184115862,10,descriptive_broad_support
elapsed_time,late,Dtheta_deg,deg,21.219501166830696,6.092836257624783,22.377832733078094,15.126664909205914,parking02,2.451833927039191,18.767667239791507,31.644485263057152,1.841930237471206,10,descriptive_broad_support
elapsed_time,late,Dv_mps,m/s,0.10882922618940924,0.10348454842576744,0.10904377626876022,0.005344677763641795,building00,0.10925832634811121,-0.00042910015870196994,0.0637431121896951,0.001124239661930717,10,descriptive_broad_support
elapsed_time,late,Iomega_abs_deg,deg,32.770632314613984,28.378586809044343,32.89253124578488,4.392045505569641,street00,30.344667572102164,2.4259647425118196,31.429744071734177,7.675824325655844,10,descriptive_broad_support
elapsed_time,middle,Domega_radps,rad/s,0.12678281601828822,0.1052295763666431,0.1270530534411469,0.02155323965164513,street02,0.12732329086400557,-0.0005404748457173425,0.07129354886710618,0.0005480700166890921,10,descriptive_broad_support
elapsed_time,middle,Dp_m,m,11.11365848308092,4.301329503613683,11.722864510511341,6.812328979467237,parking02,3.853906505986279,7.259751977094641,16.596512729954643,1.0280728899255842,10,descriptive_broad_support
elapsed_time,middle,Dtheta_deg,deg,14.863859906728516,5.421805556554069,15.600051099845757,9.442054350174448,parking02,3.384000778266644,11.479859128461872,21.489580644783615,1.4045560160440203,10,descriptive_broad_support
elapsed_time,middle,Dv_mps,m/s,0.108368847343372,0.0947658829173692,0.10924642024096086,0.013602964426002798,building00,0.11012399313854969,-0.0017551457951776872,0.07127417400479309,0.000969944001531654,10,descriptive_broad_support
elapsed_time,middle,Iomega_abs_deg,deg,21.792541456001832,19.622647669880067,21.815695614652125,2.169893786121765,street00,20.163051487454947,1.6294899685468849,21.537845710848604,4.954473161035322,10,descriptive_broad_support
speed,high,Domega_radps,rad/s,0.15908301879807066,0.1269688265087704,0.1593645604575674,0.032114192289300264,street02,0.15964610211706412,-0.0005630833189934625,0.08344297545651597,0.0003994584459112944,10,descriptive_broad_support
speed,high,Dp_m,m,15.57587531540555,5.780360602656216,16.398171638897058,9.795514712749334,parking02,4.161359171349099,11.414516144056451,22.976542226829025,1.1919900357382365,10,descriptive_broad_support
