sequence,base_seed,replicate,ATE_m,heading_MAE_deg,RPE1_m,RPE5_m,RPE10_m,persistent_signed_yaw_residual_radps,persistent_abs_yaw_mismatch_deg_per_min,Iomega_max_abs_deg,Dp_p95_m,Dp_max_m,Dtheta_p95_deg,Dtheta_max_deg
parking00,2042,replicate_03_base2042,2.1124303860682003,0.6128394562659978,0.1340196422218292,0.3192606705474632,0.4536495655880998,-0.0003213434978474,1.1046975720376655,21.351011317383517,3.1164210459326944,5.390619798168304,2.512362119152655,4.252847663043747
parking01,42,replicate_01_base42,2.5252681430262034,2.1709432517739127,0.0235225941882562,0.0868052736295186,0.166305563875356,3.790430132677552e-05,0.1303053894849818,4.45413493914851,4.119537622902584,4.5991956062202215,3.747493324722401,4.536010742897903
parking01,1042,replicate_02_base1042,3.155423994218248,4.360326965579454,0.0223433608454751,0.0789037554842806,0.1463962114515352,0.0001292796273748,0.4444306215360675,8.161554668527325,6.234871200170218,7.134652107313746,7.29440981425668,8.394186196730843
parking01,2042,replicate_03_base2042,6.532449121949103,8.20105879837242,0.0222738055531071,0.0788007353251573,0.1482975889727816,0.0002293333411904,0.7883899531106956,14.187202144754202,12.933613557358871,14.458465177962594,13.353816397882332,14.393231382230764
parking02,42,replicate_01_base42,10.19597897348743,14.91317020007973,0.0187781970704202,0.0522618990133227,0.0902334692369934,0.0004011572780112,1.3790771370602068,29.30240126250216,20.821614866247145,23.57073126928004,27.449335230609616,29.905310051027243
parking02,1042,replicate_02_base1042,15.731748757366942,23.301228486905764,0.0200285465193115,0.0607351661125991,0.1110276223698783,0.0006211690774911,2.135421990256699,45.06839347838952,30.166542173644864,34.74462693122833,42.78449486571535,45.683288589415085
parking02,2042,replicate_03_base2042,8.123354556704122,11.94486086725093,0.0191362539709738,0.051911682270125,0.0901561367595965,0.000304199255814,1.045760009350042,22.58464839101036,16.046144185929705,18.369735562293,21.012121899136957,22.92034411893321
playground00,42,replicate_01_base42,0.2422054066609778,0.2434511131616879,0.0135389484823059,0.0434669508062406,0.0811492380125434,-3.764892530859032e-05,0.1294274714031297,5.485143444791503,0.3754711993913275,0.4316085919908532,0.5241362342287982,1.2105374731320495
playground00,1042,replicate_02_base1042,0.2424634811897259,0.1990924932018796,0.0130277927641171,0.0399054764604495,0.0739448897355261,-0.0001793830996253,0.6166736714703194,15.097194752485974,0.3799478973573984,0.4384342654455594,0.4683581248204941,1.2073952983563652
playground00,2042,replicate_03_base2042,0.241952224616958,0.257658028078804,0.0138719156426844,0.0458410449315089,0.0860991234475303,4.854684013235274e-05,0.1668917428968083,4.7379759482286685,0.3714615432496076,0.4236174531211425,0.532337855794033,1.2097513975164196
street00,42,replicate_01_base42,0.2992655913330408,0.2191216407470396,0.0169981645377123,0.0583857410437998,0.0991008663932562,-0.0005224809455706,1.7961571834320875,41.12601231237746,0.519262242815071,0.5907814717955318,0.6262928981448787,1.449266284975852
