base_L,base_R,base_T,base_p,base_r,base_temp,base_v,base_y,imu_T,imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz,imu_mx,imu_my,imu_mz,imu_p,imu_r,imu_temp,imu_y,t_edge_rx_ns,t_wall_unix_s
0,0,1001,-0.274484426,-0.675136209,50,12.38871956,-153.9524994,1002,1.0546875,-17.80273438,981.40625,-0.461250067,0.028750002,-0.430000007,27,-13,-46,-0.000738167,-0.985165477,50,-154.3386383,353280484000000,1783454016.2849183
0,0,1001,-0.094394431,-0.75251478,50,12.38871956,-154.0418091,1002,0.56640625,-15.84960938,982.3828125,-0.648750067,0.341250002,0.444999993,27,-13,-44,-0.115649223,-0.856108427,50,-154.1876221,353280921000000,1783454016.7185373
0,0,1001,-0.058839802,-1.22983253,50,12.38871956,-154.802475,1002,0.56640625,-18.77929688,981.40625,-0.586250067,-0.033749998,-0.055000007,27,-12,-45,-0.056248404,-1.179603219,50,-154.8911133,353281312000000,1783454017.106299
0,0,1001,0.473757863,-1.124829531,50,12.38871956,-153.8543243,1002,2.51953125,-16.82617188,980.9179688,-0.336250067,0.091250002,0.132499993,28,-13,-46,-0.003728105,-1.203122139,50,-154.0236664,353281718000000,1783454017.5054615
0,0,1001,-0.083043568,-1.074983835,50,12.38871956,-154.1609802,1002,-0.8984375,-16.82617188,980.4296875,-0.398750067,0.341250002,0.194999993,29,-14,-46,-0.202398226,-0.769106269,50,-153.8560638,353282093000000,1783454017.8806455
0,0,1001,-0.030089993,-0.874839306,50,12.38871956,-155.1161041,1002,-0.41015625,-17.80273438,982.3828125,-0.211250067,-0.221249998,0.382499993,28,-13,-46,0.011146815,-1.045919776,50,-155.1135101,353282484000000,1783454018.2716925
0,0,1001,0.059055652,-1.236538887,50,12.38871956,-154.6233826,1002,1.0546875,-15.84960938,979.453125,-0.398750067,0.528750002,0.132499993,26,-13,-46,-0.156131104,-0.731929719,49.44444275,-154.3285065,353282812000000,1783454018.6004152
0,0,1001,-0.018855473,-1.02850759,49.44444275,12.38871956,-154.9793243,1002,0.078125,-17.80273438,979.9414063,0.101249933,-0.221249998,0.257499993,28,-14,-46,-0.107826568,-0.836284459,50,-155.0197906,353283140000000,1783454018.9282193
0,0,1001,-0.183777481,-0.715831101,50,12.38871956,-154.5585175,1002,-1.875,-15.84960938,983.8476563,-0.211250067,0.591250002,0.069999993,27,-13,-45,-0.227114946,-0.528240144,50,-154.8455505,353283453000000,1783454019.2528865
0,0,1001,-0.144464731,-0.957463562,50,12.38871956,-154.6895905,1002,-0.8984375,-16.33789063,981.40625,-0.336250067,-0.346249998,-0.180000007,28,-12,-46,0.001912773,-1.14650321,50,-154.8395538,353283843000000,1783454019.637187
0,0,1001,0.062826626,-1.403481483,50,12.38871956,-155.2324982,1002,2.03125,-16.82617188,981.8945313,-0.336250067,0.341250002,0.194999993,28,-12,-45,-0.020384176,-1.182406664,50,-155.0758667,353284140000000,1783454019.9269428
0,0,1001,-0.00931262,-1.192652583,50,12.38871956,-154.8987427,1002,0.078125,-18.77929688,983.359375,-0.273750067,-0.783749998,-0.180000007,29,-12,-47,-0.090514928,-1.238140583,50,-154.9464111,353284468000000,1783454020.2636876
