outer_sequence,sequence,replicate,source,service,family,horizon_s,pos_tol_m,heading_tol_deg,aoi_limit_s,rate_hz,interval_s,delay_ms,speed_mean,speed_p95,yaw_abs_mean,yaw_abs_p95,accel_abs_p95,turn_fraction,coverage,physical_satisfaction,freshness_satisfaction,joint_satisfaction,failure_episodes,failure_duration_s,max_failure_episode_s,mean_position_discrepancy_m,p95_position_discrepancy_m,mean_heading_discrepancy_deg,p95_heading_discrepancy_deg,mean_aoi_s,max_aoi_s,eligible_samples,observable_samples,qualified,calibration_coverage,calibration_physical_satisfaction,calibration_freshness_satisfaction,calibration_joint_satisfaction
playground00,parking00,replicate_02_base1042,results\doubly_nested_loso_slurm\outer_playground00\qualification_train\target_parking00\v2\replicate_02_base1042\fold_04_parking00\v2_evaluated_trajectory.csv,local_10s,local,10.0,0.5,10.0,1.5,5.0,0.2,200,1.4944448366416831,1.6932101684591776,0.1042589410222601,0.3859364152964437,0.8623936667318097,0.3654485049833887,1.0,0.7842674175674448,1.0,0.7842674175674448,719,237.5,14.600000000000001,0.363690890467815,1.1503923729804424,1.5933044231655988,5.733614477892305,0.24999545826142244,0.3,11009,11009,0,0.99,0.3383838383838384,1.0,0.3383838383838384
playground00,parking00,replicate_02_base1042,results\doubly_nested_loso_slurm\outer_playground00\qualification_train\target_parking00\v2\replicate_02_base1042\fold_04_parking00\v2_evaluated_trajectory.csv,local_10s,local,10.0,0.5,10.0,1.5,2.0,0.5,0,1.4944448366416831,1.6932101684591776,0.1042589410222601,0.3859364152964437,0.8623936667318097,0.3654485049833887,1.0,0.8178762830411481,1.0,0.8178762830411481,737,200.5,15.0,0.33073966945332933,1.1428222612799022,1.3356913528850904,5.596700743664453,0.19998183304568992,0.4,11009,11009,1,1.0,0.365,1.0,0.365
playground00,parking00,replicate_02_base1042,results\doubly_nested_loso_slurm\outer_playground00\qualification_train\target_parking00\v2\replicate_02_base1042\fold_04_parking00\v2_evaluated_trajectory.csv,local_10s,local,10.0,0.5,10.0,1.5,2.0,0.5,25,1.4944448366416831,1.6932101684591776,0.1042589410222601,0.3859364152964437,0.8623936667318097,0.3654485049833887,1.0,0.7367608320465074,1.0,0.7367608320465074,881,289.80000000000007,15.0,0.4150947704617765,1.374359583473543,1.886337364328843,7.568083680214244,0.29999091652284493,0.5,11009,11009,0,0.995,0.32160804020100503,1.0,0.32160804020100503
playground00,parking00,replicate_02_base1042,results\doubly_nested_loso_slurm\outer_playground00\qualification_train\target_parking00\v2\replicate_02_base1042\fold_04_parking00\v2_evaluated_trajectory.csv,local_10s,local,10.0,0.5,10.0,1.5,2.0,0.5,50,1.4944448366416831,1.6932101684591776,0.1042589410222601,0.3859364152964437,0.8623936667318097,0.3654485049833887,1.0,0.7367608320465074,1.0,0.7367608320465074,881,289.80000000000007,15.0,0.4150947704617765,1.374359583473543,1.886337364328843,7.568083680214244,0.29999091652284493,0.5,11009,11009,0,0.995,0.32160804020100503,1.0,0.32160804020100503
playground00,parking00,replicate_02_base1042,results\doubly_nested_loso_slurm\outer_playground00\qualification_train\target_parking00\v2\replicate_02_base1042\fold_04_parking00\v2_evaluated_trajectory.csv,local_10s,local,10.0,0.5,10.0,1.5,2.0,0.5,100,1.4944448366416831,1.6932101684591776,0.1042589410222601,0.3859364152964437,0.8623936667318097,0.3654485049833887,1.0,0.7367608320465074,1.0,0.7367608320465074,881,289.80000000000007,15.0,0.4150947704617765,1.374359583473543,1.886337364328843,7.568083680214244,0.29999091652284493,0.5,11009,11009,0,0.995,0.32160804020100503,1.0,0.32160804020100503
playground00,parking00,replicate_02_base1042,results\doubly_nested_loso_slurm\outer_playground00\qualification_train\target_parking00\v2\replicate_02_base1042\fold_04_parking00\v2_evaluated_trajectory.csv,local_10s,local,10.0,0.5,10.0,1.5,2.0,0.5,200,1.4944448366416831,1.6932101684591776,0.1042589410222601,0.3859364152964437,0.8623936667318097,0.3654485049833887,1.0,0.648923607957126,1.0,0.648923607957126,826,386.5,15.0,0.5117207656207631,1.661908257690922,2.488267743474442,9.491061785129482,0.4,0.6,11009,11009,0,0.99,0.29797979797979796,1.0,0.29797979797979796
playground00,parking00,replicate_02_base1042,results\doubly_nested_loso_slurm\outer_playground00\qualification_train\target_parking00\v2\replicate_02_base1042\fold_04_parking00\v2_evaluated_trajectory.csv,local_10s,local,10.0,0.5,10.0,1.5,1.0,1.0,0,1.4944448366416831,1.6932101684591776,0.1042589410222601,0.3859364152964437,0.8623936667318097,0.3654485049833887,1.0,0.6400218003451721,1.0,0.6400218003451721,682,396.3,15.5,0.5631111895540237,1.942224937270026,2.76624300995083,11.464131497825122,0.4499591243528023,0.9,11009,11009,0,1.0,0.305,1.0,0.305
playground00,parking00,replicate_02_base1042,results\doubly_nested_loso_slurm\outer_playground00\qualification_train\target_parking00\v2\replicate_02_base1042\fold_04_parking00\v2_evaluated_trajectory.csv,local_10s,local,10.0,0.5,10.0,1.5,1.0,1.0,25,1.4944448366416831,1.6932101684591776,0.1042589410222601,0.3859364152964437,0.8623936667318097,0.3654485049833887,1.0,0.5792533381778545,1.0,0.5792533381778545,705,463.20000000000005,15.5,0.6526831958042267,2.1854757203448902,3.3243835462136238,12.877488142283948,0.5499682078299574,1.0,11009,11009,0,0.995,0.271356783919598,1.0,0.271356783919598
playground00,parking00,replicate_02_base1042,results\doubly_nested_loso_slurm\outer_playground00\qualification_train\target_parking00\v2\replicate_02_base1042\fold_04_parking00\v2_evaluated_trajectory.csv,local_10s,local,10.0,0.5,10.0,1.5,1.0,1.0,50,1.4944448366416831,1.6932101684591776,0.1042589410222601,0.3859364152964437,0.8623936667318097,0.3654485049833887,1.0,0.5792533381778545,1.0,0.5792533381778545,705,463.20000000000005,15.5,0.6526831958042267,2.1854757203448902,3.3243835462136238,12.877488142283948,0.5499682078299574,1.0,11009,11009,0,0.995,0.271356783919598,1.0,0.271356783919598
playground00,parking00,replicate_02_base1042,results\doubly_nested_loso_slurm\outer_playground00\qualification_train\target_parking00\v2\replicate_02_base1042\fold_04_parking00\v2_evaluated_trajectory.csv,local_10s,local,10.0,0.5,10.0,1.5,1.0,1.0,100,1.4944448366416831,1.6932101684591776,0.1042589410222601,0.3859364152964437,0.8623936667318097,0.3654485049833887,1.0,0.5792533381778545,1.0,0.5792533381778545,705,463.20000000000005,15.5,0.6526831958042267,2.1854757203448902,3.3243835462136238,12.877488142283948,0.5499682078299574,1.0,11009,11009,0,0.995,0.271356783919598,1.0,0.271356783919598
playground00,parking00,replicate_02_base1042,results\doubly_nested_loso_slurm\outer_playground00\qualification_train\target_parking00\v2\replicate_02_base1042\fold_04_parking00\v2_evaluated_trajectory.csv,local_10s,local,10.0,0.5,10.0,1.5,1.0,1.0,200,1.4944448366416831,1.6932101684591776,0.1042589410222601,0.3859364152964437,0.8623936667318097,0.3654485049833887,1.0,0.5173948587519303,1.0,0.5173948587519303,639,531.3,15.5,0.7475914605955483,2.400573931183613,3.9032823455077152,14.624218924531158,0.6499772913071123,1.1,11009,11009,0,0.99,0.24242424242424243,1.0,0.24242424242424243
playground00,parking00,replicate_02_base1042,results\doubly_nested_loso_slurm\outer_playground00\qualification_train\target_parking00\v2\replicate_02_base1042\fold_04_parking00\v2_evaluated_trajectory.csv,global,global,0.0,1.0,5.0,1.0,10.0,0.1,0,1.4944448366416831,1.6932101684591776,0.1042589410222601,0.3859364152964437,0.8623936667318097,0.3654485049833887,1.0,0.0,1.0,0.0,1,1110.9,1110.9,1.9822120302459285,2.6713444783191655,0.5382031557046498,1.7357503417406697,0.0,0.0,11109,11109,0,1.0,0.8633333333333333,1.0,0.8633333333333333
playground00,parking00,replicate_02_base1042,results\doubly_nested_loso_slurm\outer_playground00\qualification_train\target_parking00\v2\replicate_02_base1042\fold_04_parking00\v2_evaluated_trajectory.csv,global,global,0.0,1.0,5.0,1.0,10.0,0.1,25,1.4944448366416831,1.6932101684591776,0.1042589410222601,0.3859364152964437,0.8623936667318097,0.3654485049833887,1.0,0.0,1.0,0.0,1,1110.9,1110.9,1.9846307282536935,2.599834804611433,0.7204235278921175,2.1873722502142336,0.09999999999999999,0.1,11109,11109,0,0.9966666666666667,0.6588628762541806,1.0,0.6588628762541806
playground00,parking00,replicate_02_base1042,results\doubly_nested_loso_slurm\outer_playground00\qualification_train\target_parking00\v2\replicate_02_base1042\fold_04_parking00\v2_evaluated_trajectory.csv,global,global,0.0,1.0,5.0,1.0,10.0,0.1,50,1.4944448366416831,1.6932101684591776,0.1042589410222601,0.3859364152964437,0.8623936667318097,0.3654485049833887,1.0,0.0,1.0,0.0,1,1110.9,1110.9,1.9846307282536935,2.599834804611433,0.7204235278921175,2.1873722502142336,0.09999999999999999,0.1,11109,11109,0,0.9966666666666667,0.6588628762541806,1.0,0.6588628762541806
playground00,parking00,replicate_02_base1042,results\doubly_nested_loso_slurm\outer_playground00\qualification_train\target_parking00\v2\replicate_02_base1042\fold_04_parking00\v2_evaluated_trajectory.csv,global,global,0.0,1.0,5.0,1.0,10.0,0.1,100,1.4944448366416831,1.6932101684591776,0.1042589410222601,0.3859364152964437,0.8623936667318097,0.3654485049833887,1.0,0.0,1.0,0.0,1,1110.9,1110.9,1.9846307282536935,2.599834804611433,0.7204235278921175,2.1873722502142336,0.09999999999999999,0.1,11109,11109,0,0.9966666666666667,0.6588628762541806,1.0,0.6588628762541806
