outer_sequence,sequence,service,family,horizon_s,pos_tol_m,heading_tol_deg,aoi_limit_s,rate_hz,interval_s,delay_ms,coverage,physical_satisfaction,freshness_satisfaction,joint_satisfaction,failure_duration_s,max_failure_episode_s,mean_aoi_s,max_aoi_s,calibration_coverage,calibration_physical_satisfaction,calibration_freshness_satisfaction,calibration_joint_satisfaction,speed_mean,speed_p95,yaw_abs_mean,yaw_abs_p95,accel_abs_p95,turn_fraction,mean_position_discrepancy_m,p95_position_discrepancy_m,mean_heading_discrepancy_deg,p95_heading_discrepancy_deg,qualified
building00,building00,local_10s,local,10.0,0.5,10.0,1.5,10.0,0.1,25,1.0,0.8201395469032647,1.0,0.8201395469032647,208.79999999999998,17.433333333333334,0.10000000000000002,0.10000000000000002,0.995,0.7319932998324958,1.0,0.7319932998324958,1.3143264915510757,1.5847519374997916,0.027046711696935885,0.108896777084937,0.7292533706494261,0.059800664451827246,0.32889267500835206,1.2093732789222313,0.8669901926898662,2.628975717421779,1
building00,building00,local_10s,local,10.0,0.5,10.0,1.5,10.0,0.1,50,1.0,0.8201395469032647,1.0,0.8201395469032647,208.79999999999998,17.433333333333334,0.10000000000000002,0.10000000000000002,0.995,0.7319932998324958,1.0,0.7319932998324958,1.3143264915510757,1.5847519374997916,0.027046711696935885,0.108896777084937,0.7292533706494261,0.059800664451827246,0.32889267500835206,1.2093732789222313,0.8669901926898662,2.628975717421779,1
building00,building00,local_10s,local,10.0,0.5,10.0,1.5,10.0,0.1,100,1.0,0.8201395469032647,1.0,0.8201395469032647,208.79999999999998,17.433333333333334,0.10000000000000002,0.10000000000000002,0.995,0.7319932998324958,1.0,0.7319932998324958,1.3143264915510757,1.5847519374997916,0.027046711696935885,0.108896777084937,0.7292533706494261,0.059800664451827246,0.32889267500835206,1.2093732789222313,0.8669901926898662,2.628975717421779,1
building00,building00,local_10s,local,10.0,0.5,10.0,1.5,10.0,0.1,200,1.0,0.740574841358716,1.0,0.740574841358716,301.1666666666667,15.933333333333332,0.20000000000000004,0.20000000000000004,0.9899999999999999,0.7171717171717171,1.0,0.7171717171717171,1.3143264915510757,1.5847519374997916,0.027046711696935885,0.108896777084937,0.7292533706494261,0.059800664451827246,0.4023293403986643,1.2741514558935612,1.467724779797922,4.868957918758781,0
building00,building00,local_1s,local,1.0,0.1,2.0,0.6,1.0,1.0,0,1.0,0.6704846568082742,0.700059834173861,0.5251161067897542,555.5666666666667,5.033333333333334,0.44996153517394655,0.9,1.0,0.7413793103448275,0.6999999999999998,0.5551724137931034,1.3143264915510757,1.5847519374997916,0.027046711696935885,0.108896777084937,0.7292533706494261,0.059800664451827246,0.0667855190924787,0.18915012712668075,1.7230484727337556,7.384571878865608,0
building00,building00,local_1s,local,1.0,0.1,2.0,0.6,1.0,1.0,25,1.0,0.6172607345357153,0.600051286434738,0.42923896629341546,667.7333333333335,5.400000000000001,0.5499700829130695,1.0,0.996551724137931,0.7093425605536332,0.6020761245674741,0.4682814302191465,1.3143264915510757,1.5847519374997916,0.027046711696935885,0.108896777084937,0.7292533706494261,0.059800664451827246,0.07310085311007923,0.2045502350341526,2.0335970986992593,8.122732003317465,0
building00,building00,local_1s,local,1.0,0.1,2.0,0.6,1.0,1.0,50,1.0,0.6172607345357153,0.600051286434738,0.42923896629341546,667.7333333333335,5.400000000000001,0.5499700829130695,1.0,0.996551724137931,0.7093425605536332,0.6020761245674741,0.4682814302191465,1.3143264915510757,1.5847519374997916,0.027046711696935885,0.108896777084937,0.7292533706494261,0.059800664451827246,0.07310085311007923,0.2045502350341526,2.0335970986992593,8.122732003317465,0
building00,building00,local_1s,local,1.0,0.1,2.0,0.6,1.0,1.0,100,1.0,0.6172607345357153,0.600051286434738,0.42923896629341546,667.7333333333335,5.400000000000001,0.5499700829130695,1.0,0.996551724137931,0.7093425605536332,0.6020761245674741,0.4682814302191465,1.3143264915510757,1.5847519374997916,0.027046711696935885,0.108896777084937,0.7292533706494261,0.059800664451827246,0.07310085311007923,0.2045502350341526,2.0335970986992593,8.122732003317465,0
building00,building00,local_1s,local,1.0,0.1,2.0,0.6,1.0,1.0,200,1.0,0.5648630937117133,0.500042738695615,0.33589765507023395,776.9333333333334,6.233333333333334,0.6499786306521925,1.1,0.9931034482758619,0.6805555555555555,0.5034722222222222,0.38078703703703703,1.3143264915510757,1.5847519374997916,0.027046711696935885,0.108896777084937,0.7292533706494261,0.059800664451827246,0.07960203267509681,0.21831443295535294,2.3321735293429184,8.895172569898874,0
building00,building00,local_1s,local,1.0,0.1,2.0,0.6,2.0,0.5,0,1.0,0.819101347693535,1.0,0.819101347693535,211.63333333333335,4.733333333333333,0.19998290452175402,0.4000000000000001,1.0,0.828735632183908,1.0,0.828735632183908,1.3143264915510757,1.5847519374997916,0.027046711696935885,0.108896777084937,0.7292533706494261,0.059800664451827246,0.04868621171774536,0.12257555511634581,0.8685711021566046,3.9186418450992258,1
building00,building00,local_1s,local,1.0,0.1,2.0,0.6,2.0,0.5,25,1.0,0.7480696355813888,1.0,0.7480696355813888,294.73333333333335,4.533333333333334,0.29999145226087703,0.5,0.996551724137931,0.7923875432525952,1.0,0.7923875432525952,1.3143264915510757,1.5847519374997916,0.027046711696935885,0.108896777084937,0.7292533706494261,0.059800664451827246,0.05556691374075443,0.14288526997233722,1.2217123997981896,5.098732936362329,0
building00,building00,local_1s,local,1.0,0.1,2.0,0.6,2.0,0.5,50,1.0,0.7480696355813888,1.0,0.7480696355813888,294.73333333333335,4.533333333333334,0.29999145226087703,0.5,0.996551724137931,0.7923875432525952,1.0,0.7923875432525952,1.3143264915510757,1.5847519374997916,0.027046711696935885,0.108896777084937,0.7292533706494261,0.059800664451827246,0.05556691374075443,0.14288526997233722,1.2217123997981896,5.098732936362329,0
building00,building00,local_1s,local,1.0,0.1,2.0,0.6,2.0,0.5,100,1.0,0.7480696355813888,1.0,0.7480696355813888,294.73333333333335,4.533333333333334,0.29999145226087703,0.5,0.996551724137931,0.7923875432525952,1.0,0.7923875432525952,1.3143264915510757,1.5847519374997916,0.027046711696935885,0.108896777084937,0.7292533706494261,0.059800664451827246,0.05556691374075443,0.14288526997233722,1.2217123997981896,5.098732936362329,0
building00,building00,local_1s,local,1.0,0.1,2.0,0.6,2.0,0.5,200,1.0,0.6748440037610052,1.0,0.6748440037610052,380.40000000000003,4.433333333333334,0.4000000000000001,0.6,0.9931034482758619,0.7488425925925926,1.0,0.7488425925925926,1.3143264915510757,1.5847519374997916,0.027046711696935885,0.108896777084937,0.7292533706494261,0.059800664451827246,0.06353359568305374,0.1634793064706017,1.5831252077383153,6.192251048062064,0
building00,building00,local_1s,local,1.0,0.1,2.0,0.6,5.0,0.2,0,1.0,0.9439553238168504,1.0,0.9439553238168504,65.56666666666666,4.766666666666667,0.04999572613043849,0.10000000000000002,1.0,0.8747126436781608,1.0,0.8747126436781608,1.3143264915510757,1.5847519374997916,0.027046711696935885,0.108896777084937,0.7292533706494261,0.059800664451827246,0.03830414911106821,0.08285066133848766,0.3070200684257351,1.316273615663489,1
building00,building00,local_1s,local,1.0,0.1,2.0,0.6,5.0,0.2,25,1.0,0.8740918027181811,1.0,0.8740918027181811,147.30000000000004,4.7,0.15000427386956147,0.20000000000000004,0.996551724137931,0.8512110726643599,1.0,0.8512110726643599,1.3143264915510757,1.5847519374997916,0.027046711696935885,0.108896777084937,0.7292533706494261,0.059800664451827246,0.04299728880892197,0.09817918418675438,0.6425889384416843,2.7065204107587815,1
building00,building00,local_1s,local,1.0,0.1,2.0,0.6,5.0,0.2,50,1.0,0.8740918027181811,1.0,0.8740918027181811,147.30000000000004,4.7,0.15000427386956147,0.20000000000000004,0.996551724137931,0.8512110726643599,1.0,0.8512110726643599,1.3143264915510757,1.5847519374997916,0.027046711696935885,0.108896777084937,0.7292533706494261,0.059800664451827246,0.04299728880892197,0.09817918418675438,0.6425889384416843,2.7065204107587815,1
building00,building00,local_1s,local,1.0,0.1,2.0,0.6,5.0,0.2,100,1.0,0.8740918027181811,1.0,0.8740918027181811,147.30000000000004,4.7,0.15000427386956147,0.20000000000000004,0.996551724137931,0.8512110726643599,1.0,0.8512110726643599,1.3143264915510757,1.5847519374997916,0.027046711696935885,0.108896777084937,0.7292533706494261,0.059800664451827246,0.04299728880892197,0.09817918418675438,0.6425889384416843,2.7065204107587815,1
building00,building00,local_1s,local,1.0,0.1,2.0,0.6,5.0,0.2,200,1.0,0.7730290338205545,1.0,0.7730290338205545,265.53333333333336,4.2,0.2499957261304385,0.3,0.9931034482758619,0.8206018518518517,1.0,0.8206018518518517,1.3143264915510757,1.5847519374997916,0.027046711696935885,0.108896777084937,0.7292533706494261,0.059800664451827246,0.05172520341092185,0.12311813814951005,1.0431533212403188,4.155460202206327,0
building00,building00,local_1s,local,1.0,0.1,2.0,0.6,10.0,0.1,0,1.0,0.9584864803259538,1.0,0.9584864803259538,48.56666666666666,5.0,0.0,0.0,1.0,0.8816091954022989,1.0,0.8816091954022989,1.3143264915510757,1.5847519374997916,0.027046711696935885,0.108896777084937,0.7292533706494261,0.059800664451827246,0.03764656012545373,0.08029496009579502,0.17591545715610102,0.5556621142183841,1
building00,building00,local_1s,local,1.0,0.1,2.0,0.6,10.0,0.1,25,1.0,0.9299940165826138,1.0,0.9299940165826138,81.89999999999999,4.766666666666667,0.09999999999999999,0.10000000000000002,0.996551724137931,0.867358708189158,1.0,0.867358708189158,1.3143264915510757,1.5847519374997916,0.027046711696935885,0.108896777084937,0.7292533706494261,0.059800664451827246,0.038654744738397785,0.0839467595045813,0.43372809879194546,1.7250169325420501,1
building00,building00,local_1s,local,1.0,0.1,2.0,0.6,10.0,0.1,50,1.0,0.9299940165826138,1.0,0.9299940165826138,81.89999999999999,4.766666666666667,0.09999999999999999,0.10000000000000002,0.996551724137931,0.867358708189158,1.0,0.867358708189158,1.3143264915510757,1.5847519374997916,0.027046711696935885,0.108896777084937,0.7292533706494261,0.059800664451827246,0.038654744738397785,0.0839467595045813,0.43372809879194546,1.7250169325420501,1
building00,building00,local_1s,local,1.0,0.1,2.0,0.6,10.0,0.1,100,1.0,0.9299940165826138,1.0,0.9299940165826138,81.89999999999999,4.766666666666667,0.09999999999999999,0.10000000000000002,0.996551724137931,0.867358708189158,1.0,0.867358708189158,1.3143264915510757,1.5847519374997916,0.027046711696935885,0.108896777084937,0.7292533706494261,0.059800664451827246,0.038654744738397785,0.0839467595045813,0.43372809879194546,1.7250169325420501,1
