sequence,base_seed,environment_category,condition_variable,condition_bin,n_samples,duration_s_approx,time_start_s,time_end_s,supported,Dp_mean_m,Dp_p95_m,Dp_max_m,Dtheta_mean_deg,Dtheta_p95_deg,Dtheta_max_deg,Dv_rmse_mps,Dv_p95_mps,Domega_rmse_radps,Domega_p95_radps,persistent_yaw_residual_signed_mean_radps,persistent_yaw_residual_abs_deg_per_min,Iomega_start_deg,Iomega_end_deg,Iomega_delta_deg,Iomega_p95_abs_deg,Iomega_max_abs_deg,RPE1_m,RPEtheta1_deg,RPE1_n_pairs,RPE5_m,RPEtheta5_deg,RPE5_n_pairs,RPE10_m,RPEtheta10_deg,RPE10_n_pairs
street00,2042,street,wheel_imu_disagreement,medium,5303,530.3000000308675,96822.8,98171.8,True,0.2570729300484414,0.5159670202992195,0.5870557752093308,0.2399071357340164,0.6359319673093011,1.5215445458941266,0.0279272247254089,0.053812968684360356,0.012871529184468619,0.026316044665873017,-0.000163162697446209,0.5609120362582651,0.0001518502297238,-19.744162965855296,-19.74431481608502,18.611401117397204,19.88123436284049,0.017304408473389345,0.15977736851139157,5303.0,0.061132368116995496,0.2651840772084542,5303.0,0.10391217003537868,0.2943931025263475,5303.0
street00,2042,street,wheel_imu_disagreement,high,1816,181.6000000105705,96822.7,98171.6,True,0.280381268177567,0.520704057052358,0.579358986145316,0.2842851114550936,0.7346263642567166,1.5960835374597326,0.04030548031045944,0.07875749422237269,0.023623464207967026,0.05420350423082712,-0.0007745101424635905,2.6625697411943916,0.0049433900163571,-19.734209836020952,-19.73915322603731,18.22047579868346,19.762050133226296,0.019980836344429057,0.20144879568207358,1816.0,0.0653851145745182,0.3184471770540352,1816.0,0.11395514441905422,0.3564653970349367,1816.0
street00,2042,street,persistent_yaw_mismatch,low,0,0.0,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,
street00,2042,street,persistent_yaw_mismatch,medium,13738,1373.8000000799657,96820.1,98193.8,True,0.2548869245309452,0.514665780304872,0.5870557752093308,0.2370153388776117,0.6310555229851137,1.5960835374597326,0.029130436121437123,0.05588828740583259,0.013808924385351007,0.02804160602390767,-0.0002542593784764663,0.8740793572992579,0.0011698267263141,-20.013503685460257,-20.014673512186572,18.82398850393674,20.01483364510456,0.017329148812103085,0.15522569568689362,13728.0,0.059957431931415735,0.26197864188691194,13688.0,0.10300134762510459,0.2972766105470923,13638.0
street00,2042,street,persistent_yaw_mismatch,high,0,0.0,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,
street00,2042,street,elapsed_time,early,4580,458.0000000266591,96820.1,97278.0,True,0.19553943295596368,0.42249892800742467,0.5278354047110204,0.2561663969317518,0.6751659304654783,1.456501501878468,0.02727344863720014,0.05345285786315791,0.01205937527171669,0.024135714303702125,-0.00019039463196386138,0.6545285312085515,0.0011698267263141,-4.99623445518278,-4.997404281909094,4.8376460635336365,5.48966273146754,0.01738437671938846,0.1502318342968633,4580.0,0.06586730547167673,0.2537852906591788,4580.0,0.11840185965997063,0.29867021796001625,4580.0
street00,2042,street,elapsed_time,middle,4579,457.9000000266533,97278.1,97735.9,True,0.3054676676509806,0.5081276490475368,0.5627170047660686,0.234679396557997,0.6118619600883988,1.549444498467975,0.029613370219180344,0.05607313364816931,0.01501095816134573,0.03191880360245688,-0.00029946845244693837,1.0294967053514255,-5.007908710562381,-12.85301014531369,-7.845101434751308,12.743074991373073,13.152422289002514,0.0178025699095377,0.16536394010186747,4579.0,0.05882834174912035,0.2885865657003734,4579.0,0.0991221401033214,0.32327098578144725,4579.0
street00,2042,street,elapsed_time,late,4579,457.9000000266533,97736.0,98193.8,True,0.2636666337833525,0.5393940214616036,0.5870557752093308,0.22019604077618207,0.596675339804918,1.5960835374597326,0.03041343623872143,0.05940549948281839,0.014188434196988571,0.0280939996242523,-0.00027292899833166156,0.9382607826682375,-12.867367869960557,-20.013503685460257,-7.146135815499701,19.744046930662968,20.01483364510456,0.016784192822202983,0.15007114633039847,4569.0,0.05457574817994863,0.24336258215654707,4529.0,0.08901826404553123,0.2692768413688601,4479.0
street00,2042,street,environment,building,0,0.0,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,
street00,2042,street,environment,parking,0,0.0,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,
street00,2042,street,environment,playground,0,0.0,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,
street00,2042,street,environment,street,13738,1373.8000000799657,96820.1,98193.8,True,0.2548869245309452,0.514665780304872,0.5870557752093308,0.2370153388776117,0.6310555229851137,1.5960835374597326,0.029130436121437123,0.05588828740583259,0.013808924385351007,0.02804160602390767,-0.0002542593784764663,0.8740793572992579,0.0011698267263141,-20.013503685460257,-20.014673512186572,18.82398850393674,20.01483364510456,0.017329148812103085,0.15522569568689362,13728.0,0.059957431931415735,0.26197864188691194,13688.0,0.10300134762510459,0.2972766105470923,13638.0
street01,42,street,speed,low,3542,354.20000002061715,109719.3,110967.5,True,0.30228280100731925,0.7490314201799303,0.8696318678525387,0.3268685502883946,0.8645467265728102,3.161788710423607,0.035831992263926235,0.061412832047790286,0.03544948921380451,0.06981394561007612,-0.0010925761736248754,3.7560002127154806,0.0004450200499207,-15.966857090842543,-15.967302110892463,14.657832906329446,17.557888085724517,0.05462423414437832,0.13611391468610817,3532.0,0.130540092975172,0.30544892301768045,3492.0,0.19458673469416704,0.3610959394636351,3442.0
street01,42,street,speed,medium,4265,426.50000002482557,109751.4,110951.8,True,0.36814440892522826,0.7647465364993472,0.8867408265365146,0.3081245631656161,0.7209413589778549,3.154272240064964,0.034247889200609775,0.0671437740325927,0.04689969783372918,0.11495919711887832,7.2590657741512126e-06,0.024954829924003805,-0.6491744518947586,-14.18509623478982,-13.53592178289506,14.26250629211582,17.78423657411229,0.020053018376029005,0.12791335789607713,4265.0,0.07521990075736995,0.2354001613620379,4265.0,0.14044240135872524,0.2982795543838163,4265.0
street01,42,street,speed,high,4676,467.6000000272179,109753.5,110941.3,True,0.3455329339794453,0.7755450070264776,0.889001321817732,0.36547215471355543,0.961713787790612,2.9364767765191737,0.03541506205758108,0.06955673499032847,0.06119700760077015,0.1555275302380324,0.00022502194553222803,0.7735684666091615,-0.6634776277427427,-13.83864563979015,-13.175168012047406,14.204132781944992,16.524375075327175,0.030227321207487407,0.14774074929829295,4676.0,0.09251375642274982,0.25053593540242397,4676.0,0.16442918601144324,0.3077244667172538,4676.0
street01,42,street,acceleration,low,3597,359.7000000209373,109719.3,110967.5,True,0.32264513546803514,0.7412828606119136,0.8883363691151448,0.3533249296071769,1.005973724401087,3.159399303348071,0.031676017257066647,0.05957916751503933,0.04916240066417247,0.12394850552082043,0.0007472518103911412,2.5688624981353456,0.0004450200499207,-15.966857090842543,-15.967302110892463,14.62944039074205,15.966857090842543,0.04003826224742532,0.1480019596890812,3587.0,0.0937355873536386,0.27353511431396593,3547.0,0.1596322824794163,0.34643421807003544,3497.0
street01,42,street,acceleration,medium,3909,390.9000000227534,109722.3,110954.0,True,0.3411325786232645,0.7641189963322235,0.888640070230595,0.3242195587227761,0.8089938498107699,3.161788710423607,0.03407811547294009,0.06507787592709063,0.05094964668177905,0.12460449934005721,-0.0006403878613493706,2.201491302403672,-0.1482587148636125,-14.246529485500734,-14.098270770637122,14.44761936614928,15.881232852949546,0.03289033119972882,0.13516541486175587,3909.0,0.09376059752397713,0.254052804278942,3909.0,0.16010052691629734,0.30498101783139875,3909.0
street01,42,street,acceleration,high,4977,497.70000002896995,109721.7,110953.8,True,0.35412734225538395,0.7790281779044975,0.889001321817732,0.330034847421958,0.8123669872447046,3.154272240064964,0.03820944820309381,0.07276053447276357,0.05012203580719893,0.12052974477410311,-0.00059701243441955,2.052377568544263,-0.063667554282412,-14.221935432375574,-14.158267878093161,14.422581374636458,17.78423657411229,0.03627037434332433,0.13218724647731223,4977.0,0.10807202724100819,0.2569407070384859,4977.0,0.1745095439530195,0.3114974623582149,4977.0
street01,42,street,turning,low,5240,524.0000000305008,109719.3,110967.5,True,0.33051601018841154,0.7551737815148936,0.8873628912492052,0.3236741134844766,0.8225741694723752,3.161788710423607,0.03173558886733263,0.06369910282082847,0.015520748603013645,0.018057455524103667,0.0002000525747879492,0.687730092964485,0.0004450200499207,-15.966857090842543,-15.967302110892463,14.610517575366986,15.966857090842543,0.03945317047452891,0.09959637028417397,5230.0,0.10531667328115998,0.23658844823890382,5190.0,0.16796530609882857,0.3005452113358243,5140.0
street01,42,street,turning,medium,4783,478.3000000278407,109721.9,110957.3,True,0.3499899580259322,0.7660125988709567,0.889001321817732,0.31041551039476445,0.7331325442566117,3.159399303348071,0.03579938557981433,0.06568395225331172,0.021922540521506346,0.027842637617140863,0.0012314733826054706,4.233493644359562,-0.11896831296875,-14.632800545664807,-14.513832232696057,14.211851635123013,15.881232852949546,0.034955524407301417,0.10294997395600536,4783.0,0.09220515301315219,0.21849404435664793,4783.0,0.1589778456036985,0.2819038446573642,4783.0
street01,42,street,turning,high,2460,246.00000001431908,109723.3,110952.0,True,0.34578362678723545,0.7821148400391065,0.888640070230595,0.40654378926285173,1.073394260039812,1.7275559218141794,0.04036226918702844,0.07681832485832263,0.10627336797122874,0.24237674130126802,-0.0039533150223718195,13.590495952054313,-0.2334888366088914,-14.235550735469936,-14.002061898861044,14.396260034303793,17.78423657411229,0.03214055741014513,0.2861145608939502,2460.0,0.10167128444054109,0.3939692279718734,2460.0,0.17458320175639605,0.43122994072698273,2460.0
street01,42,street,curvature,low,5371,537.1000000312633,109722.3,110953.4,True,0.34343098142347817,0.7620550038177833,0.8883363691151448,0.315054811858254,0.7387113244668019,3.161788710423607,0.03254915577063264,0.06462370604276646,0.01731084794240127,0.020224711508490048,0.00041315713316793115,1.4203296003748185,-0.1482587148636125,-14.239573318352438,-14.091314603488826,14.546856857074953,15.449592542943128,0.03925523511171816,0.09934050990250358,5371.0,0.09788226660376305,0.22241285940416233,5371.0,0.1619847611967837,0.28802115987954885,5371.0
