condition_variable,nominal_bin,comparison_bin,metric,n_sequences,mean_delta_vs_nominal,median_delta_vs_nominal,mean_ratio_vs_nominal,median_ratio_vs_nominal,n_sequences_degraded,fraction_sequences_degraded,sequences_degraded
wheel_imu_disagreement,low,high,RPE1_m,10,0.010759508069295058,0.004790438613257158,1.1853060852456845,1.182774641129178,10,1.0,"building00,building01,building02,parking00,parking01,parking02,playground00,street00,street01,street02"
wheel_imu_disagreement,low,high,RPE5_m,10,0.011438423145438966,0.008230120604233906,1.0694281860595187,1.0603418785225838,9,0.9,"building00,building01,building02,parking00,parking01,parking02,playground00,street00,street02"
wheel_imu_disagreement,low,high,RPE10_m,10,0.02008870904351929,0.012151532495621592,1.084975523455574,1.068490319324503,9,0.9,"building00,building01,building02,parking00,parking01,parking02,playground00,street00,street02"
wheel_imu_disagreement,low,high,persistent_yaw_residual_abs_deg_per_min,10,2.371207218258223,2.109418133909995,2.1157515622365213,1.9825171158663042,10,1.0,"building00,building01,building02,parking00,parking01,parking02,playground00,street00,street01,street02"
wheel_imu_disagreement,low,high,Iomega_p95_abs_deg,10,-0.42156753139353853,-0.19655660315673806,0.9736816385841769,0.988730195584115,1,0.1,street02
elapsed_time,early,middle,Dp_mean_m,10,0.7856493075914854,0.19474420824621183,1.8094468432597952,1.4421706068888585,9,0.9,"building00,building01,building02,parking00,parking01,parking02,playground00,street00,street02"
elapsed_time,early,middle,Dp_p95_m,10,1.4630450068209995,0.28912509200595854,1.9754951865453603,1.1802062527595318,8,0.8,"building00,building01,building02,parking01,parking02,playground00,street00,street02"
elapsed_time,early,middle,Dtheta_mean_deg,10,1.309536514646253,0.2264323261672658,1.5799770937654887,1.5388258888769788,7,0.7,"building00,building01,building02,parking01,parking02,playground00,street02"
elapsed_time,early,middle,Dtheta_p95_deg,10,1.6350969335832357,0.44457934565183815,1.5456555734678856,1.4135334453440604,7,0.7,"building00,building01,building02,parking01,parking02,playground00,street02"
elapsed_time,early,middle,Dv_rmse_mps,10,-0.0005291021214159586,0.001671507713937261,1.0022083472959202,1.046044935824243,7,0.7,"building00,building01,building02,parking01,playground00,street00,street01"
elapsed_time,early,middle,Domega_rmse_radps,10,0.0024737604067098335,0.003103219531431489,1.1121277713107394,1.0954104137584082,8,0.8,"building00,building01,building02,parking01,parking02,playground00,street00,street01"
elapsed_time,early,middle,RPE1_m,10,0.021557914019965367,0.0016304664606559454,1.741925294873964,1.1262200940676874,6,0.6,"building00,building01,building02,playground00,street00,street02"
