sequence,model_replicate,transport_replicate,condition,service,coverage,physical_satisfaction,freshness_satisfaction,joint_satisfaction,eligible_samples,observable_samples,mean_aoi_s,max_aoi_s,qualified
parking01,seed_1042,1,practical,local_10s,1.0,0.9527404647514462,1.0,0.9527404647514462,10199,10199,0.1579076380036117,0.6000000000058208,1
parking01,seed_1042,1,practical,global,1.0,0.6602582775026702,1.0,0.6602582775026702,10299,10299,0.15783085736467967,0.6000000000058208,0
parking01,seed_2042,1,practical,local_1s,1.0,0.8758868694722519,0.9995140441247935,0.8758868694722519,10289,10289,0.1578384682669682,0.6000000000058208,1
parking01,seed_2042,1,practical,local_5s,1.0,0.8772563176895307,1.0,0.8772563176895307,10249,10249,0.1578690603960226,0.6000000000058208,1
parking01,seed_2042,1,practical,local_10s,1.0,0.9536229042062947,1.0,0.9536229042062947,10199,10199,0.1579076380036117,0.6000000000058208,1
parking01,seed_2042,1,practical,global,1.0,0.15710263132342947,1.0,0.15710263132342947,10299,10299,0.15783085736467967,0.6000000000058208,0
parking02,seed_42,1,practical,local_1s,1.0,0.8565951545803083,0.9994289909454278,0.8565951545803083,12259,12259,0.1579982053999974,0.6000000000058208,1
parking02,seed_42,1,practical,local_5s,1.0,0.8720844586300025,1.0,0.8720844586300025,12219,12219,0.1580243882476936,0.6000000000058208,1
parking02,seed_42,1,practical,local_10s,1.0,0.9553784205768757,1.0,0.9553784205768757,12169,12169,0.1580573588625662,0.6000000000058208,1
parking02,seed_42,1,practical,global,1.0,0.0,1.0,0.0,12269,12269,0.15799168636389013,0.6000000000058208,0
parking02,seed_1042,1,practical,local_1s,1.0,0.858226609021943,0.9994289909454278,0.858226609021943,12259,12259,0.1579982053999974,0.6000000000058208,1
parking02,seed_1042,1,practical,local_5s,1.0,0.8751125296669122,1.0,0.8751125296669122,12219,12219,0.1580243882476936,0.6000000000058208,1
parking02,seed_1042,1,practical,local_10s,1.0,0.9575149971238393,1.0,0.9575149971238393,12169,12169,0.1580573588625662,0.6000000000058208,1
parking02,seed_1042,1,practical,global,1.0,0.0,1.0,0.0,12269,12269,0.15799168636389013,0.6000000000058208,0
parking02,seed_2042,1,practical,local_1s,1.0,0.8572477363569623,0.9994289909454278,0.8572477363569623,12259,12259,0.1579982053999974,0.6000000000058208,1
parking02,seed_2042,1,practical,local_5s,1.0,0.8730665357230543,1.0,0.8730665357230543,12219,12219,0.1580243882476936,0.6000000000058208,1
parking02,seed_2042,1,practical,local_10s,1.0,0.955871476703098,1.0,0.955871476703098,12169,12169,0.1580573588625662,0.6000000000058208,1
parking02,seed_2042,1,practical,global,1.0,0.0,1.0,0.0,12269,12269,0.15799168636389013,0.6000000000058208,0
playground00,seed_42,1,practical,local_1s,1.0,0.8596464139581564,0.9994595846522041,0.8596464139581564,12953,12953,0.1579711263801249,0.6000000000058208,1
playground00,seed_42,1,practical,local_5s,1.0,0.8753194455200186,1.0,0.8753194455200186,12913,12913,0.15799581816787406,0.6000000000058208,1
playground00,seed_42,1,practical,local_10s,1.0,0.9588742906009484,1.0,0.9588742906009484,12863,12863,0.15802689885732393,0.6000000000058208,1
playground00,seed_42,1,practical,global,1.0,0.9966057239836458,1.0,0.9966057239836458,12963,12963,0.15796497724305777,0.6000000000058208,1
playground00,seed_1042,1,practical,local_1s,1.0,0.8591059986103605,0.9994595846522041,0.8591059986103605,12953,12953,0.1579711263801249,0.6000000000058208,1
playground00,seed_1042,1,practical,local_5s,1.0,0.8753194455200186,1.0,0.8753194455200186,12913,12913,0.15799581816787406,0.6000000000058208,1
playground00,seed_1042,1,practical,local_10s,1.0,0.9598849413045168,1.0,0.9598849413045168,12863,12863,0.15802689885732393,0.6000000000058208,1
playground00,seed_1042,1,practical,global,1.0,0.9965285813469105,1.0,0.9965285813469105,12963,12963,0.15796497724305777,0.6000000000058208,1
playground00,seed_2042,1,practical,local_1s,1.0,0.8591059986103605,0.9994595846522041,0.8591059986103605,12953,12953,0.1579711263801249,0.6000000000058208,1
playground00,seed_2042,1,practical,local_5s,1.0,0.8743901494617827,1.0,0.8743901494617827,12913,12913,0.15799581816787406,0.6000000000058208,1
playground00,seed_2042,1,practical,local_10s,1.0,0.9590297753245743,1.0,0.9590297753245743,12863,12863,0.15802689885732393,0.6000000000058208,1
