sequence,model_replicate,transport_replicate,condition,requested_rate_hz,realized_arrival_rate_hz,requested_packets,delivered_packets,lost_packets,realized_loss_fraction,delay_p50_ms,delay_p95_ms,delay_max_ms,capture_packets,trace_repetitions
parking01,seed_1042,2,degraded,2.0,1.8645027363653723,2120,1977,143,0.06745283018867924,207.147731,304.41625,506.87418299999996,360,5.888888888888889
parking01,seed_2042,2,degraded,2.0,1.8645027363653723,2120,1977,143,0.06745283018867924,207.147731,304.41625,506.87418299999996,360,5.888888888888889
parking02,seed_42,2,degraded,2.0,1.8666454487587696,2514,2346,168,0.06682577565632458,206.9424185,304.41625,506.87418299999996,360,6.983333333333333
parking02,seed_1042,2,degraded,2.0,1.8666454487587696,2514,2346,168,0.06682577565632458,206.9424185,304.41625,506.87418299999996,360,6.983333333333333
parking02,seed_2042,2,degraded,2.0,1.8666454487587696,2514,2346,168,0.06682577565632458,206.9424185,304.41625,506.87418299999996,360,6.983333333333333
playground00,seed_42,2,degraded,2.0,1.8654803197103935,2653,2475,178,0.06709385601206182,206.737106,303.896435,506.87418299999996,360,7.3694444444444445
playground00,seed_1042,2,degraded,2.0,1.8654803197103935,2653,2475,178,0.06709385601206182,206.737106,303.896435,506.87418299999996,360,7.3694444444444445
playground00,seed_2042,2,degraded,2.0,1.8654803197103935,2653,2475,178,0.06709385601206182,206.737106,303.896435,506.87418299999996,360,7.3694444444444445
street00,seed_42,2,degraded,2.0,1.8628521511247036,2748,2560,188,0.06841339155749636,206.737106,303.896435,506.87418299999996,360,7.633333333333334
street00,seed_1042,2,degraded,2.0,1.8628521511247036,2748,2560,188,0.06841339155749636,206.737106,303.896435,506.87418299999996,360,7.633333333333334
street00,seed_2042,2,degraded,2.0,1.8628521511247036,2748,2560,188,0.06841339155749636,206.737106,303.896435,506.87418299999996,360,7.633333333333334
street01,seed_42,2,degraded,2.0,1.8658868771030328,2497,2330,167,0.06688025630756908,207.147731,304.41625,506.87418299999996,360,6.936111111111111
street01,seed_1042,2,degraded,2.0,1.8658868771030328,2497,2330,167,0.06688025630756908,207.147731,304.41625,506.87418299999996,360,6.936111111111111
street01,seed_2042,2,degraded,2.0,1.8658868771030328,2497,2330,167,0.06688025630756908,207.147731,304.41625,506.87418299999996,360,6.936111111111111
street02,seed_42,2,degraded,2.0,1.8633135236991025,2760,2571,189,0.06847826086956521,206.737106,303.896435,506.87418299999996,360,7.666666666666667
street02,seed_1042,2,degraded,2.0,1.8633135236991025,2760,2571,189,0.06847826086956521,206.737106,303.896435,506.87418299999996,360,7.666666666666667
street02,seed_2042,2,degraded,2.0,1.8633135236991025,2760,2571,189,0.06847826086956521,206.737106,303.896435,506.87418299999996,360,7.666666666666667
building00,seed_42,3,degraded,2.0,1.9187208527648245,2402,2304,98,0.04079933388842631,209.821556,307.090999,509.538272,360,6.6722222222222225
building00,seed_1042,3,degraded,2.0,1.9187208527648245,2402,2304,98,0.04079933388842631,209.821556,307.090999,509.538272,360,6.6722222222222225
building00,seed_2042,3,degraded,2.0,1.9187208527648245,2402,2304,98,0.04079933388842631,209.821556,307.090999,509.538272,360,6.6722222222222225
building01,seed_42,3,degraded,2.0,1.918468731735828,2738,2626,112,0.04090577063550037,209.821556,307.090999,509.538272,360,7.605555555555555
building01,seed_1042,3,degraded,2.0,1.918468731735828,2738,2626,112,0.04090577063550037,209.821556,307.090999,509.538272,360,7.605555555555555
building01,seed_2042,3,degraded,2.0,1.918468731735828,2738,2626,112,0.04090577063550037,209.821556,307.090999,509.538272,360,7.605555555555555
building02,seed_42,3,degraded,2.0,1.9173836370437485,3743,3588,155,0.04141063318193962,209.821556,307.090999,509.538272,360,10.397222222222222
building02,seed_1042,3,degraded,2.0,1.9173836370437485,3743,3588,155,0.04141063318193962,209.821556,307.090999,509.538272,360,10.397222222222222
