sequence,condition,service,coverage,physical_satisfaction,freshness_satisfaction,joint_satisfaction,mean_aoi_s,max_aoi_s,qualified
building01,practical,local_1s,1.0,0.8016543339063706,0.9975583626080673,0.8015048459027829,0.1585395022049419,0.6333333333338184,1
building01,practical,local_5s,1.0,0.7292317431758168,1.0,0.7292317431758168,0.15856510982831676,0.6333333333338184,0
building01,stress,global,1.0,0.15437216288661504,0.6624094405855553,0.1168123086115468,0.9258545572232276,3.3666666666661818,0
building01,stress,local_10s,1.0,0.2989439887626358,0.9197331125993929,0.2980242640111705,0.9254721950481726,3.3666666666661818,0
building01,stress,local_1s,1.0,0.3260084211575355,0.214764431821013,0.0909551452940346,0.9254627899440765,3.3666666666661818,0
building01,stress,local_5s,1.0,0.24027288402428967,0.66264337656496,0.2014393882599895,0.9253392308265348,3.3666666666661818,0
building02,degraded,global,1.0,0.5368379131819991,0.9816987075051592,0.5353716375221752,0.48771405816162766,1.4666666666938302,0
building02,degraded,local_10s,1.0,0.543882639874777,0.9996359797604746,0.543882639874777,0.4876833752131228,1.4666666666938302,0
building02,degraded,local_1s,1.0,0.5546197686493275,0.6432478446714482,0.40675940013040646,0.48770738247055184,1.4666666666938302,0
building02,degraded,local_5s,1.0,0.48264720830610613,0.9816670296957817,0.48134030349234014,0.4877622885530026,1.4666666666938302,0
building02,ideal,global,1.0,0.7788397716713129,1.0,0.7788397716713129,0.10033851055356631,0.1666666666957705,0
building02,ideal,local_10s,1.0,0.8887008117651342,1.0,0.8887008117651342,0.10034035892395818,0.1666666666957705,1
building02,ideal,local_1s,1.0,0.9551607138544761,1.0,0.9551607138544761,0.10033869448670779,0.1666666666957705,1
building02,ideal,local_5s,1.0,0.8737384738256009,1.0,0.8737384738256009,0.10033943222246626,0.1666666666957705,1
building02,practical,global,1.0,0.7678276190820994,1.0,0.7678276190820994,0.15856232576676416,0.6333333333313931,0
building02,practical,local_10s,1.0,0.8471782364432796,1.0,0.8471782364432796,0.15860179826011983,0.6333333333313931,1
building02,practical,local_1s,1.0,0.8550073655485523,0.9976454393972324,0.8545666401023931,0.1585669781932838,0.6333333333313931,1
building02,practical,local_5s,1.0,0.7747343836975725,1.0,0.7747343836975725,0.15858563856835084,0.6333333333313931,0
building02,stress,global,1.0,0.25573537043071093,0.6617428767966403,0.22605384791764718,0.9273252235792447,3.3666666666880096,0
building02,stress,local_10s,1.0,0.4111487265358621,0.9185686724181864,0.40516666059966266,0.9270558043201813,3.3666666666880096,0
building02,stress,local_1s,1.0,0.4031852978821029,0.2147359269723973,0.10801395831824,0.927041222940015,3.3666666666880096,0
building02,stress,local_5s,1.0,0.33987390788741256,0.6619109852610179,0.2727619255064256,0.9269549118013871,3.3666666666880096,0
parking00,degraded,global,1.0,0.024564667286784487,0.9816065052359948,0.02206419219651734,0.4877516728120146,1.4666666666550252,0
parking00,degraded,local_10s,1.0,0.4773266317457434,0.9996366609137978,0.4773266317457434,0.48770097192623485,1.4666666666550252,0
parking00,degraded,local_1s,1.0,0.5102962228829424,0.6432711655704718,0.37821225135397585,0.48774063728883044,1.4666666666550252,0
parking00,degraded,local_5s,1.0,0.41462458932392926,0.9815534858486301,0.41459444796093675,0.4878319317541334,1.4666666666550252,0
parking00,ideal,global,1.0,0.0,1.0,0.0,0.10035406727277746,0.16666666667636795,0
parking00,ideal,local_10s,1.0,0.9374249351540658,1.0,0.9374249351540658,0.1003572834347611,0.16666666667636795,1
parking00,ideal,local_1s,1.0,0.9458209448298646,1.0,0.9458209448298646,0.10035438628104197,0.16666666667636795,1
parking00,ideal,local_5s,1.0,0.8984838894414805,1.0,0.8984838894414805,0.10035566808330634,0.16666666667636795,1
parking00,practical,global,1.0,0.00018003420649923484,1.0,0.00018003420649923484,0.1585801302246449,0.6333333333410943,0
parking00,practical,local_10s,1.0,0.8735075342396625,1.0,0.8735075342396625,0.1586459563386555,0.6333333333410943,1
parking00,practical,local_1s,1.0,0.834259342683525,0.9974772502027209,0.8340190807980699,0.1585878607681395,0.6333333333410943,1
parking00,practical,local_5s,1.0,0.7768835840090023,1.0,0.7768835840090023,0.1586189227475884,0.6333333333410943,0
parking00,stress,global,1.0,0.06243186205379022,0.6615356917814385,0.03407647453016073,0.9277102649445198,3.366666666658906,0
parking00,stress,local_10s,1.0,0.3127441184485421,0.91846065340479,0.3116137301803575,0.9272655705879358,3.366666666658906,0
parking00,stress,local_1s,1.0,0.3623549669139362,0.21458389644712736,0.0990980168383538,0.9272396912576565,3.366666666658906,0
parking00,stress,local_5s,1.0,0.24799308758075375,0.6618139072248846,0.21189378183681465,0.927097085324378,3.366666666658906,0
parking01,degraded,global,1.0,0.23858842821848938,0.9814868757484546,0.23732616974679313,0.48803443699453525,1.4666666666550252,0
parking01,degraded,local_10s,1.0,0.5717989781133226,0.999607804686734,0.5717989781133226,0.4879824819368534,1.4666666666550252,0
parking01,degraded,local_1s,1.0,0.5763976630921912,0.6428548287815466,0.4245526506193238,0.4880228075232556,1.4666666666550252,0
parking01,degraded,local_5s,1.0,0.49338146811071,0.981429082512115,0.49313212129096606,0.48812241844150744,1.4666666666550252,0
parking01,ideal,global,1.0,0.31010561974733253,1.0,0.31010561974733253,0.10033012913874738,0.16666666667636795,0
parking01,ideal,local_10s,1.0,0.996023575296053,1.0,0.996023575296053,0.10033336601627212,0.16666666667636795,1
parking01,ideal,local_1s,1.0,0.9834559022040799,1.0,0.9834559022040799,0.10033044999513648,0.16666666667636795,1
parking01,ideal,local_5s,1.0,0.983759933218417,1.0,0.983759933218417,0.10033173968191622,0.16666666667636795,1
parking01,practical,global,1.0,0.30190633394827976,1.0,0.30190633394827976,0.15860763180881834,0.6333333333410943,0
parking01,practical,local_10s,1.0,0.9479360721639376,1.0,0.9479360721639376,0.15867895545305405,0.6333333333410943,1
parking01,practical,local_1s,1.0,0.8805628448936837,0.9973110441571905,0.8803036684269068,0.15861599766731657,0.6333333333410943,1
parking01,practical,local_5s,1.0,0.8795438037315294,1.0,0.8795438037315294,0.15864962435349986,0.6333333333410943,1
parking01,stress,global,1.0,0.14350907855131567,0.6619412887982652,0.126215058635682,0.9267987183163464,3.366666666658906,0
parking01,stress,local_10s,1.0,0.3905611661273981,0.9185541066117593,0.38797921364839694,0.9263097689257739,3.366666666658906,0
parking01,stress,local_1s,1.0,0.41515750369866417,0.21511646742475785,0.10989082191337027,0.9262902128428525,3.366666666658906,0
parking01,stress,local_5s,1.0,0.3229583373987706,0.6622434709077308,0.2680911958890298,0.9261326308199508,3.366666666658906,0
parking02,degraded,global,1.0,0.00013584372537832478,0.9817154345640774,0.0,0.48763278723573655,1.4666666666550252,0
parking02,degraded,local_10s,1.0,0.5821258023575387,0.999616511901827,0.5821258023575387,0.48758594241618053,1.4666666666550252,0
parking02,degraded,local_1s,1.0,0.5443166471798497,0.643418440873372,0.39943442912689997,0.4876226989636438,1.4666666666550252,0
parking02,degraded,local_5s,1.0,0.5077702303334516,0.981667894263033,0.5071973520291713,0.4877049403875557,1.4666666666550252,0
parking02,ideal,global,1.0,0.0,1.0,0.0,0.10032330806639661,0.16666666667636795,0
parking02,ideal,local_10s,1.0,0.9982012582061888,1.0,0.9982012582061888,0.10032596488344318,0.16666666667636795,1
parking02,ideal,local_1s,1.0,0.9785373104567167,1.0,0.9785373104567167,0.10032357179758708,0.16666666667636795,1
parking02,ideal,local_5s,1.0,0.9917614643860654,1.0,0.9917614643860654,0.10032463103908831,0.16666666667636795,1
parking02,practical,global,1.0,0.0,1.0,0.0,0.1585948325045892,0.6333333333410943,0
parking02,practical,local_10s,1.0,0.9535248947690397,1.0,0.9535248947690397,0.1586545046154559,0.6333333333410943,1
parking02,practical,local_1s,1.0,0.862232736039735,0.9973352910786633,0.8620695905955715,0.15860184354342155,0.6333333333410943,1
parking02,practical,local_5s,1.0,0.8779951078011475,1.0,0.8779951078011475,0.15863000245509493,0.6333333333410943,1
parking02,stress,global,1.0,0.0023002870830729663,0.6626185236503926,8.150623522699487e-05,0.925796723443523,3.366666666658906,0
parking02,stress,local_10s,1.0,0.4078304617379315,0.9189744432574574,0.4055660558249103,0.925378694491125,3.366666666658906,0
parking02,stress,local_1s,1.0,0.402461683479711,0.21556951355466733,0.10332544797019877,0.9253691165615991,3.366666666658906,0
parking02,stress,local_5s,1.0,0.34939211246601376,0.6628747578907166,0.28466595738876616,0.9252339253017604,3.366666666658906,0
playground00,degraded,global,1.0,0.8188862317536236,0.9816400524569929,0.8181748052148422,0.487706035143078,1.466666666684129,1
playground00,degraded,local_10s,1.0,0.6687657104356163,0.9996372023115394,0.6687657104356163,0.4876622871977486,1.466666666684129,0
playground00,degraded,local_1s,1.0,0.5546462852878355,0.6433258704547209,0.4075074843236659,0.4876965439326446,1.466666666684129,0
playground00,degraded,local_5s,1.0,0.5914969410671416,0.9815947752910503,0.5908515965822556,0.48777459409578305,1.466666666684129,0
playground00,ideal,global,1.0,0.9999228573632648,1.0,0.9999228573632648,0.10034714186531553,0.16666666670547178,1
playground00,ideal,local_10s,1.0,0.9900748918085465,1.0,0.9900748918085465,0.10034984062816492,0.16666666670547178,1
playground00,ideal,local_1s,1.0,0.9742916698834247,1.0,0.9742916698834247,0.1003474098664468,0.16666666670547178,1
playground00,ideal,local_5s,1.0,0.9766901572059165,1.0,0.9766901572059165,0.10034848602184505,0.16666666670547178,1
playground00,practical,global,1.0,0.99481430053057,1.0,0.99481430053057,0.15857183265201927,0.6333333333507957,1
playground00,practical,local_10s,1.0,0.9556609396460131,1.0,0.9556609396460131,0.15862810645531875,0.6333333333507957,1
playground00,practical,local_1s,1.0,0.8648618509654563,0.9976582001595512,0.8646559784520103,0.1585784502947677,0.6333333333507957,1
playground00,practical,local_5s,1.0,0.880335923315866,1.0,0.880335923315866,0.15860502336158333,0.6333333333507957,1
playground00,stress,global,1.0,0.37366178953774415,0.6617809663400962,0.3611989680029486,0.9273033505793197,3.366666666678308,0
