fold,test_sequence,method,status,train_sequences,validation_sequences,samples,duration_s,gnss_source,odo_source,ate_rmse_m,ate_median_m,ate_p95_m,ate_max_m,ate_se2_rmse_m,heading_mae_deg,heading_p95_deg,rpe_1s_trans_rmse_m,rpe_5s_trans_rmse_m,rpe_10s_trans_rmse_m,final_error_m,final_error_se2_m,final_drift_per_m,path_length_ratio,gnss_seen,gnss_normal,gnss_reacquired,gnss_rejected,gnss_rejection_rate_pct,gnss_max_coast_s,mean_abs_delta_v_mps,p95_abs_delta_v_mps,max_abs_delta_v_mps,mean_abs_delta_omega_radps,p95_abs_delta_omega_radps,max_abs_delta_omega_radps,alpha_xy_mean,alpha_xy_p95,alpha_xy_max,alpha_heading_mean,alpha_heading_p95,alpha_heading_max,error,replicate,base_seed,fold_seed,method_seed,schema
1,building00,gru_dual_3seed_deterministic,ok,"parking00,parking01,parking02,playground00,street00,street01,street02","building01,building02",12009,1200.7999999999993,OEM719_RTK,ODO_SPEED,1.933111989834674,1.4347512976290262,3.7759466989978567,4.578998123980733,1.0198556373297751,0.7287555664158183,2.0476599421969603,0.10902846890345433,0.28655976316933074,0.4590811802056809,2.3930749756866665,0.6890633103565506,0.0004122272374012493,1.0077531741116639,1198,624,25,549,45.826377295492485,43.899999999999636,0.02482573129236698,0.053319014608860016,0.23891451954841614,0.024231774732470512,0.0915125384926796,0.28249332308769226,1.0576238632202148,1.1167171001434326,7.0907206535339355,1.0125110149383545,1.0176913738250732,7.667576789855957,,3,2042,2042,2045,i2nav_original_dual_10fold_3seed_deterministic_v1
2,building01,gru_dual_3seed_deterministic,ok,"building00,parking01,parking02,playground00,street00,street01,street02","building02,parking00",13689,1368.800000000001,OEM719_RTK,ODO_SPEED,1.5165315653711178,1.407297335641118,2.018632179208872,4.271983366102658,0.5625606306930372,0.8290462335745131,2.701371848204257,0.0947167238380655,0.24416901348043593,0.3875933745689043,1.2785952373581888,0.22867755596606598,0.00013236778030964097,1.0084381660336503,1365,768,15,582,42.637362637362635,104.89999999999964,0.024400826543569565,0.05498196557164192,0.2814731001853943,0.02092721126973629,0.07957635819911957,0.2597697377204895,1.097611427307129,1.3896061182022095,9.206926345825195,1.0148979425430298,1.0395045280456543,4.884234428405762,,3,2042,2142,2145,i2nav_original_dual_10fold_3seed_deterministic_v1
3,building02,gru_dual_3seed_deterministic,ok,"building00,building01,parking02,playground00,street00,street01,street02","parking00,parking01",18714,1871.2999999999884,OEM719_RTK,ODO_SPEED,1.5298886643719494,0.35545489339407477,4.354775416678906,4.926479456901114,1.492139619892236,0.5359136031909809,1.7738431043474963,0.10034544395323983,0.2712335987526198,0.4187231248751072,0.0992498400852126,0.19868261865915762,7.882677406367867e-05,1.005294045393575,1872,1464,19,389,20.77991452991453,32.90000000002328,0.02351357974112034,0.05736185610294342,0.2465001344680786,0.021950555965304375,0.08940813690423965,0.2686120569705963,1.0412920713424683,1.0839673280715942,6.275946617126465,1.0009809732437134,1.0015584230422974,1.4872232675552368,,3,2042,2242,2245,i2nav_original_dual_10fold_3seed_deterministic_v1
4,parking00,gru_dual_3seed_deterministic,ok,"building00,building01,building02,playground00,street00,street01,street02","parking01,parking02",11409,1140.7999999999884,OEM719_RTK,ODO_SPEED,2.017501392131644,2.0180896333097817,2.919795998071237,3.384749821071048,0.7314643017974752,0.8953504875105827,3.043059095416257,0.09128434926102723,0.2547042955465028,0.41503778910576705,2.1265590348194254,0.5417625236110489,0.0003425706406603663,1.0020159901770065,1140,703,2,435,38.1578947368421,135.89999999999418,0.023261483758687973,0.0532168373465538,0.10661537945270538,0.02076515182852745,0.07568156719207764,0.27674630284309387,1.0253641605377197,1.0730303525924683,3.8519718647003174,1.0092171430587769,1.015330195426941,6.4932637214660645,,3,2042,2342,2345,i2nav_original_dual_10fold_3seed_deterministic_v1
5,parking01,gru_dual_3seed_deterministic,ok,"building00,building01,building02,parking00,street00,street01,street02","parking02,playground00",10599,1059.7999999999884,NONE,ODO_SPEED,5.782783602359092,3.9665643479716715,11.539395824448562,14.352343975288038,3.0888330253410645,7.923225419811289,16.28548321030762,0.022800031433050812,0.08269881830129565,0.1523490433661916,7.427210151535234,4.6856625231999525,0.003831315207359505,0.9999460511233765,0,0,0,0,0.0,0.0,0.021823488175868988,0.051341887563467026,0.19631117582321167,0.016505876556038857,0.07369603961706161,0.2755761742591858,1.130063533782959,1.5767080783843994,5.979142665863037,1.0066787004470825,1.015551209449768,1.9336849451065063,,3,2042,2442,2445,i2nav_original_dual_10fold_3seed_deterministic_v1
6,parking02,gru_dual_3seed_deterministic,ok,"building00,building01,building02,parking00,parking01,street01,street02","playground00,street00",12569,1256.7999999999884,NONE,ODO_SPEED,21.171679877340026,14.285144287619506,41.4897265711682,47.875375540886466,11.2844930223516,31.60756047663218,58.937666884021795,0.019543165282389093,0.05966426706099347,0.11287488551050387,40.492431080229835,21.040706459162063,0.014601173942032657,0.9984766675396471,0,0,0,0,0.0,0.0,0.022224707528948784,0.05101144686341286,0.2502358555793762,0.016280794516205788,0.07089537382125854,0.2743111550807953,1.1244416236877441,1.4071696996688843,7.271372318267822,1.020067811012268,1.0373820066452026,7.952585697174072,,3,2042,2542,2545,i2nav_original_dual_10fold_3seed_deterministic_v1
7,playground00,gru_dual_3seed_deterministic,ok,"building00,building01,building02,parking00,parking01,parking02,street02","street00,street01",13263,1326.2000000000116,OEM719_RTK,ODO_SPEED,0.24013446232912408,0.2313081331866117,0.36967587259350904,0.42781179511102474,0.20555631431852672,0.214827025936024,0.8276939175811343,0.01403653825266438,0.04674066475415816,0.08674666390573256,0.025263070122076868,0.09177597831132517,5.370285445250357e-05,1.001165977383073,1326,1326,0,0,0.0,0.9000000000232831,0.02121427096426487,0.05036008730530739,0.1963730752468109,0.020098131150007248,0.07548575103282928,0.24399642646312714,1.036152720451355,1.0971708297729492,7.266560077667236,1.0059772729873657,1.0061925649642944,2.2385497093200684,,3,2042,2642,2645,i2nav_original_dual_10fold_3seed_deterministic_v1
8,street00,gru_dual_3seed_deterministic,ok,"building00,building01,building02,parking00,parking01,parking02,playground00","street01,street02",13738,1373.699999999997,OEM719_RTK,ODO_SPEED,0.29754622917685253,0.2386451080750122,0.5158642151382229,0.5917172146300953,0.25995515004193187,0.30393884011972355,0.7755874529790333,0.017757120093231958,0.065033624887752,0.11443046348873846,0.02665489923841188,0.12904457150149964,7.741394213915627e-05,1.0015005259745822,1373,1373,0,0,0.0,0.9000000000087311,0.01959262788295746,0.03759676590561867,0.1910066157579422,0.012729603797197342,0.0469396598637104,0.19393905997276306,1.0165656805038452,1.016619324684143,8.863632202148438,1.002517819404602,1.0010247230529785,2.6825132369995117,,3,2042,2742,2745,i2nav_original_dual_10fold_3seed_deterministic_v1
9,street01,gru_dual_3seed_deterministic,ok,"building01,building02,parking00,parking01,parking02,playground00,street00","street02,building00",12483,1248.199999999997,OEM719_RTK,ODO_SPEED,0.40208372895763317,0.2569805521487326,0.7598220127084181,0.8999230962377994,0.33183483141003906,0.4357500159865524,1.2212363350058923,0.04105314753062695,0.11975581359746557,0.20280067025270607,0.09538351470426983,0.12625130723879152,7.607844277593075e-05,1.0006549565563543,1248,1211,2,35,2.8044871794871793,11.900000000008731,0.022434698417782784,0.05308619886636734,0.17006291449069977,0.02272496372461319,0.14068923890590668,0.19996409118175507,1.065863847732544,1.2565194368362427,7.543923854827881,1.0414988994598389,1.0238515138626099,9.43445110321045,,3,2042,2842,2845,i2nav_original_dual_10fold_3seed_deterministic_v1
10,street02,gru_dual_3seed_deterministic,ok,"building02,parking00,parking01,parking02,playground00,street00,street01","building00,building01",13799,1379.800000000003,OEM719_RTK,ODO_SPEED,0.47191601546660483,0.28134024905506405,0.8488150926679138,0.9832319591274506,0.38157199821671167,0.3862363408927769,1.281153007375261,0.042874692387500045,0.11422358948348661,0.19011375229520894,0.08670655542315811,0.15826119111334733,8.573143590707504e-05,1.0015380906471245,1379,1242,10,127,9.209572153734591,11.900000000008731,0.021284399554133415,0.04206262156367302,0.16430020332336426,0.024905959144234657,0.1543511301279068,0.2387368381023407,1.021946907043457,1.0305722951889038,4.187904357910156,1.097318172454834,1.0717970132827759,9.918079376220703,,3,2042,2942,2945,i2nav_original_dual_10fold_3seed_deterministic_v1
