t_wall_unix_s,http_latency_ms,L,R,millis,enc_left,enc_right,v_forward_mps,omega_rad_s,delta_v_asymmetry,ax,ay,az,gx,gy,gz,temp,vibration_rms,gps_valid,lat,lon,alt_m,speed_mps,surface,speed_setting,turn_type,vibration_level,log_file
1784559331.433988,656.0,-0.143669223,-0.143630039,560957.0,13277.0,20022.0,1.16307686483574,0.3841601491296383,0.054166581027279004,67.95898,-57.70508,977.1777,5.715,-8.48625,-4.77625,46.11111,36.951941002728404,True,37.24857733,-80.41748133,,,ROUGH,LOW,GENTLE_TURN,LOW,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1_20260720_105445.csv
1784559332.6262376,672.0,-0.114681955,-0.091871607,562148.0,14373.0,21130.0,1.6580992303350395,0.12805338304321212,0.01805552700909291,-191.3184,-43.05664,954.7168,9.465,-4.11125,2.16125,46.11111,39.00670245009594,True,37.24857683,-80.41748117,,,ROUGH,LOW,GENTLE_TURN,LOW,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1_20260720_105445.csv
1784559333.590057,985.0,0.0,-0.023010051,563105.0,14694.0,21473.0,0.4995362472515726,0.2347645355792232,0.03310179951667047,-44.83398,-31.82617,1011.846,0.34,0.88875,-9.27625,46.66667,30.05157792738347,True,37.24857667,-80.41748117,,,ROUGH,LOW,GENTLE_TURN,LOW,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1_20260720_105445.csv
1784559334.791001,734.0,0.0,-0.069572777,564325.0,14693.0,21886.0,0.3099532136560963,4.417841714990837,0.622915681813708,16.68945,27.25586,949.834,-0.4725,5.95125,-24.90125,46.11111,27.79070308383147,True,37.2485775,-80.41748067,,,ROUGH,LOW,SHARP_TURN,LOW,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1_20260720_105445.csv
1784559335.712458,672.0,0.042977071,-0.042946404,565228.0,14416.0,22335.0,0.12939794356516643,7.747229674114369,1.0923593840501258,-12.11914,-0.576172,1009.404,1.715,-0.42375,-33.71375,46.11111,23.065704938313992,True,37.24857867,-80.41748033,,,ROUGH,LOW,SHARP_TURN,LOW,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1_20260720_105445.csv
1784559336.741148,688.0,0.0,0.0,566278.0,14327.0,22392.0,-0.024074036012123982,1.557982827025754,0.2196755786106313,-0.400391,-1.552734,981.084,-0.41,-0.23625,0.66125,46.66667,20.285119046548395,True,37.24857917,-80.4174795,,,ROUGH,LOW,SHARP_TURN,LOW,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1_20260720_105445.csv
1784559337.62197,843.0,0.0,0.0,567149.0,14327.0,22392.0,0.0,0.0,0.0,-7.236328,7.236328,980.1074,-0.4725,0.51375,-0.33875,46.11111,32.84738917877036,True,37.24857983,-80.41747883,,,ROUGH,LOW,STRAIGHT,LOW,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1_20260720_105445.csv
1784559338.5897076,704.0,0.0,0.0,568114.0,14327.0,22392.0,0.0,0.0,0.0,-6.748047,8.212891,980.5957,0.215,-1.54875,-0.08875,46.11111,39.91647009531578,True,37.2485805,-80.41747817,,,ROUGH,LOW,STRAIGHT,LOW,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1_20260720_105445.csv
1784559339.912187,703.0,-0.043701053,-0.131734474,569433.0,14355.0,22521.0,0.11811323918448327,1.0777826406137065,0.15196735232653263,91.88477,27.74414,1012.822,3.7775,16.63875,-23.21375,46.11111,128.5512314456153,True,37.2485815,-80.41747667,,,ROUGH,LOW,SHARP_TURN,HIGH,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1_20260720_105445.csv
1784559340.7072847,672.0,-0.137200053,-0.160261576,570221.0,14855.0,23281.0,0.9479151679773817,2.7744899659362754,0.3912030851970148,-85.36133,-26.94336,1045.049,6.0275,-0.92375,-1.15125,46.66667,159.7895627877991,True,37.2485815,-80.41747667,,,ROUGH,LOW,SHARP_TURN,HIGH,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1_20260720_105445.csv
1784559341.7118323,765.0,-0.138696628,-0.161787876,571243.0,15718.0,24263.0,1.3880186388240234,1.2698627151785264,0.17905064284017225,47.45117,28.7207,716.4355,1.34,1.70125,-2.52625,46.66667,159.64434898189987,True,37.24858217,-80.41747717,,,ROUGH,LOW,SHARP_TURN,HIGH,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1_20260720_105445.csv
1784559342.779854,703.0,-0.150462725,-0.150462725,572287.0,16640.0,25282.0,1.4602407468603953,1.0350981795993035,0.14594884332350178,19.61914,50.69336,1192.021,1.34,-5.17375,-8.65125,46.11111,158.52341544220323,True,37.24858267,-80.4174775,,,ROUGH,LOW,SHARP_TURN,HIGH,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1_20260720_105445.csv
