run_id,full_dataset_name,category,physical_recording,surface,speed,route,has_aligned_gt,data_available,duration_s,rows,used_for_calibration,notes
i2nav_smoke,i2nav_smoke,OTHER_DEV,N/A,unknown,unknown,unknown,YES,CSV-GT;NPZ-GT,180.00000001047738,1801,UNKNOWN,Development/calibration
i2nav_street00,i2nav_street00,OTHER_DEV,N/A,unknown,unknown,unknown,YES,CSV-GT;NPZ-GT,1372.9000000799133,13730,UNKNOWN,Development/calibration
ibm_patchtsmixer_unc,ibm_patchtsmixer_uncertainty,OTHER_DEV,N/A,unknown,unknown,unknown,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Development/calibration
pairing_a_142023,pairing_a_142023,OTHER_DEV,N/A,unknown,unknown,unknown,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Development/calibration
pairing_a_142907,pairing_a_142907,OTHER_DEV,N/A,unknown,unknown,unknown,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Development/calibration
pairing_b_142023,pairing_b_142023,OTHER_DEV,N/A,unknown,unknown,unknown,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Development/calibration
pairing_b_142907,pairing_b_142907,OTHER_DEV,N/A,unknown,unknown,unknown,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Development/calibration
pairing_check_v1428_,pairing_check_v1428_csv142023,OTHER_DEV,N/A,unknown,unknown,unknown,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Development/calibration
pairing_check_v1428_,pairing_check_v1428_csv142907,OTHER_DEV,N/A,unknown,unknown,unknown,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Development/calibration
pairing_check_v1433_,pairing_check_v1433_csv142023,OTHER_DEV,N/A,unknown,unknown,unknown,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Development/calibration
pairing_check_v1433_,pairing_check_v1433_csv142907,OTHER_DEV,N/A,unknown,unknown,unknown,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Development/calibration
patchtsmixer_uncerta,patchtsmixer_uncertainty,OTHER_DEV,N/A,unknown,unknown,unknown,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Development/calibration
real_data_study,real_data_study,OTHER_DEV,N/A,unknown,unknown,unknown,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Development/calibration
real_data_study_buff,real_data_study_buffered_attacks,OTHER_DEV,N/A,unknown,unknown,unknown,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Development/calibration
stationary,stationary,OTHER_DEV,N/A,unknown,unknown,unknown,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Development/calibration
still_footage_tracke,still_footage_tracked_full,OTHER_DEV,N/A,unknown,unknown,unknown,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Development/calibration
trapezoid_continuity,trapezoid_continuity_repaired,OTHER_DEV,N/A,unknown,unknown,unknown,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Development/calibration
trapezoid_tracked_fu,trapezoid_tracked_full,OTHER_DEV,N/A,unknown,unknown,unknown,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Development/calibration
trial1_square_1p5_co,trial1_square_1p5_continuity_repaired,OTHER_DEV,N/A,unknown,unknown,unknown,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Development/calibration
trial1_square_1p5_el,trial1_square_1p5_elevation_corrected,OTHER_DEV,N/A,unknown,unknown,unknown,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Development/calibration
trial1_square_1p5_tr,trial1_square_1p5_tracked_full,OTHER_DEV,N/A,unknown,unknown,unknown,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Development/calibration
ugv01_apriltag_carpe,ugv01_apriltag_carpet_142023,UGV01_APRILTAG,UGV01_carpet_AprilTag,carpet,unknown,square,YES,CSV-GT;NPZ-GT,215.18685952126754,1893,UNKNOWN,Initial tracking from July 14
ugv01_apriltag_finet,ugv01_apriltag_finetune_142023,OTHER_DEV,N/A,unknown,unknown,unknown,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Development/calibration
ugv01_apriltag_finet,ugv01_apriltag_finetuned_carpet_142023,OTHER_DEV,N/A,unknown,unknown,unknown,YES,CSV-GT;NPZ-GT,215.18685952126754,1893,UNKNOWN,Development/calibration
ugv01_apriltag_finet,ugv01_apriltag_finetuned_full_142023,OTHER_DEV,N/A,unknown,unknown,unknown,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Development/calibration
ugv01_apriltag_finet,ugv01_apriltag_finetuned_full_142023_continuity_repaired,OTHER_DEV,N/A,unknown,unknown,unknown,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Development/calibration
ugv01_apriltag_old_c,ugv01_apriltag_old_current_142023,OTHER_DEV,N/A,unknown,unknown,unknown,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Development/calibration
validation_carpet_14,validation_carpet_142023_baseline,VALIDATION_CARPET,validation_carpet_142023,carpet,unknown,square,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Validation run 1
validation_carpet_14,validation_carpet_142023_candidate,VALIDATION_CARPET,validation_carpet_142023,carpet,unknown,square,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Validation run 1
validation_carpet_14,validation_carpet_142023_four_tag_continuity_repaired,VALIDATION_CARPET,validation_carpet_142023,carpet,unknown,square,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Validation run 1 (four-tag coverage)
validation_carpet_14,validation_carpet_142023_four_tag_elevation,VALIDATION_CARPET,validation_carpet_142023,carpet,unknown,square,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Validation run 1 (four-tag coverage) (elevation corrected)
validation_carpet_14,validation_carpet_142023_four_tag_full,VALIDATION_CARPET,validation_carpet_142023,carpet,unknown,square,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Validation run 1 (four-tag coverage) (full processing)
validation_carpet_14,validation_carpet_142023_full,VALIDATION_CARPET,validation_carpet_142023,carpet,unknown,square,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Validation run 1 (full processing)
validation_carpet_14,validation_carpet_142907_baseline,VALIDATION_CARPET,validation_carpet_142907,carpet,unknown,square,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Validation run 2 (alternative timing)
validation_carpet_14,validation_carpet_142907_candidate,VALIDATION_CARPET,validation_carpet_142907,carpet,unknown,square,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Validation run 2 (alternative timing)
validation_carpet_14,validation_carpet_142907_elevation_corrected,VALIDATION_CARPET,validation_carpet_142907,carpet,unknown,square,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Validation run 2 (alternative timing) (elevation corrected)
validation_carpet_14,validation_carpet_142907_full,VALIDATION_CARPET,validation_carpet_142907,carpet,unknown,square,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Validation run 2 (alternative timing) (full processing)
validation_carpet_ru,validation_carpet_run_a_quick,VALIDATION_CARPET,N/A,carpet,unknown,square,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,
validation_carpet_ru,validation_carpet_run_b_quick,VALIDATION_CARPET,N/A,carpet,unknown,square,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,
