method,domain,mad,metric_a,metric_b,n_sequences,spearman,bootstrap_ci_low,bootstrap_ci_high,valid_bootstrap_replicates,interpretation
LWOI-IMU adaptation (sparse RBF residual),position_xy,0.25,ate_m,fd_max_m,10,-0.24848484848484845,-0.7806451612903226,0.49389870002452163,20000,exploratory sequence-level correlation
LWOI-IMU adaptation (sparse RBF residual),position_xy,0.25,rpe10_m,ed_mean_m,10,-0.006060606060606061,-0.7610062893081762,0.7254901960784311,20000,exploratory sequence-level correlation
LWOI-IMU adaptation (sparse RBF residual),position_xy,0.25,dp_p95_m,fd_max_m,10,-0.16363636363636364,-0.7532467532467532,0.5471698113207548,20000,exploratory sequence-level correlation
LWOI-IMU adaptation (sparse RBF residual),position_xy,0.5,ate_m,pct_matched,10,-0.3696969696969697,-0.85,0.4896551724137931,20000,exploratory sequence-level correlation
LWOI-IMU adaptation (sparse RBF residual),position_xy,0.5,rpe10_m,pct_matched,10,-0.406060606060606,-0.9125,0.39743589743589747,20000,exploratory sequence-level correlation
LWOI-IMU adaptation (sparse RBF residual),position_xy,0.5,dp_p95_m,pct_matched,10,-0.38181818181818183,-0.9,0.6024844720496895,20000,exploratory sequence-level correlation
LWOI-IMU adaptation (sparse RBF residual),position_xy,0.5,ate_m,ed_mean_m,10,-0.5272727272727272,-0.9259259259259257,0.1372549019607843,20000,exploratory sequence-level correlation
LWOI-IMU adaptation (sparse RBF residual),position_xy,0.5,ate_m,fd_max_m,10,-0.41818181818181815,-0.8961038961038961,0.2704402515723271,20000,exploratory sequence-level correlation
LWOI-IMU adaptation (sparse RBF residual),position_xy,0.5,rpe10_m,ed_mean_m,10,0.05454545454545454,-0.7358490566037736,0.6603773584905661,20000,exploratory sequence-level correlation
LWOI-IMU adaptation (sparse RBF residual),position_xy,0.5,dp_p95_m,fd_max_m,10,-0.49090909090909085,-0.9108280254777071,0.20529801324503308,20000,exploratory sequence-level correlation
LWOI-IMU adaptation (sparse RBF residual),position_xy,1.0,ate_m,pct_matched,10,-0.4545454545454545,-0.9108280254777071,0.39622641509433965,20000,exploratory sequence-level correlation
LWOI-IMU adaptation (sparse RBF residual),position_xy,1.0,rpe10_m,pct_matched,10,-0.32121212121212117,-0.8867924528301887,0.40372670807453415,20000,exploratory sequence-level correlation
LWOI-IMU adaptation (sparse RBF residual),position_xy,1.0,dp_p95_m,pct_matched,10,-0.4666666666666666,-0.9615384615384615,0.38749999999999996,20000,exploratory sequence-level correlation
LWOI-IMU adaptation (sparse RBF residual),position_xy,1.0,ate_m,ed_mean_m,10,-0.3939393939393939,-0.8364779874213837,0.2704402515723271,20000,exploratory sequence-level correlation
LWOI-IMU adaptation (sparse RBF residual),position_xy,1.0,ate_m,fd_max_m,10,0.006060606060606061,-0.9610389610389609,0.6025641025641026,20000,exploratory sequence-level correlation
LWOI-IMU adaptation (sparse RBF residual),position_xy,1.0,rpe10_m,ed_mean_m,10,0.2606060606060606,-0.4968553459119497,0.8181818181818181,20000,exploratory sequence-level correlation
LWOI-IMU adaptation (sparse RBF residual),position_xy,1.0,dp_p95_m,fd_max_m,10,0.0303030303030303,-0.9205298013245032,0.6103896103896104,20000,exploratory sequence-level correlation
Twin V1,heading,2.0,heading_mae_deg,pct_matched,10,-0.9757575757575757,-1.0,-0.8101265822784811,20000,exploratory sequence-level correlation
Twin V1,heading,2.0,dtheta_p95_deg,pct_matched,10,-0.9636363636363635,-1.0,-0.7916666666666665,20000,exploratory sequence-level correlation
Twin V1,heading,2.0,heading_mae_deg,ed_mean_deg,10,0.9878787878787878,0.8701298701298701,1.0,20000,exploratory sequence-level correlation
Twin V1,heading,2.0,dtheta_p95_deg,fd_max_deg,10,0.4424242424242424,-0.38749999999999996,0.9259259259259257,20000,exploratory sequence-level correlation
Twin V1,heading,5.0,heading_mae_deg,pct_matched,10,-0.8727860481775686,-0.9905211130872972,-0.5325572505133518,19979,exploratory sequence-level correlation
