sequence,bias_radps,bias_degps,ate_m,heading_mae_deg,dp_p95_m,dtheta_p95_deg,rpe1_m,rpe5_m,rpe10_m
building01,-0.0005,-0.028647889756541162,19.028662005035745,25.644965393704556,39.78771373613801,48.794061780408924,0.024051484752339338,0.06392579750580693,0.10239799650355126
building01,0.0,0.0,4.820384539706039,6.04337394582646,9.565539417674819,11.608178534981297,0.02411325416112815,0.06604263904254752,0.10828418222836318
building01,0.0005,0.028647889756541162,10.968388920166168,13.569309262675356,24.23428873108361,25.604767874417337,0.024179181585210954,0.06902885061104735,0.12227096850574352
building01,0.001,0.057295779513082325,25.196979515384356,33.175119233918814,54.96645906831193,62.832596985965694,0.024249233084403642,0.07277726681917128,0.1419820723567847
building01,0.0025,0.1432394487827058,56.895609859442565,91.90973180693237,117.24848291086487,174.10005864932043,0.024483767352368558,0.0875226523239341,0.21839529423132445
building01,0.005,0.2864788975654116,62.7723183320824,86.07760828215805,121.51628203097778,171.2199411768003,0.024953511559737625,0.11900889896327925,0.36510444986583446
building02,-0.005,-0.2864788975654116,427.1389996783866,89.3177007728071,649.9148489426806,170.9834172472317,0.01538680436670998,0.06746152042705922,0.28145096397842995
building02,-0.0025,-0.1432394487827058,230.3738082644013,102.96878321136471,370.8466591397062,173.18925950085017,0.016118328147003855,0.05119856006854539,0.1313369791304205
building02,-0.001,-0.057295779513082325,120.68925453602121,52.6487477075093,231.70869655389004,106.24862246411612,0.01663342050468553,0.057973480570213766,0.09800983293033592
building02,-0.0005,-0.028647889756541162,63.49156351549624,25.92844253662315,127.8123378886058,55.33414140628182,0.016816683497273527,0.06264186953871216,0.10976301803882495
building02,0.0,0.0,13.497586860470278,4.6439557152034885,24.10506122447015,9.105899805932518,0.017005420849592907,0.06814918564164933,0.13035122368033228
building02,0.0005,0.028647889756541162,70.5946687515414,27.78328299236112,133.4845990226747,46.559797267117574,0.017199451424340862,0.07430658894694261,0.15624859017227355
building02,0.001,0.057295779513082325,133.48366408121453,54.569352334110675,256.0399199701862,97.463720304395,0.017398597292038676,0.08096473182753938,0.18521725205190712
building02,0.0025,0.1432394487827058,239.17571939786004,107.00217370496553,419.18804698338135,173.37040104975185,0.018025002399809694,0.10293831780016754,0.280698464590388
building02,0.005,0.2864788975654116,247.92651658247146,89.31638174999642,453.71511248847406,168.6437713109838,0.019155848789979807,0.14305395008110275,0.4498095729901485
parking00,-0.005,-0.2864788975654116,65.97679429105433,99.89349853930986,101.68085461683354,172.36757193005076,0.022540821963140622,0.05816409171119683,0.2304086770288619
parking00,-0.0025,-0.1432394487827058,52.66393374472818,71.18290940357987,101.31030174340049,138.94353665087112,0.02321952633399965,0.0548679359791838,0.0966955940352723
parking00,-0.001,-0.057295779513082325,19.008801762977665,22.1608756601204,39.37278890199198,45.76116417606348,0.02367923809105964,0.06773081986678307,0.10512070540030448
parking00,-0.0005,-0.028647889756541162,5.576296441951814,5.839837034866559,13.14486773356016,14.740777831677754,0.023840731713023876,0.07357505649101996,0.12757115492156568
parking00,0.0,0.0,8.987295021861788,10.530981106671902,14.507822264079202,16.56500499365248,0.024006216380882617,0.07993228414006585,0.15437158525350278
parking00,0.0005,0.028647889756541162,22.38994164933885,26.863493194544883,39.06978160000475,47.376355231037884,0.024175610101277275,0.08668961787579804,0.18362392588161922
