metric,sequence,v1,v2,difference_v2_minus_v1,relative_change_pct
mean_bidirectional_nearest_m,parking01,1.2566168764056889,1.000073570858847,-0.2565433055468418,-20.415395524579825
mean_bidirectional_nearest_m,parking02,2.1788551419942976,2.136951687000017,-0.0419034549942805,-1.923186823513491
mean_bidirectional_nearest_m,playground00,0.1650432487461359,0.164487545665916,-0.0005557030802199048,-0.3367014915433887
mean_bidirectional_nearest_m,street00,0.1905333123337435,0.1916288077340845,0.0010954954003410122,0.5749626597694958
mean_bidirectional_nearest_m,street01,0.271877936606896,0.2687901121439417,-0.003087824462954303,-1.135739259128974
mean_bidirectional_nearest_m,street02,0.2598481292098747,0.2492183547873735,-0.01062977442250121,-4.090764268660842
terminal_position_error_m,building00,2.0298406982346764,2.176769128733369,0.14692843049869264,7.238421745434221
terminal_position_error_m,building01,1.2764069053251177,1.265725210991144,-0.01068169433397359,-0.8368565141264902
terminal_position_error_m,building02,0.105960897361414,0.1053993824858719,-0.0005615148755420962,-0.5299265007419366
terminal_position_error_m,parking00,2.1249590500801503,2.130333738718487,0.005374688638336789,0.25293139828431344
terminal_position_error_m,parking01,7.159970113222296,2.001874400954954,-5.158095712267341,-72.04074361626037
terminal_position_error_m,parking02,26.51704209904489,20.1421101382691,-6.37493196077579,-24.04088637399496
terminal_position_error_m,playground00,0.0255733003957005,0.0253888925725911,-0.0001844078231094011,-0.7210951275589152
terminal_position_error_m,street00,0.0272252768277988,0.0318847894933739,0.0046595126655751,17.11465670320542
terminal_position_error_m,street01,0.0960118584120771,0.0950766544152829,-0.0009352039967941983,-0.9740505102821354
terminal_position_error_m,street02,0.0816827022732078,0.0775713028432597,-0.004111399429948093,-5.0333783231075175
