sequence,seed,path,zero_bias_replay_position_rmse_m,bias_radps,bias_degps,ate_m,heading_mae_deg,dp_p95_m,dtheta_p95_deg,rpe1_m,rpe5_m,rpe10_m
street02,01_42,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_01_base42\fold_10_street02\v2_evaluated_trajectory.csv,20.455949755655826,0.0025,0.1432394487827058,180.41215347582386,91.28089737304444,317.78356832084444,169.3014607940983,0.019299273852248493,0.0930741944939051,0.2455473425571169
street02,01_42,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_01_base42\fold_10_street02\v2_evaluated_trajectory.csv,20.455949755655826,-0.0025,-0.1432394487827058,306.55935080024955,100.07951420760756,515.3218938064014,174.44896529673727,0.017860192445808314,0.05293782462988605,0.14352809957024998
street02,01_42,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_01_base42\fold_10_street02\v2_evaluated_trajectory.csv,20.455949755655826,0.005,0.2864788975654116,233.01491541962943,87.09597784779007,368.58890199635533,170.22013292353626,0.020195352629302665,0.13013194641693931,0.4052424549497947
street02,01_42,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_01_base42\fold_10_street02\v2_evaluated_trajectory.csv,20.455949755655826,-0.005,-0.2864788975654116,527.8432544815391,81.34182197628066,757.3138989119121,169.85308905474633,0.017346511122584948,0.072208805725764,0.29129856264524007
building00,02_1042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_02_base1042\fold_01_building00\v2_evaluated_trajectory.csv,26.200401939294736,0.0,0.0,26.070398619164443,20.876636799761663,46.88544126606717,36.61743013994503,0.01981743965418328,0.06300398029932743,0.12826388166485408
building00,02_1042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_02_base1042\fold_01_building00\v2_evaluated_trajectory.csv,26.200401939294736,0.0005,0.028647889756541162,46.761870265469376,38.0758928485002,87.30427155001288,69.22721198833234,0.01990915463471637,0.06790597795856808,0.1528227090639374
building00,02_1042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_02_base1042\fold_01_building00\v2_evaluated_trajectory.csv,26.200401939294736,-0.0005,-0.028647889756541162,5.839074602309369,3.7058133070617294,12.1142410705415,6.464844699892852,0.019731581075885594,0.0590005080336297,0.10930143864566244
building00,02_1042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_02_base1042\fold_01_building00\v2_evaluated_trajectory.csv,26.200401939294736,0.001,0.057295779513082325,65.34087272833949,55.27587535975184,121.53960289960706,101.90671572297614,0.02000664546413818,0.0735269902432607,0.18071017058976013
building00,02_1042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_02_base1042\fold_01_building00\v2_evaluated_trajectory.csv,26.200401939294736,-0.001,-0.057295779513082325,19.620186310781843,13.52512926060131,43.30447322719417,28.71343908056958,0.01965165567175636,0.056088314569045,0.09919876119329177
building00,02_1042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_02_base1042\fold_01_building00\v2_evaluated_trajectory.csv,26.200401939294736,0.0025,0.1432394487827058,101.29712999394613,102.42398321296844,172.68820842049493,175.4026884032511,0.0203329175079707,0.09333182284322986,0.27376632134853984
building00,02_1042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_02_base1042\fold_01_building00\v2_evaluated_trajectory.csv,26.200401939294736,-0.0025,-0.1432394487827058,78.38086718039243,65.12559561708866,159.74384902193597,126.79785134975423,0.019448182965945814,0.05531826275301024,0.13383469295317887
building00,02_1042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_02_base1042\fold_01_building00\v2_evaluated_trajectory.csv,26.200401939294736,0.005,0.2864788975654116,108.56766654858326,85.27922337328866,214.69529412165392,170.43002306276796,0.02098384160962804,0.13146714959197847,0.43974676779575506
building00,02_1042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_02_base1042\fold_01_building00\v2_evaluated_trajectory.csv,26.200401939294736,-0.005,-0.2864788975654116,112.79087042739886,100.32107406543689,200.72065087536436,171.3245580523133,0.01923357218996386,0.07734816853157417,0.2816508608091036
building01,02_1042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_02_base1042\fold_02_building01\v2_evaluated_trajectory.csv,5.336309119895288,0.0,0.0,5.204266110640718,6.257761164194097,10.313620276571552,12.250494887884742,0.023865592463217206,0.06468337752337033,0.10690946447900253
building01,02_1042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_02_base1042\fold_02_building01\v2_evaluated_trajectory.csv,5.336309119895288,0.0005,0.028647889756541162,10.94646063895388,13.351806062486629,24.14957187163223,25.035849516859606,0.023932332897204738,0.06772865520827351,0.12098199409163907
building01,02_1042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_02_base1042\fold_02_building01\v2_evaluated_trajectory.csv,5.336309119895288,-0.0005,-0.028647889756541162,19.231603195275294,25.862389501996642,39.94886582899081,49.56212071586044,0.02380304571493587,0.0625209687040357,0.10103751502634181
building01,02_1042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_02_base1042\fold_02_building01\v2_evaluated_trajectory.csv,5.336309119895288,0.001,0.057295779513082325,25.124363049133684,32.95771006972068,54.90333617929572,62.050805663540714,0.024003232024896015,0.07154412909998045,0.14081704491836414
building01,02_1042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_02_base1042\fold_02_building01\v2_evaluated_trajectory.csv,5.336309119895288,-0.001,-0.057295779513082325,32.60820244068506,45.468899865025854,68.05762473661753,86.82592152461206,0.02374472580262981,0.06133490155839549,0.10475502365369789
building01,02_1042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_02_base1042\fold_02_building01\v2_evaluated_trajectory.csv,5.336309119895288,0.0025,0.1432394487827058,56.89312995142677,91.73392245832844,117.25780794469642,173.8181891599835,0.02424050585162691,0.08649657563326926,0.2175325211834226
building01,02_1042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_02_base1042\fold_02_building01\v2_evaluated_trajectory.csv,5.336309119895288,-0.0025,-0.1432394487827058,59.91117321335451,100.3555306915078,112.64768851659728,175.44262790308787,0.023595429235351312,0.0639553336922827,0.15870133980863926
building01,02_1042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_02_base1042\fold_02_building01\v2_evaluated_trajectory.csv,5.336309119895288,0.005,0.2864788975654116,63.08860549432976,86.34046685739762,121.91789752609046,171.5067792543356,0.02471540145303334,0.11824926496741273,0.3644576063611844
building01,02_1042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_02_base1042\fold_02_building01\v2_evaluated_trajectory.csv,5.336309119895288,-0.005,-0.2864788975654116,72.28045059395032,82.0187540702363,139.49096006430403,169.3709444170664,0.02343364049105954,0.08485819101917884,0.2976549925720727
building02,02_1042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_02_base1042\fold_03_building02\v2_evaluated_trajectory.csv,10.910459777621616,0.0,0.0,11.124795528574754,4.751521052008714,20.74901182253931,12.585413119231674,0.0167211570321659,0.06597634468846766,0.12527544390189072
building02,02_1042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_02_base1042\fold_03_building02\v2_evaluated_trajectory.csv,10.910459777621616,0.0005,0.028647889756541162,58.03497264697407,22.214964440240305,115.07037434269292,38.19167721984611,0.01691720027342021,0.07223153133664567,0.15147635549755795
building02,02_1042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_02_base1042\fold_03_building02\v2_evaluated_trajectory.csv,10.910459777621616,-0.0005,-0.028647889756541162,74.41088918012233,31.45007133323969,143.85146746642678,63.51940543059589,0.016530429100591267,0.06037249329289439,0.10444463074735857
building02,02_1042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_02_base1042\fold_03_building02\v2_evaluated_trajectory.csv,10.910459777621616,0.001,0.057295779513082325,122.50482729641193,48.964376364072,241.5479306372026,89.2737314772614,0.017118376185045907,0.07898343549652062,0.18072634510202576
building02,02_1042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_02_base1042\fold_03_building02\v2_evaluated_trajectory.csv,10.910459777621616,-0.001,-0.057295779513082325,129.84137103654015,58.254469383950116,242.15779434495647,114.43791077875355,0.01634520257268329,0.055617229158274654,0.09267898891714992
building02,02_1042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_02_base1042\fold_03_building02\v2_evaluated_trajectory.csv,10.910459777621616,0.0025,0.1432394487827058,237.40444332584806,106.4563913808962,421.43494289024477,173.44417414879626,0.017750932421475105,0.10119361237296809,0.27677727416326636
building02,02_1042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_02_base1042\fold_03_building02\v2_evaluated_trajectory.csv,10.910459777621616,-0.0025,-0.1432394487827058,233.2957223820715,103.41684483999066,378.6572777603427,173.39744112093646,0.015824434898734814,0.048759359738128304,0.12816985321601507
building02,02_1042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_02_base1042\fold_03_building02\v2_evaluated_trajectory.csv,10.910459777621616,0.005,0.2864788975654116,241.12502684027805,87.38261233648788,432.3156937412619,166.56403483666276,0.018892012969808553,0.1415582543449154,0.446248597896664
