method,sequence,run_count,official_ape_translation_rmse_m_mean,official_ape_translation_rmse_m_median,official_ape_translation_rmse_m_sd,official_ape_rotation_rmse_deg_mean,official_ape_rotation_rmse_deg_median,official_ape_rotation_rmse_deg_sd,official_rpe_50m_translation_rmse_m_mean,official_rpe_50m_translation_rmse_m_median,official_rpe_50m_translation_rmse_m_sd,official_rpe_50m_translation_pct_mean,official_rpe_50m_translation_pct_median,official_rpe_50m_translation_pct_sd,official_rpe_50m_rotation_rmse_deg_mean,official_rpe_50m_rotation_rmse_deg_median,official_rpe_50m_rotation_rmse_deg_sd,official_rpe_100m_translation_rmse_m_mean,official_rpe_100m_translation_rmse_m_median,official_rpe_100m_translation_rmse_m_sd,official_rpe_100m_translation_pct_mean,official_rpe_100m_translation_pct_median,official_rpe_100m_translation_pct_sd,official_rpe_100m_rotation_rmse_deg_mean,official_rpe_100m_rotation_rmse_deg_median,official_rpe_100m_rotation_rmse_deg_sd,official_rpe_150m_translation_rmse_m_mean,official_rpe_150m_translation_rmse_m_median,official_rpe_150m_translation_rmse_m_sd,official_rpe_150m_translation_pct_mean,official_rpe_150m_translation_pct_median,official_rpe_150m_translation_pct_sd,official_rpe_150m_rotation_rmse_deg_mean,official_rpe_150m_rotation_rmse_deg_median,official_rpe_150m_rotation_rmse_deg_sd,official_rpe_200m_translation_rmse_m_mean,official_rpe_200m_translation_rmse_m_median,official_rpe_200m_translation_rmse_m_sd,official_rpe_200m_translation_pct_mean,official_rpe_200m_translation_pct_median,official_rpe_200m_translation_pct_sd,official_rpe_200m_rotation_rmse_deg_mean,official_rpe_200m_rotation_rmse_deg_median,official_rpe_200m_rotation_rmse_deg_sd,official_rpe_250m_translation_rmse_m_mean,official_rpe_250m_translation_rmse_m_median,official_rpe_250m_translation_rmse_m_sd,official_rpe_250m_translation_pct_mean,official_rpe_250m_translation_pct_median,official_rpe_250m_translation_pct_sd,official_rpe_250m_rotation_rmse_deg_mean,official_rpe_250m_rotation_rmse_deg_median,official_rpe_250m_rotation_rmse_deg_sd,official_rpe_300m_translation_rmse_m_mean,official_rpe_300m_translation_rmse_m_median,official_rpe_300m_translation_rmse_m_sd,official_rpe_300m_translation_pct_mean,official_rpe_300m_translation_pct_median,official_rpe_300m_translation_pct_sd,official_rpe_300m_rotation_rmse_deg_mean,official_rpe_300m_rotation_rmse_deg_median,official_rpe_300m_rotation_rmse_deg_sd
Twin V2,building00,3,1.4706701739117367,1.4897024115973767,0.05006955569440634,2.663762079352191,2.6497261363772466,0.061405417282098966,1.7127860556324792,1.6766581495492368,0.07728770760259168,3.4255721112649584,3.353316299098474,0.15457541520518328,3.4689769644204342,3.454539025656978,0.039716430617295025,2.854539953270287,2.739241958059326,0.20482738535207065,2.854539953270287,2.739241958059326,0.20482738535207065,3.675174713863236,3.656065627041638,0.08602074040372572,3.6252938850606866,3.527303253819002,0.22309917434327362,2.416862590040458,2.3515355025460014,0.14873278289551564,3.4222071570232075,3.3935696853741635,0.09240489888208667,4.100459834552677,4.0218003008361825,0.19024853580733841,2.0502299172763383,2.0109001504180912,0.09512426790366921,3.3532964930869995,3.336547628745405,0.04218168801767198,4.079535388749284,4.037661726951978,0.1818014870509603,1.6318141554997132,1.615064690780791,0.07272059482038416,3.6872389163783197,3.653748869496989,0.0697815913753917,4.256945941158979,4.239108524470115,0.06711819403075982,1.4189819803863264,1.4130361748233717,0.022372731343586638,3.896410034028069,3.8751862941335644,0.06485465267565041
Twin V2,building01,3,1.5481419956287465,1.5468654771835213,0.007102620242917664,3.404754258247843,3.4059370497831956,0.01079292083397638,1.9297969672482926,1.9290469021324457,0.027623698959387884,3.8595939344965853,3.8580938042648913,0.05524739791877577,4.422055274094332,4.432448365019038,0.02906470881603182,2.8621437544863215,2.8642100489416182,0.0445000042815551,2.8621437544863215,2.864210048941618,0.044500004281555317,4.397938675307977,4.407395296005808,0.0416046003894344,3.4239043242431713,3.4311287661669962,0.029247339898885966,2.282602882828781,2.287419177444664,0.019498226599257165,4.218397814686497,4.223851726569822,0.03234875510191291,3.6133651195017724,3.6135409286965667,0.005694797162683277,1.8066825597508862,1.8067704643482834,0.002847398581341526,4.31228947701236,4.321579160307863,0.019880530525276725,3.3378708936365693,3.3375973202557097,0.00877061860234217,1.3351483574546277,1.3350389281022839,0.003508247440936868,4.371677952658472,4.361086244718575,0.0234122403537925,3.2314909334599604,3.2351326222982926,0.00795683701127214,1.0771636444866537,1.0783775407660976,0.0026522790037574913,4.261053284245896,4.254285492057597,0.018387618021309213
Twin V2,building02,3,1.6590869354961963,1.6531247308526866,0.079334520632225,1.8733388710342451,1.9448234262426707,0.15023613392881333,1.4506363284064419,1.5087596347441257,0.12288072406642614,2.9012726568128837,3.0175192694882513,0.24576144813285253,1.9915833373311695,2.0434069637322367,0.10132586110306618,2.7209777730661084,2.8732795691292767,0.2668793419559605,2.720977773066109,2.8732795691292767,0.2668793419559607,2.3043935446095634,2.359972320952679,0.1260515453426615,3.858701974589987,4.0541558967388385,0.4329349158530675,2.572467983059991,2.7027705978258925,0.28862327723537834,2.5460344916088977,2.625720992507033,0.16885401189322743,4.680119021297448,4.894544267132565,0.5192812433687815,2.340059510648724,2.4472721335662824,0.2596406216843907,2.6347236886770826,2.6929059044558197,0.12878541441719674,5.203918194290217,5.365967890112865,0.5290657618373705,2.0815672777160863,2.1463871560451455,0.21162630473494817,2.6850576928863332,2.7524490953202214,0.12694799618620692,5.385199105748786,5.471726834315025,0.5114635734680658,1.7950663685829287,1.823908944771675,0.1704878578226885,2.918392220882394,2.9850428087958227,0.1654004762502638
Twin V2,parking00,3,0.8849066341848394,0.8789568660060482,0.10588913068909961,2.153829651825027,2.1464771326313095,0.07570633888342665,1.4754346901811957,1.4711082448863861,0.1502349311763265,2.9508693803623913,2.9422164897727727,0.300469862352653,2.721522004533204,2.7216036918247863,0.0681866670104913,2.0499031416479094,2.0524652205560043,0.21683264046952772,2.0499031416479094,2.0524652205560043,0.21683264046952772,3.071124693960506,3.0729503799604165,0.11620887759137867,2.2718319923165224,2.2724778645919614,0.1835523783118092,1.5145546615443484,1.5149852430613076,0.1223682522078728,3.0222489132465413,3.0259643069399806,0.16510659825069673,2.601646092525239,2.589857106581545,0.14787991043985355,1.3008230462626196,1.2949285532907726,0.07393995521992677,2.9465563102242514,2.9548251684294677,0.1728079786064034,2.4586540597891897,2.442208050274217,0.22642589948629188,0.983461623915676,0.9768832201096869,0.09057035979451673,3.072173158617191,3.0889528428231983,0.16893055674424884,2.2543512023739485,2.2536223649930527,0.28516573889582564,0.7514504007913162,0.7512074549976842,0.09505524629860848,3.050715966693042,3.0653751344547184,0.1904205366727621
Twin V2,parking01,3,1.9196212887231707,1.6029091744314288,0.7092658455787115,4.455686623866224,4.1699793585186855,0.9178349067145769,1.732589956290302,1.7308043508896318,0.027386670264996648,3.465179912580604,3.4616087017792636,0.054773340529993296,3.674228120131703,3.661624665425159,0.03613901785585,2.6633548970707874,2.6773556036831816,0.07156460654336579,2.6633548970707874,2.6773556036831816,0.07156460654336579,3.9817630849531547,3.9441266202567054,0.09959325158880569,3.29886260354724,3.36008329596873,0.1060608184351351,2.1992417356981595,2.24005553064582,0.07070721229008993,3.932213598311875,3.82767929362633,0.2251385313419792,3.6138558127102347,3.632133492091163,0.16891285201955658,1.8069279063551174,1.8160667460455815,0.08445642600977829,4.251010217414393,4.073944037551425,0.3531377113805076,3.9462923725012975,3.8866015057237533,0.2987258485122758,1.5785169490005189,1.5546406022895012,0.1194903394049102,3.837999517313447,3.5365673558403055,0.5696700710528477,4.281398394298654,4.1248291811626,0.4659281080429037,1.4271327980995512,1.3749430603875332,0.15530936934763453,4.176773429515205,3.791418891017805,0.7268020962195675
Twin V2,parking02,3,5.747199631918071,5.088473780060718,2.1890406486667597,8.898550370649259,7.800570582117505,3.4293586021912406,0.7383072204657237,0.6975256855504886,0.08085980258292316,1.4766144409314474,1.395051371100977,0.16171960516584633,2.096218772167956,1.9530112404835431,0.27057740617686865,1.51144719767235,1.3345325135881785,0.4053253471581878,1.51144719767235,1.3345325135881785,0.4053253471581878,2.9960116021298546,2.7107701961003334,0.6783606702079709,1.9978213143431203,1.8160588311432164,0.6213828441538684,1.331880876228747,1.210705887428811,0.41425522943591236,3.721727890396162,3.2978848005262584,1.1351912117877536,2.694543292336064,2.3737124850312403,0.8568183296831486,1.347271646168032,1.1868562425156202,0.4284091648415742,4.823060402434074,4.25423139597596,1.5464319921488636,3.4930808978735306,3.0474465637545913,1.2100827825292153,1.3972323591494122,1.2189786255018367,0.48403311301168617,5.904888206323565,5.231187847151135,1.9703811053769573,4.21298714355094,3.704342781163552,1.5041006813966247,1.4043290478503134,1.2347809270545174,0.5013668937988747,6.820767041074302,6.040271763643444,2.42603768079416
Twin V2,playground00,3,0.20830856403848866,0.20834547991820496,8.585505039580955e-05,1.1428664015121421,1.1450806870590124,0.007025998616618849,0.9100622741170467,0.9102944613159142,0.00698545173148075,1.8201245482340933,1.8205889226318284,0.0139709034629615,1.0703564556058043,1.0706536324491052,0.0016803999768448946,1.5830425216969755,1.5833064598132653,0.013777502441717432,1.5830425216969755,1.5833064598132653,0.013777502441717543,1.5517635590829908,1.5522349145213088,0.00172522073324921,1.8742179384076338,1.8751491498756343,0.02017153136412878,1.2494786256050892,1.250099433250423,0.013447687576085856,1.8774542544779103,1.877336526117864,0.0008906660972383715,1.7660266510827674,1.7684737133801685,0.02852376748942938,0.8830133255413837,0.8842368566900842,0.014261883744714744,2.100892433698863,2.101476571358487,0.001188888371676466,1.4042115380836009,1.4094629207180183,0.03438995626774695,0.5616846152334403,0.5637851682872073,0.013755982507098797,1.9848859932738296,1.985500639553309,0.001143061770344671,1.1906404199776779,1.194894864688151,0.027594573617255792,0.3968801399925594,0.3982982882293837,0.009198191205751941,1.636634006773587,1.6371095007079661,0.0014720140006148417
Twin V2,street00,3,0.7513494874687415,0.7514893368723449,0.00027020274972032086,1.6862349378651613,1.6853102311209889,0.0019866320245587373,1.0140339993089487,1.0127513241677177,0.003177335469118667,2.0280679986178973,2.0255026483354355,0.006354670938237334,2.0785053941298037,2.077640369092297,0.0020347944415004546,1.7988652819423336,1.796861108887603,0.005419683216380927,1.7988652819423336,1.7968611088876032,0.00541968321638076,2.408467875478783,2.40855559510333,0.000934572536190514,2.1540477810101977,2.150674399627881,0.00880167467462343,1.4360318540067987,1.4337829330852538,0.005867783116415719,2.457314470420634,2.4565537289347246,0.0016028283019276287,2.4500826573362247,2.4460343342695325,0.009072072664733926,1.2250413286681123,1.2230171671347663,0.004536036332366963,2.56931073327147,2.5690888849836613,0.0004760449293037569,2.859941139970268,2.855923930317991,0.008632017943759618,1.1439764559881072,1.1423695721271963,0.003452807177503979,2.5766770264772796,2.5763556065325313,0.0011472051096282497,3.1124503292336687,3.108643316861334,0.007388040409383854,1.0374834430778896,1.036214438953778,0.0024626801364613276,2.587098599424662,2.5872526150637594,0.0005196105609303872
Twin V2,street01,3,1.2646354950042302,1.2647188049075242,0.00018238910144367665,1.9641036150386295,1.9669351429663122,0.0062712150156189,1.088923109133736,1.0875135768128419,0.00789254873253396,2.177846218267472,2.1750271536256838,0.01578509746506792,2.41855582187078,2.419160873405519,0.0018998349088557888,2.072011966709235,2.0704617409374095,0.014355219476451131,2.072011966709235,2.0704617409374095,0.014355219476451131,2.538383111684176,2.5397328299803816,0.0037517285659375596,3.002195326054198,2.999175192725067,0.01935900115199564,2.0014635507027987,1.9994501284833779,0.01290600076799711,2.531568338391017,2.531572644079927,0.0027346498425920643,3.653261946356853,3.651860531336716,0.02331154068537246,1.8266309731784267,1.8259302656683583,0.011655770342686222,2.6690237525036893,2.669526597406077,0.0018693436985909972,4.218286274944747,4.216581846124427,0.028938992075893098,1.6873145099778988,1.6866327384497708,0.011575596830357334,2.696679009966361,2.697933379208531,0.0026151575365222454,4.661032701363558,4.662552219198565,0.034785570203901175,1.553677567121186,1.5541840730661882,0.011595190067966946,2.661223137091279,2.6595382569570236,0.004491167171515219
Twin V2,street02,3,0.8955956568765077,0.8954648584688211,0.0014654463048063063,1.8701624848392207,1.8681453954256593,0.009286552553316249,1.045936846933209,1.041972621544165,0.011890410185853767,2.091873693866418,2.08394524308833,0.023780820371707534,2.423942874271653,2.4254939164525533,0.004312508145394076,2.0586313074249976,2.051541740762808,0.020799125720392872,2.0586313074249976,2.051541740762808,0.020799125720392872,2.4100457081503603,2.4103746137333424,0.0028494243880494196,2.8143290035531288,2.807217051626812,0.03004993365226882,1.8762193357020858,1.8714780344178745,0.02003328910151245,2.5256633466400964,2.5268415725688262,0.006024242478822665,3.341567647870036,3.3350640363580935,0.03844248108843519,1.6707838239350181,1.6675320181790467,0.019221240544217713,2.5440620732697474,2.543179056174682,0.004728685788509633,3.553363416716021,3.5431412853880246,0.04911142863800426,1.4213453666864087,1.41725651415521,0.019644571455201685,2.3851429802193866,2.387018156508226,0.006009472775671701,3.7633137866372657,3.7477601172800465,0.05307427516146043,1.2544379288790886,1.2492533724266823,0.01769142505382002,2.4428676940932177,2.4456070102047334,0.005948708606606815
