sequence,replicate,condition,aoi_setting,service,original_aoi_limit_s,aoi_limit_s,rate_hz,delay_ms,jitter_sd_ms,loss_probability,burst_period_s,burst_duration_s,coverage,physical_satisfaction,freshness_satisfaction,joint_satisfaction,eligible_samples,observable_samples,mean_aoi_s,max_aoi_s,qualified
building00,replicate_01_base42,stress_1hz,aoi_0.5s,local_10s,1.5,0.5,1.0,300.0,100.0,0.1,,0.0,1.0,0.3349125678353002,0.229735550004307,0.09475407011801189,11609,11609,0.8954776466530947,4.299999999999272,0
building00,replicate_01_base42,stress_1hz,aoi_0.5s,global,1.0,0.5,1.0,300.0,100.0,0.1,,0.0,1.0,0.17593304295840806,0.22990861730292936,0.04065248953796225,11709,11709,0.894662225638034,4.299999999999272,0
building00,replicate_01_base42,stress_1hz,aoi_0.3s,local_1s,0.6,0.3,1.0,300.0,100.0,0.1,,0.0,1.0,0.3723395161979656,0.06402256603128473,0.017266433028463972,11699,11699,0.894529446960915,4.299999999999272,0
building00,replicate_01_base42,stress_1hz,aoi_0.3s,local_5s,1.0,0.3,1.0,300.0,100.0,0.1,,0.0,1.0,0.26468822368985334,0.06389913371644224,0.015181404923235269,11659,11659,0.8950253023411749,4.299999999999272,0
building00,replicate_01_base42,stress_1hz,aoi_0.3s,local_10s,1.5,0.3,1.0,300.0,100.0,0.1,,0.0,1.0,0.3349125678353002,0.06382978723404255,0.015677491601343786,11609,11609,0.8954776466530947,4.299999999999272,0
building00,replicate_01_base42,stress_1hz,aoi_0.3s,global,1.0,0.3,1.0,300.0,100.0,0.1,,0.0,1.0,0.17593304295840806,0.0639678879494406,0.008455034588777863,11709,11709,0.894662225638034,4.299999999999272,0
building00,replicate_01_base42,stress_1hz,aoi_0.2s,local_1s,0.6,0.2,1.0,300.0,100.0,0.1,,0.0,1.0,0.3723395161979656,0.01795025215830413,0.001965979998290452,11699,11699,0.894529446960915,4.299999999999272,0
building00,replicate_01_base42,stress_1hz,aoi_0.2s,local_5s,1.0,0.2,1.0,300.0,100.0,0.1,,0.0,1.0,0.26468822368985334,0.01792606570031735,0.0015438716871086714,11659,11659,0.8950253023411749,4.299999999999272,0
building00,replicate_01_base42,stress_1hz,aoi_0.2s,local_10s,1.5,0.2,1.0,300.0,100.0,0.1,,0.0,1.0,0.3349125678353002,0.01791713325867861,0.0017228012748729434,11609,11609,0.8954776466530947,4.299999999999272,0
building00,replicate_01_base42,stress_1hz,aoi_0.2s,global,1.0,0.2,1.0,300.0,100.0,0.1,,0.0,1.0,0.17593304295840806,0.017934921854983348,0.0012810658467845247,11709,11709,0.894662225638034,4.299999999999272,0
building00,replicate_01_base42,burst_5hz_1s_every_8s,original,local_1s,0.6,0.6,5.0,50.0,20.0,0.01,8.0,1.0,1.0,0.6400547055303872,0.9120437644243098,0.6396273185742372,11699,11699,0.22686554406364015,1.3999999999996362,0
building00,replicate_01_base42,burst_5hz_1s_every_8s,original,local_5s,1.0,1.0,5.0,50.0,20.0,0.01,8.0,1.0,1.0,0.558881550733339,0.9748691997598422,0.558881550733339,11659,11659,0.22661463247281263,1.3999999999996362,0
building00,replicate_01_base42,burst_5hz_1s_every_8s,original,local_10s,1.5,1.5,5.0,50.0,20.0,0.01,8.0,1.0,1.0,0.6312343871134465,1.0,0.6312343871134465,11609,11609,0.22694461193905782,1.3999999999996362,0
building00,replicate_01_base42,burst_5hz_1s_every_8s,original,global,1.0,1.0,5.0,50.0,20.0,0.01,8.0,1.0,1.0,0.06243060893329917,0.9748057050132377,0.05824579383380306,11709,11709,0.2267998975147772,1.3999999999996362,0
building00,replicate_01_base42,burst_5hz_1s_every_8s,aoi_0.5s,local_1s,0.6,0.5,5.0,50.0,20.0,0.01,8.0,1.0,1.0,0.6400547055303872,0.9119582870330798,0.6396273185742372,11699,11699,0.22686554406364015,1.3999999999996362,0
building00,replicate_01_base42,burst_5hz_1s_every_8s,aoi_0.5s,local_5s,1.0,0.5,5.0,50.0,20.0,0.01,8.0,1.0,1.0,0.558881550733339,0.9122566257826572,0.55845269748692,11659,11659,0.22661463247281263,1.3999999999996362,0
building00,replicate_01_base42,burst_5hz_1s_every_8s,aoi_0.5s,local_10s,1.5,0.5,5.0,50.0,20.0,0.01,8.0,1.0,1.0,0.6312343871134465,0.911878714790249,0.628650185201137,11609,11609,0.22694461193905782,1.3999999999996362,0
building00,replicate_01_base42,burst_5hz_1s_every_8s,aoi_0.5s,global,1.0,0.5,5.0,50.0,20.0,0.01,8.0,1.0,1.0,0.06243060893329917,0.912033478520796,0.04543513536595781,11709,11709,0.2267998975147772,1.3999999999996362,0
building00,replicate_01_base42,burst_5hz_1s_every_8s,aoi_0.3s,local_1s,0.6,0.3,5.0,50.0,20.0,0.01,8.0,1.0,1.0,0.6400547055303872,0.8687067270706899,0.639199931618087,11699,11699,0.22686554406364015,1.3999999999996362,0
building00,replicate_01_base42,burst_5hz_1s_every_8s,aoi_0.3s,local_5s,1.0,0.3,5.0,50.0,20.0,0.01,8.0,1.0,1.0,0.558881550733339,0.8691139891928982,0.5559653486576893,11659,11659,0.22661463247281263,1.3999999999996362,0
building00,replicate_01_base42,burst_5hz_1s_every_8s,aoi_0.3s,local_10s,1.5,0.3,5.0,50.0,20.0,0.01,8.0,1.0,1.0,0.6312343871134465,0.8685502627271944,0.6055646481178396,11609,11609,0.22694461193905782,1.3999999999996362,0
building00,replicate_01_base42,burst_5hz_1s_every_8s,aoi_0.3s,global,1.0,0.3,5.0,50.0,20.0,0.01,8.0,1.0,1.0,0.06243060893329917,0.8688188572892647,0.0378341446750363,11709,11709,0.2267998975147772,1.3999999999996362,0
