sequence,method,target_acceptance,threshold,inner_acceptance,accepted,conditions,false_qualified,achieved_acceptance
playground00,aoi_only,0.5,0.6,0.4875,39,80,0,0.4875
playground00,kinematic_staleness,0.1,-0.5796267680609539,0.1,12,80,0,0.15
playground00,kinematic_staleness,0.2,-1.423965987407668,0.1986111111111111,25,80,4,0.3125
playground00,kinematic_staleness,0.3,-2.1213386456943124,0.2986111111111111,32,80,5,0.4
playground00,kinematic_staleness,0.4,-3.042836498251346,0.4,41,80,5,0.5125
playground00,kinematic_staleness,0.5,-4.746553291543085,0.5,49,80,5,0.6125
playground00,motion_logistic,0.1,0.9968206655502335,0.1,0,80,0,0.0
playground00,motion_logistic,0.2,0.9701319871034864,0.2,11,80,0,0.1375
playground00,motion_logistic,0.3,0.8723777124962837,0.3,22,80,0,0.275
playground00,motion_logistic,0.4,0.7051507664502679,0.4,31,80,0,0.3875
playground00,motion_logistic,0.5,0.513411599622964,0.5,40,80,1,0.5
playground00,service_empirical,0.1,inf,0.0,0,80,0,0.0
playground00,service_empirical,0.2,1.0,0.23055555555555557,18,80,0,0.225
playground00,service_empirical,0.3,0.875,0.2833333333333333,22,80,0,0.275
playground00,service_empirical,0.4,0.5,0.39444444444444443,31,80,0,0.3875
playground00,service_empirical,0.5,0.375,0.49166666666666664,32,80,0,0.4
street00,aoi_only,0.1,1.2,0.1125,9,80,0,0.1125
street00,aoi_only,0.2,1.0,0.19722222222222222,15,80,0,0.1875
street00,aoi_only,0.3,0.9,0.2777777777777778,22,80,0,0.275
street00,aoi_only,0.4,0.7,0.4125,33,80,1,0.4125
street00,aoi_only,0.5,0.6,0.4875,39,80,1,0.4875
street00,kinematic_staleness,0.1,-0.48953646216966973,0.10138888888888889,7,80,0,0.0875
street00,kinematic_staleness,0.2,-1.3343214947784534,0.2,14,80,0,0.175
street00,kinematic_staleness,0.3,-2.033707736354121,0.3,26,80,0,0.325
street00,kinematic_staleness,0.4,-2.9251975439122417,0.39861111111111114,28,80,1,0.35
street00,kinematic_staleness,0.5,-4.640958752273948,0.5,43,80,5,0.5375
street00,motion_logistic,0.1,0.9932122078532238,0.1,0,80,0,0.0
street00,motion_logistic,0.2,0.9635486172982888,0.2,6,80,0,0.075
street00,motion_logistic,0.3,0.8827353134250665,0.3,11,80,0,0.1375
street00,motion_logistic,0.4,0.7399055096262604,0.4,17,80,0,0.2125
street00,motion_logistic,0.5,0.517823699254421,0.5,24,80,0,0.3
street00,service_empirical,0.1,inf,0.0,0,80,0,0.0
street00,service_empirical,0.2,1.0,0.23055555555555557,18,80,0,0.225
