aoi_limit_s,at_risk_fraction,heading_error_p95_deg,heading_tolerance_deg,horizon_s,log_file,minimum_normalized_margin,observable_fraction,physical_condition,policy,position_error_p95_m,position_tolerance_m,qualified_fraction,run_label,satisfied_observable_fraction,service_id,service_label,service_samples,trial,unobservable_fraction,wireless_condition,withdrawn_fraction
0.6,0.0,0.02596850000002395,2.0,1.0,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_contract_aware_trial4_20260916_113017.jsonl,-0.4798476838539975,0.014388489208633094,smooth_floor_mixed_motion,contract-aware,0.14798476838539976,0.1,0.0,smooth_floor_mixed_motion_wifi_baseline_contract_aware_trial4,0.0,local_1s_tight,Immediate motion,139,4,0.9856115107913669,wifi_baseline,0.014388489208633094
1.0,0.0,,5.0,5.0,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_contract_aware_trial4_20260916_113017.jsonl,,0.0,smooth_floor_mixed_motion,contract-aware,,0.2,0.0,smooth_floor_mixed_motion_wifi_baseline_contract_aware_trial4,,local_5s_moderate,Short prediction,139,4,1.0,wifi_baseline,0.0
1.5,0.0,,10.0,10.0,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_contract_aware_trial4_20260916_113017.jsonl,,0.0,smooth_floor_mixed_motion,contract-aware,,0.5,0.0,smooth_floor_mixed_motion_wifi_baseline_contract_aware_trial4,,local_10s_preview,Planning support,139,4,1.0,wifi_baseline,0.0
1.0,0.0,0.02491000000002425,5.0,0.0,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_contract_aware_trial4_20260916_113017.jsonl,-2.367401376346572,0.6690647482014388,smooth_floor_mixed_motion,contract-aware,2.955622041809692,1.0,0.0,smooth_floor_mixed_motion_wifi_baseline_contract_aware_trial4,0.0,global_state_tracking,Global asset tracking,139,4,0.33093525179856115,wifi_baseline,0.6690647482014388
0.6,0.0,98.87062351257383,2.0,1.0,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_contract_aware_trial5_20260916_113221.jsonl,-67.77713399999996,0.057971014492753624,smooth_floor_mixed_motion,contract-aware,0.3991409227302194,0.1,0.0,smooth_floor_mixed_motion_wifi_baseline_contract_aware_trial5,0.0,local_1s_tight,Immediate motion,138,5,0.9420289855072463,wifi_baseline,0.057971014492753624
1.0,0.0,136.2807748790786,5.0,5.0,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_contract_aware_trial5_20260916_113221.jsonl,-26.768898899999993,0.021739130434782608,smooth_floor_mixed_motion,contract-aware,1.6418397293876845,0.2,0.0,smooth_floor_mixed_motion_wifi_baseline_contract_aware_trial5,0.0,local_5s_moderate,Short prediction,138,5,0.9782608695652174,wifi_baseline,0.021739130434782608
1.5,0.0,105.88282332504221,10.0,10.0,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_contract_aware_trial5_20260916_113221.jsonl,-9.588320665004222,0.014492753623188406,smooth_floor_mixed_motion,contract-aware,0.6540536372970694,0.5,0.0,smooth_floor_mixed_motion_wifi_baseline_contract_aware_trial5,0.0,local_10s_preview,Planning support,138,5,0.9855072463768116,wifi_baseline,0.014492753623188406
1.0,0.014492753623188406,168.55066081977998,5.0,0.0,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_contract_aware_trial5_20260916_113221.jsonl,-32.71760920253588,0.7318840579710145,smooth_floor_mixed_motion,contract-aware,2.289966398735714,1.0,0.0,smooth_floor_mixed_motion_wifi_baseline_contract_aware_trial5,0.019801980198019802,global_state_tracking,Global asset tracking,138,5,0.26811594202898553,wifi_baseline,0.717391304347826
0.6,0.0,25.660076562500006,2.0,1.0,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_static_high_trial1_20260915_200644.jsonl,-16.100558125000006,0.043795620437956206,smooth_floor_mixed_motion,static-high,0.3707409896307119,0.1,0.0072992700729927005,smooth_floor_mixed_motion_wifi_baseline_static_high_trial1,0.16666666666666666,local_1s_tight,Immediate motion,137,1,0.9562043795620438,wifi_baseline,0.0364963503649635
1.0,0.0,,5.0,5.0,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_static_high_trial1_20260915_200644.jsonl,,0.0,smooth_floor_mixed_motion,static-high,,0.2,0.0,smooth_floor_mixed_motion_wifi_baseline_static_high_trial1,,local_5s_moderate,Short prediction,137,1,1.0,wifi_baseline,0.0
