actual_update_rate_hz,aoi_p50_s,aoi_p95_s,contract_at_risk_fraction,contract_observable_fraction,contract_qualified_fraction,contract_sample_count,contract_unobservable_fraction,contract_withdrawn_fraction,duration_s,economy_fraction,gps_agreement_p95_m,gps_heading_agreement_p95_deg,gps_valid_fraction,high_fraction,latency_p50_ms,latency_p95_ms,log_file,normal_fraction,packet_loss_total,payload_bytes_per_s,payload_bytes_total,physical_condition,policy,queue_depth_max,queue_depth_mean,queue_depth_p95,records,request_count,requested_update_rate_mean_hz,requested_update_rate_p95_hz,run_label,stale_count,stale_fraction,trial,wireless_condition
1.4937504118797196,0.13495635986328125,0.15053834915161132,0.0,0.16058394160583941,0.0018248175182481751,548,0.8394160583941606,0.15875912408759124,91.04599999999937,0.0,2.2447235532884044,143.94592321302213,1.0,1.0,693.5453414916992,733.8144779205322,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_static_high_trial1_20260915_200644.jsonl,0.0,0,944.6323836302594,86005.0,smooth_floor_mixed_motion,static-high,0.0,0.0,0.0,137,137,10.0,10.0,smooth_floor_mixed_motion_wifi_baseline_static_high_trial1,1,0.0072992700729927005,1,wifi_baseline
1.4982010651444035,0.13522517681121826,0.14814161062240602,0.0,0.21739130434782608,0.0,552,0.782608695652174,0.21739130434782608,91.44300000000021,0.0,4.012514656000497,94.98303975496613,1.0,1.0,692.2479867935181,719.7342872619629,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_static_high_trial2_20260915_200900.jsonl,0.0,0,945.4523582997036,86455.0,smooth_floor_mixed_motion,static-high,0.0,0.0,0.0,138,138,10.0,10.0,smooth_floor_mixed_motion_wifi_baseline_static_high_trial2,1,0.007246376811594203,2,wifi_baseline
1.4939473163872896,0.13437128067016602,0.1487483501434326,0.0018248175182481751,0.2572992700729927,0.0036496350364963502,548,0.7427007299270073,0.2518248175182482,91.03399999999965,0.0,6.879132418023293,96.10545227710338,1.0,1.0,692.6078796386719,730.6206703186035,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_static_high_trial3_20260915_201115.jsonl,0.0,0,942.85651514819,85832.0,smooth_floor_mixed_motion,static-high,0.0,0.0,0.0,137,137,10.0,10.0,smooth_floor_mixed_motion_wifi_baseline_static_high_trial3,1,0.0072992700729927005,3,wifi_baseline
1.4948504599962584,0.13531088829040527,0.15043878555297843,0.0,0.2518248175182482,0.0018248175182481751,548,0.7481751824817519,0.25,90.97900000000027,0.0,3.211983930114013,159.12588555579106,1.0,1.0,693.6299800872803,724.0945339202881,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_static_high_trial4_20260915_201320.jsonl,0.0,0,943.5584035876383,85844.0,smooth_floor_mixed_motion,static-high,0.0,0.0,0.0,137,137,10.0,10.0,smooth_floor_mixed_motion_wifi_baseline_static_high_trial4,1,0.0072992700729927005,4,wifi_baseline
1.4857369255150623,0.135634183883667,0.14805632829666138,0.0,0.28308823529411764,0.001838235294117647,544,0.7169117647058824,0.28125,90.86399999999958,0.0,8.820893184353167,149.74970253825234,1.0,1.0,694.2757368087769,734.0489029884338,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_static_high_trial5_20260915_201543.jsonl,0.0,0,937.5440218348344,85189.0,smooth_floor_mixed_motion,static-high,0.0,0.0,0.0,136,136,10.0,10.0,smooth_floor_mixed_motion_wifi_baseline_static_high_trial5,1,0.007352941176470588,5,wifi_baseline
1.3883470638180402,0.039408326148986816,0.16769845485687254,0.0,0.13729508196721313,0.0,488,0.8627049180327869,0.13729508196721313,87.15400000000182,1.0,1.8767474071141261,157.31782079311066,1.0,0.0,703.312873840332,986.3916277885432,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_static_low_trial1_20260915_193833.jsonl,0.0,3,866.512150905276,75520.0,smooth_floor_mixed_motion,static-low,0.0,0.0,0.0,122,122,2.0,2.0,smooth_floor_mixed_motion_wifi_baseline_static_low_trial1,1,0.00819672131147541,1,wifi_baseline
1.4270424545130158,0.02498483657836914,0.19534044265747066,0.001937984496124031,0.25193798449612403,0.0,516,0.748062015503876,0.25,89.69600000000037,1.0,4.395320372384358,174.74130276273334,1.0,0.0,704.1707038879395,824.8128414154053,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_static_low_trial2_20260915_194109.jsonl,0.0,1,894.0420977524045,80192.0,smooth_floor_mixed_motion,static-low,0.0,0.0,0.0,129,129,2.0,2.0,smooth_floor_mixed_motion_wifi_baseline_static_low_trial2,1,0.007751937984496124,2,wifi_baseline
1.4861125345905584,0.13538861274719238,0.15187764167785645,0.0,0.16666666666666666,0.0,468,0.8333333333333334,0.16666666666666666,78.05599999999959,1.0,2.274545450935489,120.4639011041831,1.0,0.0,694.2720413208008,725.6702899932861,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_static_low_trial3_20260915_195930.jsonl,0.0,1,941.2601209388182,73471.0,smooth_floor_mixed_motion,static-low,0.0,0.0,0.0,117,117,2.0,2.0,smooth_floor_mixed_motion_wifi_baseline_static_low_trial3,0,0.0,3,wifi_baseline
1.4733053968867404,0.13538813591003418,0.15395290851593016,0.0,0.2073170731707317,0.006097560975609756,492,0.7926829268292683,0.20121951219512196,82.80699999999979,1.0,1.7422582413059347,169.40134059012857,1.0,0.0,695.9719657897949,741.0114288330077,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_static_low_trial4_20260915_200142.jsonl,0.0,1,930.0179936478823,77012.0,smooth_floor_mixed_motion,static-low,0.0,0.0,0.0,123,123,2.0,2.0,smooth_floor_mixed_motion_wifi_baseline_static_low_trial4,1,0.008130081300813009,4,wifi_baseline
1.5001333451862355,0.1343017816543579,0.1471216082572937,0.0,0.25735294117647056,0.001838235294117647,544,0.7426470588235294,0.2555147058823529,89.99200000000019,1.0,4.3467690743369,167.9225830419468,1.0,0.0,691.2745237350464,719.9717164039612,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_static_low_trial5_20260915_200410.jsonl,0.0,0,943.7838919015004,84933.0,smooth_floor_mixed_motion,static-low,0.0,0.0,0.0,136,136,2.0,2.0,smooth_floor_mixed_motion_wifi_baseline_static_low_trial5,1,0.007352941176470588,5,wifi_baseline
