sequence,base_seed,duration_s,n_samples,ATE_m,heading_MAE_deg,RPE1_m,RPE5_m,RPE10_m,Dp_p95_m,Dp_max_m,Dtheta_p95_deg,Dtheta_max_deg,persistent_signed_yaw_residual_radps,persistent_abs_yaw_residual_deg_per_min,Iomega_final_deg,Iomega_p95_abs_deg,Iomega_max_abs_deg,prediction_speed_residual_signed_mean_mps,prediction_speed_residual_rmse_mps,prediction_speed_residual_p95_abs_mps,prediction_yaw_residual_p95_abs_radps,speed_mean_mps,speed_abs_mean_mps,speed_p95_abs_mps,accel_abs_mean_mps2,accel_p95_abs_mps2,wheel_imu_yaw_disagreement_signed_mean_radps,wheel_imu_yaw_disagreement_abs_mean_radps,wheel_imu_yaw_disagreement_rms_radps,wheel_imu_yaw_disagreement_p95_abs_radps,normalized_yaw_disagreement_abs_mean,curvature_abs_mean_radpm,curvature_p95_abs_radpm,turning_intensity_abs_imu_yaw_mean_radps,lateral_motion_proxy_abs_mean_mps,wheel_odo_forward_residual_abs_mean_mps,sensor_yaw_residual_signed_mean_radps,sensor_yaw_residual_p95_abs_radps
parking00,1042,1140.7999999999884,11409,2.219061648853487,0.6930853829346487,0.16457624029580464,0.38925151826795423,0.5540092891795476,3.433305629975236,6.44235270367529,2.9985644979457273,5.0148547072868155,-0.0003193955315431313,1.0980009571655387,-20.87848820171809,19.641297211033002,21.44495985876447,0.0032414116577754483,0.059938459147423045,0.09359255954623212,0.05909465104341516,1.4058142130973779,1.4058378308166442,1.6864418671843964,0.3677248982931428,0.8773512509135011,-0.006545163360441953,0.03561180713830243,0.0758533659600301,0.10747574052761705,0.3011515579157526,0.05326745136271848,0.2635485016336505,0.07365791531875504,,0.00038465040430751525,0.000406737040690428,0.07815371129349914
parking00,2042,1140.7999999999884,11409,2.1124303860682003,0.6128394562659978,0.1340196422218292,0.31926067054746327,0.4536495655880998,3.1164210459326944,5.390619798168304,2.512362119152655,4.252847663043747,-0.00032134349784740846,1.1046975720376655,-21.005824333518852,19.472952969681348,21.351011317383513,0.003882054156267748,0.06012356412408915,0.0949216589797288,0.059166732989251604,1.4058142130973779,1.4058378308166442,1.6864418671843964,0.3677248982931428,0.8773512509135011,-0.006545163360441953,0.03561180713830243,0.0758533659600301,0.10747574052761705,0.3011515579157526,0.05326745136271848,0.2635485016336505,0.07365791531875504,,0.00038465040430751525,0.000406737040690428,0.07815371129349914
parking01,42,1059.7999999999884,10599,2.5252681430262034,2.1709432517739127,0.02352259418825624,0.08680527362951869,0.16630556387535608,4.119537622902584,4.5991956062202215,3.7474933247224005,4.536010742897903,3.7904301326775524e-05,0.13030538948498185,2.3018447053861837,3.742388891314295,4.45413493914851,-0.007774216788285351,0.058408561981693405,0.06957529834471636,0.05594530776143074,1.172120649515098,1.1721437915106758,1.4582506217585691,0.3410182913127031,0.8662134580069356,-0.005989919573003393,0.029455417315868974,0.06247240970172585,0.09162575886261971,0.28556381300688305,0.06764348619847928,0.3546687347871461,0.07274373757235253,,0.00037220675348604903,0.0007447162357809571,0.07375721987077773
parking01,1042,1059.7999999999884,10599,3.155423994218248,4.360326965579454,0.02234336084547514,0.07890375548428061,0.14639621145153522,6.234871200170218,7.134652107313746,7.29440981425668,8.394186196730843,0.00012927962737481995,0.4444306215360675,7.850866929891626,7.083535208190814,8.161554668527325,0.0007393155323526651,0.05743834461588041,0.06802427414804701,0.054488388448953755,1.172120649515098,1.1721437915106758,1.4582506217585691,0.3410182913127031,0.8662134580069356,-0.005989919573003393,0.029455417315868974,0.06247240970172585,0.09162575886261971,0.28556381300688305,0.06764348619847928,0.3546687347871461,0.07274373757235253,,0.00037220675348604903,0.0007447162357809571,0.07375721987077773
parking01,2042,1059.7999999999884,10599,6.532449121949103,8.20105879837242,0.022273805553107155,0.07880073532515738,0.14829758897278167,12.933613557358873,14.458465177962594,13.353816397882332,14.393231382230764,0.0002293333411904225,0.7883899531106956,13.926908522511065,13.187651807517074,14.187202144754202,-0.0026668449522648336,0.05768604243017785,0.06746794767677779,0.05448437407612804,1.172120649515098,1.1721437915106758,1.4582506217585691,0.3410182913127031,0.8662134580069356,-0.005989919573003393,0.029455417315868974,0.06247240970172585,0.09162575886261971,0.28556381300688305,0.06764348619847928,0.3546687347871461,0.07274373757235253,,0.00037220675348604903,0.0007447162357809571,0.07375721987077773
parking02,42,1256.7999999999884,12569,10.19597897348743,14.91317020007973,0.018778197070420295,0.05226189901332279,0.09023346923699346,20.821614866247142,23.57073126928004,27.449335230609616,29.905310051027243,0.00040115727801129543,1.3790771370602068,28.889367561197812,27.35801714475338,29.30240126250216,-0.0036982615705534157,0.05520594608532446,0.06333789451746263,0.051310420781373954,1.164112195422997,1.1641606670530733,1.472297877741102,0.3282934902728626,0.8635480511216633,-0.004819304663006876,0.02776233045678489,0.05519755268653787,0.08547413105362704,0.27247335002376644,0.06291525885701818,0.30972399560603825,0.07072102514584282,,0.0003036495364052424,0.0010008593198081624,0.06908367255603162
parking02,1042,1256.7999999999884,12569,15.731748757366942,23.301228486905764,0.020028546519311553,0.06073516611259912,0.11102762236987838,30.166542173644864,34.74462693122833,42.78449486571535,45.683288589415085,0.0006211690774911611,2.135421990256699,44.73353166183114,42.68147868787222,45.06839347838952,0.006464911999748452,0.05489621171072344,0.06396296238526684,0.05032741799950568,1.164112195422997,1.1641606670530733,1.472297877741102,0.3282934902728626,0.8635480511216633,-0.004819304663006876,0.02776233045678489,0.05519755268653787,0.08547413105362704,0.27247335002376644,0.06291525885701818,0.30972399560603825,0.07072102514584282,,0.0003036495364052424,0.0010008593198081624,0.06908367255603162
parking02,2042,1256.7999999999884,12569,8.123354556704122,11.94486086725093,0.019136253970973814,0.05191168227012505,0.09015613675959656,16.046144185929705,18.369735562293002,21.012121899136954,22.920344118933215,0.000304199255814082,1.045760009350042,21.906929263809552,20.845083564406785,22.584648391010358,-0.0006459121770358613,0.05344974393646847,0.06085180994123194,0.04958984777331344,1.164112195422997,1.1641606670530733,1.472297877741102,0.3282934902728626,0.8635480511216633,-0.004819304663006876,0.02776233045678489,0.05519755268653787,0.08547413105362704,0.27247335002376644,0.06291525885701818,0.30972399560603825,0.07072102514584282,,0.0003036495364052424,0.0010008593198081624,0.06908367255603162
playground00,42,1326.2000000000407,13263,0.24220540666097784,0.2434511131616879,0.013538948482305926,0.043466950806240655,0.08114923801254346,0.3754711993913275,0.4316085919908532,0.5241362342287982,1.2105374731320497,-3.764892530859032e-05,0.12942747140312974,-2.860994255532677,4.260873827022893,5.485143444791503,-0.006329164688560902,0.04107725804720401,0.08083100616931915,0.059061149135232006,1.313512323896674,1.3135328734310314,1.5940018985597144,0.2538273766465511,0.6973175784323172,-0.005611572826868428,0.027460531855266847,0.041854288517605406,0.08002249315982526,0.31871404123645347,0.03698836069621366,0.18740791551009686,0.04787394352438545,,0.00024466213814388,0.00016972161124314265,0.0773603272610831
playground00,1042,1326.2000000000407,13263,0.24246348118972594,0.19909249320187963,0.013027792764117132,0.039905476460449577,0.07394488973552618,0.3799478973573984,0.43843426544555947,0.46835812482049416,1.2073952983563652,-0.00017938309962531492,0.6166736714703194,-13.631571508644862,14.05031843051942,15.097194752485974,-0.00896072682369427,0.041762967624229035,0.08246345464140171,0.05968048358336095,1.313512323896674,1.3135328734310314,1.5940018985597144,0.2538273766465511,0.6973175784323172,-0.005611572826868428,0.027460531855266847,0.041854288517605406,0.08002249315982526,0.31871404123645347,0.03698836069621366,0.18740791551009686,0.04787394352438545,,0.00024466213814388,0.00016972161124314265,0.0773603272610831
playground00,2042,1326.2000000000407,13263,0.24195222461695803,0.25765802807880406,0.013871915642684415,0.045841044931508916,0.0860991234475303,0.3714615432496076,0.4236174531211425,0.532337855794033,1.2097513975164196,4.8546840132352744e-05,0.16689174289680833,3.6891419769486866,3.680098527889423,4.7379759482286685,-0.005396592534947178,0.04021085034040614,0.07880403706803923,0.05812575817108149,1.313512323896674,1.3135328734310314,1.5940018985597144,0.2538273766465511,0.6973175784323172,-0.005611572826868428,0.027460531855266847,0.041854288517605406,0.08002249315982526,0.31871404123645347,0.03698836069621366,0.18740791551009686,0.04787394352438545,,0.00024466213814388,0.00016972161124314265,0.0773603272610831
street00,42,1373.699999999997,13738,0.29926559133304087,0.2191216407470396,0.01699816453771231,0.05838574104379986,0.09910086639325624,0.519262242815071,0.5907814717955318,0.6262928981448787,1.449266284975852,-0.0005224809455706278,1.7961571834320875,-41.12601231237746,38.59408373880905,41.12601231237746,0.001303847693285223,0.029479599812883037,0.056690495228394866,0.02902425599750116,1.2316260668829377,1.2316694054799524,1.4900131413143307,0.17995004979983883,0.49342011096197497,-0.003625606551552699,0.013896847220853943,0.019676480213805084,0.03886423685238487,0.216444442073171,0.0406402157121165,0.20117682682213556,0.04897551955440971,,0.00013748713968181664,0.00014093915606724184,0.04674609083447719
street00,1042,1373.699999999997,13738,0.2992909957389785,0.21958507469064892,0.017007839918608807,0.058100745686123556,0.09863503898271016,0.5196606173464888,0.5890743860493964,0.618614954582697,1.3840333611072106,-0.0005460127347790549,1.8770535157941495,-42.97826866913509,39.91383232815274,42.97826866913509,0.0039026905588789482,0.02940748222261091,0.056523808557540106,0.030341944657266143,1.2316260668829377,1.2316694054799524,1.4900131413143307,0.17995004979983883,0.49342011096197497,-0.003625606551552699,0.013896847220853943,0.019676480213805084,0.03886423685238487,0.216444442073171,0.0406402157121165,0.20117682682213556,0.04897551955440971,,0.00013748713968181664,0.00014093915606724184,0.04674609083447719
street00,2042,1373.699999999997,13738,0.29801476264941906,0.23701533887761173,0.017329148812103085,0.05995743193141574,0.10300134762510459,0.514665780304872,0.5870557752093308,0.6310555229851137,1.5960835374597326,-0.0002542593784764663,0.8740793572992578,-20.013503685460257,18.823988503936743,20.014833645104556,0.0016503402178969387,0.02913043612143714,0.05588828740583259,0.028041606023907675,1.2316260668829377,1.2316694054799524,1.4900131413143307,0.17995004979983883,0.49342011096197497,-0.003625606551552699,0.013896847220853943,0.019676480213805084,0.03886423685238487,0.216444442073171,0.0406402157121165,0.20117682682213556,0.04897551955440971,,0.00013748713968181664,0.00014093915606724184,0.04674609083447719
street01,42,1248.199999999997,12483,0.4002426342231739,0.3349248948540761,0.036400061541331685,0.09972963475332144,0.16591481794659135,0.7653032795476656,0.889001321817732,0.8526366117160167,3.161788710423607,-0.00022324299240117392,0.7674528762275024,-15.966857090842545,14.531547979288169,17.78423657411229,0.002763583131612798,0.03514078818976984,0.06651676222681997,0.12333884052932263,1.3491680609857444,1.3492273115090954,1.7988330224302849,0.3409450928273404,0.8954467812143142,-0.00632145784856129,0.034054600454486765,0.06014539659313108,0.113465235002677,0.36031191907017956,0.037657290375545306,0.2526455378931021,0.05275656419513802,,0.00044065440052444435,0.00044717943674472336,0.1396545948938008
street01,1042,1248.199999999997,12483,0.3998655668945393,0.300796186488926,0.03727960607714106,0.09953832376520447,0.1615682441542301,0.7582250710328895,0.9182844942920597,0.7247090487728952,2.9961037791722878,-0.0002893042943036205,0.994554903516487,-20.691714768864816,19.914025439952198,23.06807194776955,-6.359835566575456e-05,0.034582793570315615,0.06546165058389293,0.12226288709789519,1.3491680609857444,1.3492273115090954,1.7988330224302849,0.3409450928273404,0.8954467812143142,-0.00632145784856129,0.034054600454486765,0.06014539659313108,0.113465235002677,0.36031191907017956,0.037657290375545306,0.2526455378931021,0.05275656419513802,,0.00044065440052444435,0.00044717943674472336,0.1396545948938008
street01,2042,1248.199999999997,12483,0.4009917930894076,0.36728492588197176,0.03819239075648387,0.10296039757573033,0.17038846244499753,0.7590142831210779,0.9145150132226832,0.7760794518820207,3.3781279824789814,-7.321924169771396e-05,0.25170921170563815,-5.236810149840645,6.993162892216774,9.89532744702458,0.001612579699013848,0.03543236680512745,0.06697329562157388,0.12262807935476291,1.3491680609857444,1.3492273115090954,1.7988330224302849,0.3409450928273404,0.8954467812143142,-0.00632145784856129,0.034054600454486765,0.06014539659313108,0.113465235002677,0.36031191907017956,0.037657290375545306,0.2526455378931021,0.05275656419513802,,0.00044065440052444435,0.00044717943674472336,0.1396545948938008
street02,42,1379.7999999999884,13799,0.4711242804387216,0.48927803769145006,0.031854679532154984,0.09271865288538599,0.1569936515160053,0.8530813869456755,0.9540028398062179,1.086297756190821,3.468743000077941,0.00025513601220595916,0.8770930020719829,20.171677227159744,18.334182102041442,21.680491740295597,0.0029458060073485697,0.037404304662611944,0.063293557986617,0.13183065336197586,1.357487598333387,1.3575125206570402,1.7016636984355735,0.26888071878938147,0.7416433331430123,-0.0013668914140491913,0.020347855562037345,0.037261379339208846,0.06668436932073626,0.27191882372689735,0.04278516373687405,0.30303485600052016,0.057147800998414544,,0.0006016114026246274,0.00025830232280442194,0.15128813517735953
street02,1042,1379.7999999999884,13799,0.46661645586532,0.5357059440231648,0.03370084308907124,0.09776396030019546,0.16693892798823493,0.8541129908390444,0.9559379581774956,1.1586229825008565,4.416436811288188,0.0004022510159495872,1.3828371311256544,31.80294928918927,29.596128447451143,33.0011177828093,0.0027819603976137618,0.03732112010190321,0.06319397697225207,0.13171433042734845,1.357487598333387,1.3575125206570402,1.7016636984355735,0.26888071878938147,0.7416433331430123,-0.0013668914140491913,0.020347855562037345,0.037261379339208846,0.06668436932073626,0.27191882372689735,0.04278516373687405,0.30303485600052016,0.057147800998414544,,0.0006016114026246274,0.00025830232280442194,0.15128813517735953
street02,2042,1379.7999999999884,13799,0.45362553334197325,0.4809224015690553,0.03244037016199476,0.09384366487955087,0.15729938979580907,0.8498672052117121,0.9566627957984198,1.0937196612955769,3.0414344681273815,0.00017318571516892274,0.5953686330680444,13.692486280306893,12.434839141479229,15.499062500792604,0.000519902240924323,0.03706035760464698,0.06264384202659112,0.13206482809036954,1.357487598333387,1.3575125206570402,1.7016636984355735,0.26888071878938147,0.7416433331430123,-0.0013668914140491913,0.020347855562037345,0.037261379339208846,0.06668436932073626,0.27191882372689735,0.04278516373687405,0.30303485600052016,0.057147800998414544,,0.0006016114026246274,0.00025830232280442194,0.15128813517735953
