dataset,domain,subsystem,segment,component,unit,horizon_s,n_points,normalized_p95_error,scale,unit_id,semantics
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_4,Heat Pipe TC-06,degC,300,302,0.0572166042369084,193.69339839999992,4:Heat Pipe TC-06,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_4,Heat Pipe TC-06,degC,600,600,0.4503486759078482,193.69339839999992,4:Heat Pipe TC-06,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_4,Heat Pipe TC-07,degC,60,62,0.0005696301872251303,101.20897665000007,4:Heat Pipe TC-07,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_4,Heat Pipe TC-07,degC,300,302,0.022683283426549395,101.20897665000007,4:Heat Pipe TC-07,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_4,Heat Pipe TC-07,degC,600,600,0.10585748362794088,101.20897665000007,4:Heat Pipe TC-07,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_4,Heat Pipe TC-08,degC,60,62,0.005897843528641632,82.47154725000007,4:Heat Pipe TC-08,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_4,Heat Pipe TC-08,degC,300,302,0.13788671879125247,82.47154725000007,4:Heat Pipe TC-08,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_4,Heat Pipe TC-08,degC,600,600,0.9612065022258549,82.47154725000007,4:Heat Pipe TC-08,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_4,Heat Pipe TC-09,degC,60,62,0.0028976790309910654,108.34815115000004,4:Heat Pipe TC-09,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_4,Heat Pipe TC-09,degC,300,302,0.08557188261192601,108.34815115000004,4:Heat Pipe TC-09,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_4,Heat Pipe TC-09,degC,600,600,0.5607825370368951,108.34815115000004,4:Heat Pipe TC-09,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_4,Heat Pipe TC-10,degC,60,62,0.0025105030439913135,101.64759320000002,4:Heat Pipe TC-10,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_4,Heat Pipe TC-10,degC,300,302,0.10115871133920748,101.64759320000002,4:Heat Pipe TC-10,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_4,Heat Pipe TC-10,degC,600,600,0.7802327722105077,101.64759320000002,4:Heat Pipe TC-10,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_8,Heat Pipe TC-01,degC,60,62,0.003142626255040056,4.087781149999998,8:Heat Pipe TC-01,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_8,Heat Pipe TC-01,degC,300,302,0.003460466185771411,4.087781149999998,8:Heat Pipe TC-01,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_8,Heat Pipe TC-01,degC,600,600,0.003579596980089067,4.087781149999998,8:Heat Pipe TC-01,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_8,Heat Pipe TC-02,degC,60,62,0.0013279267555224709,4.6027229999999975,8:Heat Pipe TC-02,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_8,Heat Pipe TC-02,degC,300,302,0.0038496508265988233,4.6027229999999975,8:Heat Pipe TC-02,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_8,Heat Pipe TC-02,degC,600,600,0.00851858108607335,4.6027229999999975,8:Heat Pipe TC-02,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_8,Heat Pipe TC-03,degC,60,62,0.0008982572474884021,12.860793000000001,8:Heat Pipe TC-03,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_8,Heat Pipe TC-03,degC,300,302,0.0010972994032329196,12.860793000000001,8:Heat Pipe TC-03,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_8,Heat Pipe TC-03,degC,600,600,0.003123661433108776,12.860793000000001,8:Heat Pipe TC-03,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_8,Heat Pipe TC-04,degC,60,62,0.0002792257966578078,34.57984929999999,8:Heat Pipe TC-04,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_8,Heat Pipe TC-04,degC,300,302,0.0014832476668313267,34.57984929999999,8:Heat Pipe TC-04,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_8,Heat Pipe TC-04,degC,600,600,0.004921903208314514,34.57984929999999,8:Heat Pipe TC-04,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_8,Heat Pipe TC-05,degC,60,62,0.00013145627778865575,125.92503189999996,8:Heat Pipe TC-05,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_8,Heat Pipe TC-05,degC,300,302,0.00015245363181044238,125.92503189999996,8:Heat Pipe TC-05,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_8,Heat Pipe TC-05,degC,600,600,0.0030986348477151627,125.92503189999996,8:Heat Pipe TC-05,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_8,Heat Pipe TC-06,degC,60,62,4.394152306845361e-05,193.69339839999992,8:Heat Pipe TC-06,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_8,Heat Pipe TC-06,degC,300,302,0.0007714325259059794,193.69339839999992,8:Heat Pipe TC-06,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_8,Heat Pipe TC-06,degC,600,600,0.0018623103118108413,193.69339839999992,8:Heat Pipe TC-06,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_8,Heat Pipe TC-07,degC,60,62,0.0014228204952112793,101.20897665000007,8:Heat Pipe TC-07,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_8,Heat Pipe TC-07,degC,300,302,0.010927150756384507,101.20897665000007,8:Heat Pipe TC-07,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_8,Heat Pipe TC-07,degC,600,600,0.04023201185657898,101.20897665000007,8:Heat Pipe TC-07,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_8,Heat Pipe TC-08,degC,60,62,0.0007879062933555311,82.47154725000007,8:Heat Pipe TC-08,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_8,Heat Pipe TC-08,degC,300,302,0.004268533523092972,82.47154725000007,8:Heat Pipe TC-08,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_8,Heat Pipe TC-08,degC,600,600,0.011898268493708414,82.47154725000007,8:Heat Pipe TC-08,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_8,Heat Pipe TC-09,degC,60,62,0.0008235215158815776,108.34815115000004,8:Heat Pipe TC-09,forecast trajectory remains within normalized discrepancy over service horizon
