trial,capacity_hz,policy,source_duration_s,source_observations,source_observation_rate_hz,transport_deliveries,transport_deliveries_per_s,unique_delivered_sources,unique_source_delivery_rate_hz,repeated_source_fraction,response_bytes_per_s,p95_delivery_aoi_s,mean_delivery_aoi_s,rate_switches,economy_fraction,normal_fraction,high_fraction,service_id,qualified_deliveries,at_risk_deliveries,withdrawn_deliveries,unobservable_deliveries,observable_fraction_request_weighted,satisfaction_given_observable_request_weighted,observable_fraction_time_weighted,satisfaction_given_observable_time_weighted
1,10.0,static-high,90.86099999999999,140,1.5298092691033558,908,9.993286448531274,139,1.5298092691033558,0.8469162995594713,6156.062557092702,0.7580000000000655,0.43090859030845174,0,0.0,0.0,1.0,global_state_tracking,135,7,765,1,0.998898678414097,0.1565600882028666,0.9988982051762322,0.15662743627359027
1,10.0,aoi-only,90.86099999999999,140,1.5298092691033558,897,9.872222405652591,139,1.5298092691033558,0.8450390189520625,6082.950881016058,0.7580000000001774,0.431794871794955,1,0.0,0.013377926421404682,0.9866220735785953,local_1s_tight,10,2,851,34,0.9620958751393534,0.013904982618771726,0.9548264122255166,0.016154902435927827
1,10.0,aoi-only,90.86099999999999,140,1.5298092691033558,897,9.872222405652591,139,1.5298092691033558,0.8450390189520625,6082.950881016058,0.7580000000001774,0.431794871794955,1,0.0,0.013377926421404682,0.9866220735785953,local_5s_moderate,121,20,701,55,0.9386845039018952,0.167458432304038,0.9272815416313178,0.16753603212889548
1,10.0,aoi-only,90.86099999999999,140,1.5298092691033558,897,9.872222405652591,139,1.5298092691033558,0.8450390189520625,6082.950881016058,0.7580000000001774,0.431794871794955,1,0.0,0.013377926421404682,0.9866220735785953,local_10s_preview,444,78,268,107,0.8807134894091416,0.660759493670886,0.8699882107953857,0.6610858525094644
1,10.0,aoi-only,90.86099999999999,140,1.5298092691033558,897,9.872222405652591,139,1.5298092691033558,0.8450390189520625,6082.950881016058,0.7580000000001774,0.431794871794955,1,0.0,0.013377926421404682,0.9866220735785953,global_state_tracking,124,7,765,1,0.9988851727982163,0.14620535714285715,0.9988982051762322,0.15662743627359027
1,10.0,contract-aware,90.86099999999999,140,1.5298092691033558,898,9.883228227732472,139,1.5298092691033558,0.8452115812917594,6089.609403374386,0.7580000000001587,0.43171603563482697,1,0.0,0.012249443207126948,0.987750556792873,local_1s_tight,10,2,852,34,0.9621380846325167,0.013888888888888888,0.9548264122255166,0.016154902435927827
1,10.0,contract-aware,90.86099999999999,140,1.5298092691033558,898,9.883228227732472,139,1.5298092691033558,0.8452115812917594,6089.609403374386,0.7580000000001587,0.43171603563482697,1,0.0,0.012249443207126948,0.987750556792873,local_5s_moderate,121,20,701,56,0.9376391982182628,0.167458432304038,0.9272815416313178,0.16753603212889548
1,10.0,contract-aware,90.86099999999999,140,1.5298092691033558,898,9.883228227732472,139,1.5298092691033558,0.8452115812917594,6089.609403374386,0.7580000000001587,0.43171603563482697,1,0.0,0.012249443207126948,0.987750556792873,local_10s_preview,444,78,268,108,0.8797327394209354,0.660759493670886,0.8699882107953857,0.6610858525094644
1,10.0,contract-aware,90.86099999999999,140,1.5298092691033558,898,9.883228227732472,139,1.5298092691033558,0.8452115812917594,6089.609403374386,0.7580000000001587,0.43171603563482697,1,0.0,0.012249443207126948,0.987750556792873,global_state_tracking,125,7,765,1,0.9988864142538976,0.14715719063545152,0.9988982051762322,0.15662743627359027
1,20.0,static-low,90.86099999999999,140,1.5298092691033558,182,2.003059618538207,139,1.5298092691033558,0.23626373626373626,1233.9067366636953,0.7098999999999679,0.384499999999961,0,1.0,0.0,0.0,local_1s_tight,11,2,160,9,0.9505494505494505,0.07514450867052024,0.9504465318078207,0.07530905678302882
