capacity_hz,policy,service_id,trials,source_observation_rate_hz_mean,source_observation_rate_hz_min,source_observation_rate_hz_max,transport_deliveries_per_s_mean,transport_deliveries_per_s_min,transport_deliveries_per_s_max,unique_source_delivery_rate_hz_mean,unique_source_delivery_rate_hz_min,unique_source_delivery_rate_hz_max,repeated_source_fraction_mean,repeated_source_fraction_min,repeated_source_fraction_max,response_bytes_per_s_mean,response_bytes_per_s_min,response_bytes_per_s_max,p95_delivery_aoi_s_mean,p95_delivery_aoi_s_min,p95_delivery_aoi_s_max,mean_delivery_aoi_s_mean,mean_delivery_aoi_s_min,mean_delivery_aoi_s_max,rate_switches_mean,rate_switches_min,rate_switches_max,economy_fraction_mean,economy_fraction_min,economy_fraction_max,normal_fraction_mean,normal_fraction_min,normal_fraction_max,high_fraction_mean,high_fraction_min,high_fraction_max,observable_fraction_request_weighted_mean,observable_fraction_request_weighted_min,observable_fraction_request_weighted_max,satisfaction_given_observable_request_weighted_mean,satisfaction_given_observable_request_weighted_min,satisfaction_given_observable_request_weighted_max,observable_fraction_time_weighted_mean,observable_fraction_time_weighted_min,observable_fraction_time_weighted_max,satisfaction_given_observable_time_weighted_mean,satisfaction_given_observable_time_weighted_min,satisfaction_given_observable_time_weighted_max
2.0,contract-aware,global_state_tracking,5,1.5205251543641973,1.5127256666482627,1.5298092691033558,1.996518853707096,1.9920537964583267,1.9996703840026397,1.5139126026319907,1.509508803631635,1.5188034470234757,0.2417218140975047,0.23756906077348067,0.2430939226519337,1237.2744958437877,1227.1931851949682,1242.7841564577284,1.1453499999999963,1.1187499999999204,1.1599999999999682,0.8250507012324909,0.8051153846154081,0.8343259668507919,1.0,1.0,1.0,0.0,0.0,0.0,0.02207516240665412,0.02197802197802198,0.022099447513812154,0.9779248375933458,0.9779005524861878,0.978021978021978,0.9271082508651569,0.8895027624309392,0.967032967032967,0.15286611039124232,0.09090909090909091,0.32298136645962733,0.9268609519467321,0.88920649693102,0.9668563221565486,0.15345921870864782,0.09106251745364918,0.323955244337013
2.0,contract-aware,local_10s_preview,5,1.5205251543641973,1.5127256666482627,1.5298092691033558,1.996518853707096,1.9920537964583267,1.9996703840026397,1.5139126026319907,1.509508803631635,1.5188034470234757,0.2417218140975047,0.23756906077348067,0.2430939226519337,1237.2744958437877,1227.1931851949682,1242.7841564577284,1.1453499999999963,1.1187499999999204,1.1599999999999682,0.8250507012324909,0.8051153846154081,0.8343259668507919,1.0,1.0,1.0,0.0,0.0,0.0,0.02207516240665412,0.02197802197802198,0.022099447513812154,0.9779248375933458,0.9779005524861878,0.978021978021978,0.8090037034788415,0.7845303867403315,0.8516483516483516,0.3772329507500167,0.13793103448275862,0.6549295774647887,0.8083102376084002,0.783952669015489,0.8508534497044686,0.3775924798198331,0.13876361617983754,0.6562142786582182
2.0,contract-aware,local_1s_tight,5,1.5205251543641973,1.5127256666482627,1.5298092691033558,1.996518853707096,1.9920537964583267,1.9996703840026397,1.5139126026319907,1.509508803631635,1.5188034470234757,0.2417218140975047,0.23756906077348067,0.2430939226519337,1237.2744958437877,1227.1931851949682,1242.7841564577284,1.1453499999999963,1.1187499999999204,1.1599999999999682,0.8250507012324909,0.8051153846154081,0.8343259668507919,1.0,1.0,1.0,0.0,0.0,0.0,0.02207516240665412,0.02197802197802198,0.022099447513812154,0.9779248375933458,0.9779005524861878,0.978021978021978,0.8785380365490862,0.8453038674033149,0.9230769230769231,0.0012738853503184715,0.0,0.006369426751592357,0.87810344136133,0.844889095703428,0.9226647516986134,0.0012809837955549855,0.0,0.006404918977774927
2.0,contract-aware,local_5s_moderate,5,1.5205251543641973,1.5127256666482627,1.5298092691033558,1.996518853707096,1.9920537964583267,1.9996703840026397,1.5139126026319907,1.509508803631635,1.5188034470234757,0.2417218140975047,0.23756906077348067,0.2430939226519337,1237.2744958437877,1227.1931851949682,1242.7841564577284,1.1453499999999963,1.1187499999999204,1.1599999999999682,0.8250507012324909,0.8051153846154081,0.8343259668507919,1.0,1.0,1.0,0.0,0.0,0.0,0.02207516240665412,0.02197802197802198,0.022099447513812154,0.9779248375933458,0.9779005524861878,0.978021978021978,0.8465666929755328,0.8232044198895028,0.8784530386740331,0.08000266572136455,0.0440251572327044,0.14093959731543623,0.8459990365650095,0.822730395089632,0.8779012331975445,0.08033502245288993,0.044252822697905,0.14139890651512288
2.0,static-high,global_state_tracking,5,1.5205251543641973,1.5127256666482627,1.5298092691033558,1.996518853707096,1.9920537964583267,1.9996703840026397,1.5139126026319907,1.509508803631635,1.5188034470234757,0.2417218140975047,0.23756906077348067,0.2430939226519337,1237.2744958437877,1227.1931851949682,1242.7841564577284,1.1453499999999963,1.1187499999999204,1.1599999999999682,0.8250507012324909,0.8051153846154081,0.8343259668507919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9271082508651569,0.8895027624309392,0.967032967032967,0.15286611039124232,0.09090909090909091,0.32298136645962733,0.9268609519467321,0.88920649693102,0.9668563221565486,0.15345921870864782,0.09106251745364918,0.323955244337013
2.0,static-high,local_10s_preview,5,1.5205251543641973,1.5127256666482627,1.5298092691033558,1.996518853707096,1.9920537964583267,1.9996703840026397,1.5139126026319907,1.509508803631635,1.5188034470234757,0.2417218140975047,0.23756906077348067,0.2430939226519337,1237.2744958437877,1227.1931851949682,1242.7841564577284,1.1453499999999963,1.1187499999999204,1.1599999999999682,0.8250507012324909,0.8051153846154081,0.8343259668507919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8090037034788415,0.7845303867403315,0.8516483516483516,0.3772329507500167,0.13793103448275862,0.6549295774647887,0.8083102376084002,0.783952669015489,0.8508534497044686,0.3775924798198331,0.13876361617983754,0.6562142786582182
2.0,static-high,local_1s_tight,5,1.5205251543641973,1.5127256666482627,1.5298092691033558,1.996518853707096,1.9920537964583267,1.9996703840026397,1.5139126026319907,1.509508803631635,1.5188034470234757,0.2417218140975047,0.23756906077348067,0.2430939226519337,1237.2744958437877,1227.1931851949682,1242.7841564577284,1.1453499999999963,1.1187499999999204,1.1599999999999682,0.8250507012324909,0.8051153846154081,0.8343259668507919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8785380365490862,0.8453038674033149,0.9230769230769231,0.0012738853503184715,0.0,0.006369426751592357,0.87810344136133,0.844889095703428,0.9226647516986134,0.0012809837955549855,0.0,0.006404918977774927
2.0,static-high,local_5s_moderate,5,1.5205251543641973,1.5127256666482627,1.5298092691033558,1.996518853707096,1.9920537964583267,1.9996703840026397,1.5139126026319907,1.509508803631635,1.5188034470234757,0.2417218140975047,0.23756906077348067,0.2430939226519337,1237.2744958437877,1227.1931851949682,1242.7841564577284,1.1453499999999963,1.1187499999999204,1.1599999999999682,0.8250507012324909,0.8051153846154081,0.8343259668507919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8465666929755328,0.8232044198895028,0.8784530386740331,0.08000266572136455,0.0440251572327044,0.14093959731543623,0.8459990365650095,0.822730395089632,0.8779012331975445,0.08033502245288993,0.044252822697905,0.14139890651512288
2.0,static-low,global_state_tracking,5,1.5205251543641973,1.5127256666482627,1.5298092691033558,1.996518853707096,1.9920537964583267,1.9996703840026397,1.5139126026319907,1.509508803631635,1.5188034470234757,0.2417218140975047,0.23756906077348067,0.2430939226519337,1237.2744958437877,1227.1931851949682,1242.7841564577284,1.1453499999999963,1.1187499999999204,1.1599999999999682,0.8250507012324909,0.8051153846154081,0.8343259668507919,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9271082508651569,0.8895027624309392,0.967032967032967,0.15286611039124232,0.09090909090909091,0.32298136645962733,0.9268609519467321,0.88920649693102,0.9668563221565486,0.15345921870864782,0.09106251745364918,0.323955244337013
2.0,static-low,local_10s_preview,5,1.5205251543641973,1.5127256666482627,1.5298092691033558,1.996518853707096,1.9920537964583267,1.9996703840026397,1.5139126026319907,1.509508803631635,1.5188034470234757,0.2417218140975047,0.23756906077348067,0.2430939226519337,1237.2744958437877,1227.1931851949682,1242.7841564577284,1.1453499999999963,1.1187499999999204,1.1599999999999682,0.8250507012324909,0.8051153846154081,0.8343259668507919,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8090037034788415,0.7845303867403315,0.8516483516483516,0.3772329507500167,0.13793103448275862,0.6549295774647887,0.8083102376084002,0.783952669015489,0.8508534497044686,0.3775924798198331,0.13876361617983754,0.6562142786582182
