sequence,method,trace_id,family,horizon_s,position_tolerance_m,heading_tolerance_deg,n_windows,position_valid_fraction,joint_valid_fraction,heading_valid_fraction
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,local_relative_motion,5.0,1.0,5.0,27,0.8518518518518519,0.4444444444444444,0.5185185185185185
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,local_relative_motion,5.0,1.0,10.0,27,0.8518518518518519,0.6666666666666666,0.7407407407407407
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,local_relative_motion,5.0,1.0,20.0,27,0.8518518518518519,0.7407407407407407,0.8148148148148148
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,local_relative_motion,10.0,0.05,1.0,13,0.0,0.0,0.15384615384615385
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,local_relative_motion,10.0,0.05,2.0,13,0.0,0.0,0.23076923076923078
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,local_relative_motion,10.0,0.05,5.0,13,0.0,0.0,0.5384615384615384
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,local_relative_motion,10.0,0.05,10.0,13,0.0,0.0,0.6923076923076923
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,local_relative_motion,10.0,0.05,20.0,13,0.0,0.0,0.6923076923076923
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,local_relative_motion,10.0,0.1,1.0,13,0.0,0.0,0.15384615384615385
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,local_relative_motion,10.0,0.1,2.0,13,0.0,0.0,0.23076923076923078
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,local_relative_motion,10.0,0.1,5.0,13,0.0,0.0,0.5384615384615384
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,local_relative_motion,10.0,0.1,10.0,13,0.0,0.0,0.6923076923076923
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,local_relative_motion,10.0,0.1,20.0,13,0.0,0.0,0.6923076923076923
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,local_relative_motion,10.0,0.2,1.0,13,0.07692307692307693,0.07692307692307693,0.15384615384615385
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,local_relative_motion,10.0,0.2,2.0,13,0.07692307692307693,0.07692307692307693,0.23076923076923078
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,local_relative_motion,10.0,0.2,5.0,13,0.07692307692307693,0.07692307692307693,0.5384615384615384
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,local_relative_motion,10.0,0.2,10.0,13,0.07692307692307693,0.07692307692307693,0.6923076923076923
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,local_relative_motion,10.0,0.2,20.0,13,0.07692307692307693,0.07692307692307693,0.6923076923076923
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,local_relative_motion,10.0,0.5,1.0,13,0.15384615384615385,0.07692307692307693,0.15384615384615385
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,local_relative_motion,10.0,0.5,2.0,13,0.15384615384615385,0.07692307692307693,0.23076923076923078
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,local_relative_motion,10.0,0.5,5.0,13,0.15384615384615385,0.15384615384615385,0.5384615384615384
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,local_relative_motion,10.0,0.5,10.0,13,0.15384615384615385,0.15384615384615385,0.6923076923076923
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,local_relative_motion,10.0,0.5,20.0,13,0.15384615384615385,0.15384615384615385,0.6923076923076923
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,local_relative_motion,10.0,1.0,1.0,13,0.6153846153846154,0.15384615384615385,0.15384615384615385
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,local_relative_motion,10.0,1.0,2.0,13,0.6153846153846154,0.23076923076923078,0.23076923076923078
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,local_relative_motion,10.0,1.0,5.0,13,0.6153846153846154,0.46153846153846156,0.5384615384615384
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,local_relative_motion,10.0,1.0,10.0,13,0.6153846153846154,0.6153846153846154,0.6923076923076923
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,local_relative_motion,10.0,1.0,20.0,13,0.6153846153846154,0.6153846153846154,0.6923076923076923
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,global_synchronization,0.0,0.5,2.0,126,0.023809523809523808,0.023809523809523808,0.031746031746031744
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,global_synchronization,0.0,0.5,5.0,126,0.023809523809523808,0.023809523809523808,0.047619047619047616
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,global_synchronization,0.0,0.5,10.0,126,0.023809523809523808,0.023809523809523808,0.1111111111111111
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,global_synchronization,0.0,0.5,20.0,126,0.023809523809523808,0.023809523809523808,0.5793650793650794
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,global_synchronization,0.0,0.5,30.0,126,0.023809523809523808,0.023809523809523808,0.6349206349206349
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,global_synchronization,0.0,0.5,45.0,126,0.023809523809523808,0.023809523809523808,0.8253968253968254
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,global_synchronization,0.0,1.0,2.0,126,0.031746031746031744,0.031746031746031744,0.031746031746031744
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,global_synchronization,0.0,1.0,5.0,126,0.031746031746031744,0.031746031746031744,0.047619047619047616
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,global_synchronization,0.0,1.0,10.0,126,0.031746031746031744,0.031746031746031744,0.1111111111111111
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,global_synchronization,0.0,1.0,20.0,126,0.031746031746031744,0.031746031746031744,0.5793650793650794
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,global_synchronization,0.0,1.0,30.0,126,0.031746031746031744,0.031746031746031744,0.6349206349206349
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,global_synchronization,0.0,1.0,45.0,126,0.031746031746031744,0.031746031746031744,0.8253968253968254
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,global_synchronization,0.0,2.0,2.0,126,0.03968253968253968,0.031746031746031744,0.031746031746031744
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,global_synchronization,0.0,2.0,5.0,126,0.03968253968253968,0.03968253968253968,0.047619047619047616
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,global_synchronization,0.0,2.0,10.0,126,0.03968253968253968,0.03968253968253968,0.1111111111111111
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,global_synchronization,0.0,2.0,20.0,126,0.03968253968253968,0.03968253968253968,0.5793650793650794
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,global_synchronization,0.0,2.0,30.0,126,0.03968253968253968,0.03968253968253968,0.6349206349206349
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,global_synchronization,0.0,2.0,45.0,126,0.03968253968253968,0.03968253968253968,0.8253968253968254
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,global_synchronization,0.0,5.0,2.0,126,0.05555555555555555,0.031746031746031744,0.031746031746031744
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,global_synchronization,0.0,5.0,5.0,126,0.05555555555555555,0.047619047619047616,0.047619047619047616
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,global_synchronization,0.0,5.0,10.0,126,0.05555555555555555,0.05555555555555555,0.1111111111111111
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,global_synchronization,0.0,5.0,20.0,126,0.05555555555555555,0.05555555555555555,0.5793650793650794
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,global_synchronization,0.0,5.0,30.0,126,0.05555555555555555,0.05555555555555555,0.6349206349206349
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,global_synchronization,0.0,5.0,45.0,126,0.05555555555555555,0.05555555555555555,0.8253968253968254
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,global_synchronization,0.0,10.0,2.0,126,0.10317460317460317,0.031746031746031744,0.031746031746031744
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,global_synchronization,0.0,10.0,5.0,126,0.10317460317460317,0.047619047619047616,0.047619047619047616
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,global_synchronization,0.0,10.0,10.0,126,0.10317460317460317,0.07142857142857142,0.1111111111111111
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,global_synchronization,0.0,10.0,20.0,126,0.10317460317460317,0.09523809523809523,0.5793650793650794
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,global_synchronization,0.0,10.0,30.0,126,0.10317460317460317,0.09523809523809523,0.6349206349206349
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,global_synchronization,0.0,10.0,45.0,126,0.10317460317460317,0.10317460317460317,0.8253968253968254
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,global_synchronization,0.0,20.0,2.0,126,0.1746031746031746,0.031746031746031744,0.031746031746031744
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,global_synchronization,0.0,20.0,5.0,126,0.1746031746031746,0.047619047619047616,0.047619047619047616
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,global_synchronization,0.0,20.0,10.0,126,0.1746031746031746,0.07142857142857142,0.1111111111111111
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,global_synchronization,0.0,20.0,20.0,126,0.1746031746031746,0.09523809523809523,0.5793650793650794
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,global_synchronization,0.0,20.0,30.0,126,0.1746031746031746,0.09523809523809523,0.6349206349206349
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,global_synchronization,0.0,20.0,45.0,126,0.1746031746031746,0.10317460317460317,0.8253968253968254
ts_2022_06_09_13h16m39s_one_row,frozen_v2_checkpoint,replicate_01_base42_fold_01_building00_trace,local_relative_motion,1.0,0.05,1.0,126,0.42857142857142855,0.19047619047619047,0.29365079365079366
ts_2022_06_09_13h16m39s_one_row,frozen_v2_checkpoint,replicate_01_base42_fold_01_building00_trace,local_relative_motion,1.0,0.05,2.0,126,0.42857142857142855,0.30952380952380953,0.5396825396825397
ts_2022_06_09_13h16m39s_one_row,frozen_v2_checkpoint,replicate_01_base42_fold_01_building00_trace,local_relative_motion,1.0,0.05,5.0,126,0.42857142857142855,0.42063492063492064,0.8174603174603174
ts_2022_06_09_13h16m39s_one_row,frozen_v2_checkpoint,replicate_01_base42_fold_01_building00_trace,local_relative_motion,1.0,0.05,10.0,126,0.42857142857142855,0.42063492063492064,0.9285714285714286
ts_2022_06_09_13h16m39s_one_row,frozen_v2_checkpoint,replicate_01_base42_fold_01_building00_trace,local_relative_motion,1.0,0.05,20.0,126,0.42857142857142855,0.42063492063492064,0.9523809523809523
ts_2022_06_09_13h16m39s_one_row,frozen_v2_checkpoint,replicate_01_base42_fold_01_building00_trace,local_relative_motion,1.0,0.1,1.0,126,0.7619047619047619,0.2777777777777778,0.29365079365079366
ts_2022_06_09_13h16m39s_one_row,frozen_v2_checkpoint,replicate_01_base42_fold_01_building00_trace,local_relative_motion,1.0,0.1,2.0,126,0.7619047619047619,0.47619047619047616,0.5396825396825397
ts_2022_06_09_13h16m39s_one_row,frozen_v2_checkpoint,replicate_01_base42_fold_01_building00_trace,local_relative_motion,1.0,0.1,5.0,126,0.7619047619047619,0.6666666666666666,0.8174603174603174
ts_2022_06_09_13h16m39s_one_row,frozen_v2_checkpoint,replicate_01_base42_fold_01_building00_trace,local_relative_motion,1.0,0.1,10.0,126,0.7619047619047619,0.746031746031746,0.9285714285714286
ts_2022_06_09_13h16m39s_one_row,frozen_v2_checkpoint,replicate_01_base42_fold_01_building00_trace,local_relative_motion,1.0,0.1,20.0,126,0.7619047619047619,0.746031746031746,0.9523809523809523
