family,horizon_s,position_tolerance_m,heading_tolerance_deg,parking00,parking02,parking02_minus_parking00,winner
local_relative_motion,5.0,0.5,1.0,0.9473684210526316,0.9760956175298804,0.02872719647724875,parking02
local_relative_motion,5.0,0.5,2.0,0.9649122807017544,0.99601593625498,0.031103655553225584,parking02
local_relative_motion,5.0,0.5,5.0,0.9649122807017544,0.99601593625498,0.031103655553225584,parking02
local_relative_motion,5.0,0.5,10.0,0.9649122807017544,0.99601593625498,0.031103655553225584,parking02
local_relative_motion,5.0,0.5,20.0,0.9649122807017544,0.99601593625498,0.031103655553225584,parking02
local_relative_motion,5.0,1.0,1.0,0.9473684210526316,0.9800796812749004,0.03271126022226878,parking02
local_relative_motion,5.0,1.0,2.0,0.9736842105263158,1.0,0.02631578947368418,parking02
local_relative_motion,5.0,1.0,5.0,0.9824561403508772,1.0,0.01754385964912275,parking02
local_relative_motion,5.0,1.0,10.0,0.9824561403508772,1.0,0.01754385964912275,parking02
local_relative_motion,5.0,1.0,20.0,0.9824561403508772,1.0,0.01754385964912275,parking02
local_relative_motion,10.0,0.05,1.0,0.0614035087719298,0.424,0.3625964912280702,parking02
local_relative_motion,10.0,0.05,2.0,0.0614035087719298,0.44,0.3785964912280702,parking02
local_relative_motion,10.0,0.05,5.0,0.0614035087719298,0.44,0.3785964912280702,parking02
local_relative_motion,10.0,0.05,10.0,0.0614035087719298,0.44,0.3785964912280702,parking02
local_relative_motion,10.0,0.05,20.0,0.0614035087719298,0.44,0.3785964912280702,parking02
local_relative_motion,10.0,0.1,1.0,0.2807017543859649,0.792,0.5112982456140351,parking02
local_relative_motion,10.0,0.1,2.0,0.2807017543859649,0.816,0.535298245614035,parking02
local_relative_motion,10.0,0.1,5.0,0.2807017543859649,0.816,0.535298245614035,parking02
local_relative_motion,10.0,0.1,10.0,0.2807017543859649,0.816,0.535298245614035,parking02
local_relative_motion,10.0,0.1,20.0,0.2807017543859649,0.816,0.535298245614035,parking02
local_relative_motion,10.0,0.2,1.0,0.8157894736842105,0.928,0.11221052631578954,parking02
local_relative_motion,10.0,0.2,2.0,0.8245614035087719,0.968,0.14343859649122803,parking02
local_relative_motion,10.0,0.2,5.0,0.8245614035087719,0.968,0.14343859649122803,parking02
local_relative_motion,10.0,0.2,10.0,0.8245614035087719,0.968,0.14343859649122803,parking02
local_relative_motion,10.0,0.2,20.0,0.8245614035087719,0.968,0.14343859649122803,parking02
local_relative_motion,10.0,0.5,1.0,0.9210526315789472,0.952,0.030947368421052723,parking02
local_relative_motion,10.0,0.5,2.0,0.9385964912280702,0.992,0.053403508771929786,parking02
local_relative_motion,10.0,0.5,5.0,0.9385964912280702,0.992,0.053403508771929786,parking02
local_relative_motion,10.0,0.5,10.0,0.9385964912280702,0.992,0.053403508771929786,parking02
local_relative_motion,10.0,0.5,20.0,0.9385964912280702,0.992,0.053403508771929786,parking02
local_relative_motion,10.0,1.0,1.0,0.9298245614035088,0.96,0.03017543859649119,parking02
local_relative_motion,10.0,1.0,2.0,0.9649122807017544,1.0,0.03508771929824561,parking02
local_relative_motion,10.0,1.0,5.0,0.9824561403508772,1.0,0.01754385964912275,parking02
local_relative_motion,10.0,1.0,10.0,0.9824561403508772,1.0,0.01754385964912275,parking02
