family,horizon_s,position_tolerance_m,heading_tolerance_deg,baseline_metric,kendall_tau_service_pass_vs_negative_error
global_synchronization,0.0,2.0,10.0,dtheta_p95_deg,0.7399853698407473
global_synchronization,0.0,2.0,20.0,ate_m,0.9309493362512627
global_synchronization,0.0,2.0,20.0,rpe1_m,0.3103164454170875
global_synchronization,0.0,2.0,20.0,rpe5_m,0.26257545381445874
global_synchronization,0.0,2.0,20.0,rpe10_m,0.167093470609201
global_synchronization,0.0,2.0,20.0,dp_p95_m,0.7877263614433762
global_synchronization,0.0,2.0,20.0,heading_mae_deg,0.6922443782381184
global_synchronization,0.0,2.0,20.0,dtheta_p95_deg,0.7399853698407473
global_synchronization,0.0,2.0,30.0,ate_m,0.9309493362512627
global_synchronization,0.0,2.0,30.0,rpe1_m,0.3103164454170875
global_synchronization,0.0,2.0,30.0,rpe5_m,0.26257545381445874
global_synchronization,0.0,2.0,30.0,rpe10_m,0.167093470609201
global_synchronization,0.0,2.0,30.0,dp_p95_m,0.7877263614433762
global_synchronization,0.0,2.0,30.0,heading_mae_deg,0.6922443782381184
global_synchronization,0.0,2.0,30.0,dtheta_p95_deg,0.7399853698407473
global_synchronization,0.0,2.0,45.0,ate_m,0.9309493362512627
global_synchronization,0.0,2.0,45.0,rpe1_m,0.3103164454170875
global_synchronization,0.0,2.0,45.0,rpe5_m,0.26257545381445874
global_synchronization,0.0,2.0,45.0,rpe10_m,0.167093470609201
global_synchronization,0.0,2.0,45.0,dp_p95_m,0.7877263614433762
global_synchronization,0.0,2.0,45.0,heading_mae_deg,0.6922443782381184
global_synchronization,0.0,2.0,45.0,dtheta_p95_deg,0.7399853698407473
global_synchronization,0.0,5.0,2.0,ate_m,0.8090398349558905
global_synchronization,0.0,5.0,2.0,rpe1_m,0.17978662999019787
global_synchronization,0.0,5.0,2.0,rpe5_m,0.13483997249264842
global_synchronization,0.0,5.0,2.0,rpe10_m,0.13483997249264842
global_synchronization,0.0,5.0,2.0,dp_p95_m,0.8539864924534399
global_synchronization,0.0,5.0,2.0,heading_mae_deg,0.9438798074485389
global_synchronization,0.0,5.0,2.0,dtheta_p95_deg,0.9888264649460883
global_synchronization,0.0,5.0,5.0,ate_m,0.7076303701373625
global_synchronization,0.0,5.0,5.0,rpe1_m,0.0
global_synchronization,0.0,5.0,5.0,rpe5_m,-0.05443310539518173
global_synchronization,0.0,5.0,5.0,rpe10_m,-0.05443310539518173
global_synchronization,0.0,5.0,5.0,dp_p95_m,0.7620634755325442
global_synchronization,0.0,5.0,5.0,heading_mae_deg,0.7076303701373625
global_synchronization,0.0,5.0,5.0,dtheta_p95_deg,0.7620634755325442
global_synchronization,0.0,5.0,10.0,ate_m,0.7076303701373625
global_synchronization,0.0,5.0,10.0,rpe1_m,0.0
global_synchronization,0.0,5.0,10.0,rpe5_m,-0.05443310539518173
global_synchronization,0.0,5.0,10.0,rpe10_m,-0.05443310539518173
global_synchronization,0.0,5.0,10.0,dp_p95_m,0.7620634755325442
global_synchronization,0.0,5.0,10.0,heading_mae_deg,0.7076303701373625
global_synchronization,0.0,5.0,10.0,dtheta_p95_deg,0.7620634755325442
global_synchronization,0.0,5.0,20.0,ate_m,0.7076303701373625
global_synchronization,0.0,5.0,20.0,rpe1_m,0.0
global_synchronization,0.0,5.0,20.0,rpe5_m,-0.05443310539518173
global_synchronization,0.0,5.0,20.0,rpe10_m,-0.05443310539518173
global_synchronization,0.0,5.0,20.0,dp_p95_m,0.7620634755325442
global_synchronization,0.0,5.0,20.0,heading_mae_deg,0.7076303701373625
global_synchronization,0.0,5.0,20.0,dtheta_p95_deg,0.7620634755325442
global_synchronization,0.0,5.0,30.0,ate_m,0.7076303701373625
global_synchronization,0.0,5.0,30.0,rpe1_m,0.0
global_synchronization,0.0,5.0,30.0,rpe5_m,-0.05443310539518173
global_synchronization,0.0,5.0,30.0,rpe10_m,-0.05443310539518173
global_synchronization,0.0,5.0,30.0,dp_p95_m,0.7620634755325442
global_synchronization,0.0,5.0,30.0,heading_mae_deg,0.7076303701373625
global_synchronization,0.0,5.0,30.0,dtheta_p95_deg,0.7620634755325442
global_synchronization,0.0,5.0,45.0,ate_m,0.7076303701373625
global_synchronization,0.0,5.0,45.0,rpe1_m,0.0
global_synchronization,0.0,5.0,45.0,rpe5_m,-0.05443310539518173
global_synchronization,0.0,5.0,45.0,rpe10_m,-0.05443310539518173
global_synchronization,0.0,5.0,45.0,dp_p95_m,0.7620634755325442
global_synchronization,0.0,5.0,45.0,heading_mae_deg,0.7076303701373625
global_synchronization,0.0,5.0,45.0,dtheta_p95_deg,0.7620634755325442
global_synchronization,0.0,10.0,2.0,ate_m,0.8090398349558905
global_synchronization,0.0,10.0,2.0,rpe1_m,0.17978662999019787
global_synchronization,0.0,10.0,2.0,rpe5_m,0.13483997249264842
global_synchronization,0.0,10.0,2.0,rpe10_m,0.13483997249264842
global_synchronization,0.0,10.0,2.0,dp_p95_m,0.8539864924534399
global_synchronization,0.0,10.0,2.0,heading_mae_deg,0.9438798074485389
global_synchronization,0.0,10.0,2.0,dtheta_p95_deg,0.9888264649460883
global_synchronization,0.0,10.0,5.0,ate_m,0.6146362971528592
